identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock,dealer
10000,5055108939405,Nash Scope Black OPS SL Assault Pack,69.99,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_1637_1551&products_id=10000,Scope Black OPS Luggage,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10000/thumb500x500/3615742010/T3940-C.jpg,6.95,,
10001,5055108938507,Nash Scope Single Rod Skin 9ft,23.99,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_1637_1552&products_id=10001,Scope Luggage Range,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10001/thumb500x500/2823573992/Scope-Single-Rod-Skin.jpg,6.95,,
10002,5055108938538,Nash Scope Single Rod Skin 9ft Big Pit,25.99,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_1637_1552&products_id=10002,Scope Luggage Range,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10002/thumb500x500/2823573992/Scope-Single-Rod-Skin.jpg,6.95,,
10003,5055108938514,Nash Scope Single Rod Skin 10ft,26.99,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_1637_1552&products_id=10003,Scope Luggage Range,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10003/thumb500x500/2823573992/Scope-Single-Rod-Skin.jpg,6.95,,
10004,5055108938545,Nash Scope Single Rod Skin 10ft Big Pit,29.99,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_1637_1552&products_id=10004,Scope Luggage Range,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10004/thumb500x500/2823573992/Scope-Single-Rod-Skin.jpg,6.95,,
10005,5055108938521,Nash Scope 6ft Single Rod Skin,21.99,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_1637_1552&products_id=10005,Scope Luggage Range,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10005/thumb500x500/299627318/Dwarf-skin-1.jpg,6.95,,
10006,5055108938552,Nash Scope Double Rod Skin 9ft,57.99,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_1637_1552&products_id=10006,Scope Luggage Range,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10006/thumb500x500/196318213/T3855.jpg,6.95,,
10007,5055108938569,Nash Scope Double Rod Skin 10ft,59.99,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_1637_1552&products_id=10007,Scope Luggage Range,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10007/thumb500x500/196318213/T3855.jpg,6.95,,
10008,5055977450544,Avid Rucksack,56.00,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_409_415&products_id=10008,Luggage,Avid Carp,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10008/thumb500x500/2813581886/AVLUG-63-RUCKSACK.jpg,6.95,,
10009,5055108938576,Nash Scope Quiver,59.99,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_1637_1552&products_id=10009,Scope Luggage Range,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10009/thumb500x500/2676084725/Scope-Quiver.jpg,6.95,,
10010,5055977446523,Avid Barrow Orgainser,21.87,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_409_415&products_id=10010,Luggage,Avid Carp,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10010/thumb500x500/2764928771/AVLUG-56-BARROW-ORGANISER-3.jpg,6.95,,
