Product Sku / Unique Identifier,Product URL,Product Name,Category,Brand Name,Delivery Cost,RRP
073601077835700,https://www.aldi.co.uk/dyson-dc34-handheld/p/073601077835700,Dyson DC34 Handheld,Electrical Household Appliances,Dyson,£0.00,£119.99
093805067770600,https://www.aldi.co.uk/medion%C2%AE-akoya%C2%AE-s2218-notebook-11-6/p/093805067770600,MEDION® AKOYA® S2218 Notebook 11.6,Computers & Accessories,Medion,£0.00,£149.99
093791060048000,https://www.aldi.co.uk/wireless-activity-tracker/p/093791060048000,Wireless Activity Tracker,Health & Fitness,,£0.00,£24.99
071477039675800,https://www.aldi.co.uk/3-in-1-panini-press/p/071477039675800,3 in 1 Panini Press,Kitchen Appliances,,£0.00,£19.99
071156045900300,https://www.aldi.co.uk/inverter-generator/p/071156045900300,Inverter Generator,DIY,,£0.00,£269.99
070123029871000,https://www.aldi.co.uk/40%22-full-hd-smart-tv/p/070123029871000,"40"" Full HD Smart TV",TV's,Bauhn,£0.00,£199.99
094041074592100,https://www.aldi.co.uk/1tb-wi-fi-hard-drive/p/094041074592100,1TB Wi-Fi Hard Drive,Computers & Accessories,Medion,£0.00,£79.99
071470043027300,https://www.aldi.co.uk/retro-under-counter-fridge/p/071470043027300,Retro Under Counter Fridge,Kitchen Appliances,,£0.00,£99.99
071792067757600,https://www.aldi.co.uk/digital-sewing-machine/p/071792067757600,Digital Sewing Machine,Electrical Household Appliances,,£0.00,£149.99
052635004586600,https://www.aldi.co.uk/king-size-memory-foam-topper/p/052635004586600,King-Size Memory Foam Topper,Bedding,Slumberdown,£0.00,£39.99
066981007133600,https://www.aldi.co.uk/drywall-sander/p/066981007133600,Drywall Sander,DIY,,£0.00,£49.99
093675056054500,https://www.aldi.co.uk/1500w-circular-saw-with-laser/p/093675056054500,1500W Circular Saw with Laser,DIY,,£0.00,£29.99
071237046268600,https://www.aldi.co.uk/nutrient-power-blender/p/071237046268600,Nutrient Power Blender,Kitchen Appliances,,£0.00,£69.99
061688006238600,https://www.aldi.co.uk/graco-endure-child-car-seat/p/061688006238600,Graco Endure Child Car Seat,Baby,Graco,£0.00,£39.99
072991066587600,https://www.aldi.co.uk/hauck-black-and-red-speed-buggy/p/072991066587600,Hauck Black and Red Speed Buggy,Baby,Hauck,£0.00,£34.99
073002066587800,https://www.aldi.co.uk/wooden-cot-and-mattress-package/p/073002066587800,Wooden Cot and Mattress Package,Baby,,£0.00,£59.99
093550071309300,https://www.aldi.co.uk/electric-multi-cooker/p/093550071309300,Electric Multi Cooker,Kitchen Appliances,,£0.00,£39.99
093525061214400,https://www.aldi.co.uk/large-3-piece-ladder/p/093525061214400,Large 3-Piece Ladder,DIY,,£0.00,£54.99
071474079591601,https://www.aldi.co.uk/blue-retro-microwave/p/071474079591601,Blue Retro Microwave,Kitchen Appliances,,£0.00,£39.99
071146043093600,https://www.aldi.co.uk/32%22-full-hd-tv-dvd-combi/p/071146043093600,"32"" Full HD TV/DVD Combi",TV's,Bauhn,£0.00,£149.99
093831056306500,https://www.aldi.co.uk/medion%C2%AE-life%C2%AE-e5005-5%22-smartphone/p/093831056306500,"MEDION® LIFE® E5005 5"" Smartphone",Telecommunications,Medion,£0.00,£69.99
092914074588700,https://www.aldi.co.uk/rake-%26-scarifier-1500w/p/092914074588700,Rake & Scarifier 1500W,Gardening,,£0.00,£69.99
061603060052100,https://www.aldi.co.uk/electric-pole-pruner/p/061603060052100,Electric Pole Pruner,Gardening,,£0.00,£59.99
071548044655300,https://www.aldi.co.uk/sanding-roller/p/071548044655300,Sanding Roller,DIY,,£0.00,£39.99
093808066821300,https://www.aldi.co.uk/metallic-classic-stand-mixer/p/093808066821300,Metallic Classic Stand Mixer,Kitchen Appliances,,£0.00,£69.99
