ID,SKU,Name,Price,Weight,Packaging Size
674821,400414887435,EHEIM EXPERIENCE FILTERS,"100,98",10,PACKET
675226,220882789053,TUNZE 1074/2 OVERFLOW BOX,"101,16",0.495,SPECIAL PACKAGING
1111336,400993977000-NWA2.7+NWC,2x NWA 2.7 + CONTROLLER,"102,57",0.495,PACKET
1119525,5025629240861,Repti-Home Maxi Large Beech,"102,99",10,PACKET
1119526,5025629240878,Repti-Home Maxi Large Viv Oak,"102,99",10,PACKET
1119527,5025629240885,Repti-Home Maxi Large Walnut,"102,99",10,PACKET
1107215,201466968502,SENEYE SWS CONNECTORS,"103,49",0.495,PACKET
674822,400414887435_EHEIM 150 EXPERIENCE EXTERNAL FILTER - 2422510,EHEIM 150 EXPERIENCE FILTER,"103,96",10,PACKET
1103903,201398746088_WHITE_15 LITRES_TROPICAL (HEATER),BIORB FLOW WHITE 15L TROPICAL,"103,99",10,PACKET
1103907,201398746088_BLACK_15 LITRES_TROPICAL (HEATER),BIORB FLOW BLACK 15L TROPICAL,"103,99",10,PACKET
1104465,400986889699_1073.040,RECIRCULATION PUMP: 1073.040,"104,22",0.495,PACKET
678913,220855770492,EXO TERRA MONSOON RS400,"104,49",0.495,SPECIAL PACKAGING
977270,CS120F,1200mm 47w STRETCH LED,"104,5",10,OVERSIZE
977281,CS120M,1200mm 52w STRETCH LED,"104,5",10,OVERSIZE
677474,200902347248,BUBBLE-MAGUS E3 HANGON SKIMMER,"104,95",10,PACKET
1090339,191414103680_350 CLASSIC PLUS (2215),350 CLASSIC PLUS (2215),"104,95",0.495,SPECIAL PACKAGING
1090426,220688596952,AQUA MEDIC ARCTICBREEZE 4-PK,"104,95",0.495,PACKET
1100078,201379656008_EX 800 FILTER,TETRATEC: EX 800 FILTER,"104,95",10,PACKET
673889,D-D ROWA PHOS 5000ML BUCKET,D-D ROWA PHOS 5000ML BUCKET,"104,99",4,PACKET
673953,400435327594_BIOFORCE 3000 - 1350,BIOFORCE 3000 - 1350,"104,99",10,PACKET
675848,190646672837_POND KOI AIR 65 AIR PUMP,POND KOI AIR 65 AIR PUMP,"104,99",2,SPECIAL PACKAGING
678622,200830488317_BLACK_BIORB 30L 30,BLACK | BIORB 30L 30,"104,99",10,PACKET
678626,200830488317_SILVER_BIORB 30L 30,SILVER | BIORB 30L 30,"104,99",10,PACKET
1096369,371009860662_AIR PUMP 1500,AIR PUMP 1500,"104,99",5,SPECIAL PACKAGING
1103862,400969644853_10W UV 500 LPH RUW201,10W UV 500 LPH RUW201,"104,99",10,PACKET
1110736,201520530250_8000 PONDOMAX ECO PUMP,Type: 8000 PONDOMAX ECO PUMP,"104,99",10,SPECIAL PACKAGING
1112588,FLU_AQUASKY_LED-30w,"39""- 51"" AQUA SKY 30w LED","104,99",10,PACKET
678659,200830530163,REEF ONE BIORB COLDWATER+STAND,105,10,PACKET
678660,200830530163_BLACK_BIORB BABY 15L 15,BLACK | BIORB BABY 15L 15,105,3,PACKET
678664,200830530163_SILVER_BIORB BABY 15L 15,SILVER | BIORB BABY 15L 15,105,3,PACKET
676154,JUWEL 120CM T5 UNIT + TUBES,JUWEL 120CM T5 UNIT + TUBES,"105,45",10,OVERSIZE
1099374,191607278227_WHITE,Mini Apple Aquarium: WHITE,"105,95",5,SPECIAL PACKAGING
676428,190761877410,TUNZE COMLINE DOC SKIMMER 9004,"106,47",3,SPECIAL PACKAGING
675926,220989507095_6M X 6M POND LINER,OASIS 6M X 6M POND LINER,"106,95",10,PACKET
677630,PAINT_5L_BLACK,5 LITRE | BLACK,"106,95",5,SPECIAL PACKAGING
677631,PAINT_5L_AQUA,5 LITRE | AQUA BLUE,"106,95",5,SPECIAL PACKAGING
677632,PAINT_5L_CLEAR,5 LITRE | CLEAR,"106,95",5,SPECIAL PACKAGING
1111800,201412613087-3.0,DC RUNNER PUMP: 3.0,"107,94",0.495,PACKET
1104147,191661556388,HYDOR KORALIA PUMP 3rd GEN,"107,99",10,PACKET
1090737,400814809691,TUNZE 5017.000 OSMOLATOR,"108,27",2,PACKET
678164,HAGEN FLUVAL EXTERNAL FILTER 306,FLUVAL EXTERNAL FILTER: 306,"108,79",5,SPECIAL PACKAGING
675827,190731192596,RED SEA REEF ENERGY A 5L,"109,95",5,SPECIAL PACKAGING
676367,400449230214,RED SEA REEF ENERGY B 5L,"109,95",5,SPECIAL PACKAGING
677457,190805511191,BUBBLE-MAGUS CURVE 5,"109,95",10,PACKET
