"Product Name","Product Code","Matched Product","Matched Site","Comments"
"3M Versaflo M-306 Helmet","20v0008","3M Versaflo M-306 Headtop with Helmet and Visor [42pc Screwdriver & Accessory Kit with Interchangable Precision Screwdriver] ","http://www.amazon.co.uk/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Versaflo%20M-306%20Helmet","Amazon match"
"Tork Premium of Compact Toilet Roll 2 Ply White Pack of 27 127520","11d7000","Tork 127520 Premium Toilet Roll Compact Auto-shift 27 Rolls","http://www.amazon.co.uk/Tork-127520-Premium-Compact-Auto-shift/dp/B007VDU79I/ref=sr_1_4?ie=UTF8&qid=1382956093&sr=8-4&keywords=127520","Amazon match"
"Peltor Optime III Ear Muffs Champion Plus Helmet Mounted H540P3H",249300," Helmet Attachment Optime Iii Defender QTY: 1 ","http://www.amazon.co.uk/Helmet-Attachment-Optime-Iii-Defender/dp/B00871MGR4/ref=sr_1_fkmr1_2?ie=UTF8&qid=1382956862&sr=8-2-fkmr1&keywords=Optime+III+helmet+mounted","Amazon match"
"Deb Pure Wash 2L PUW2LT","27d0620","Deb® Pure WASH 2L x4","http://www.amazon.co.uk/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=Deb+Pure+Wash&rh=i%3Aaps%2Ck%3ADeb+Pure+Wash","Amazon match"
"Regatta Acrylic Watch Cap Black",2631300,"Regatta Mens Watch Cap","http://www.amazon.co.uk/Regatta-Mens-Watch-Cap-Black/dp/B0042WR7H6/ref=sr_1_1?ie=UTF8&qid=1382958324&sr=8-1&keywords=Regatta+Acrylic+Watch+Cap+Black","Amazon match"
"3M 9928 Valved Premium Welding Fume Respirator",114200,"3M 9928 Valved FFP2 Welding Fumes Respirator","http://www.amazon.co.uk/Valved-Welding-Fumes-Respirator-S1067/dp/B00G7MT5X8/ref=sr_1_3?ie=UTF8&qid=1382960125&sr=8-3&keywords=Welding+Fume+Valved+Respirator","Amazon match"
"Regatta TRA645 Women's Uproar Soft Shell Black","10r9612","Regatta Ladies Uproar Softshell Wind Resistant Jacket","http://www.amazon.co.uk/Regatta-Ladies-Uproar-Softshell-Resistant/dp/B00AXIR6Y2/ref=sr_1_2?ie=UTF8&qid=1382960322&sr=8-2&keywords=TRA645","Amazon match"
"Deb Florafree Alcohol Foam Skin Sanitizer 1 litre Cartridge","27a6500","DEB Sanitiser Hand Alcohol 1L FAF1000ML","http://www.amazon.co.uk/DEB-Sanitiser-Hand-Alcohol-FAF1000ML/dp/B00FJ5COPA/ref=sr_1_fkmr1_2?ie=UTF8&qid=1382961214&sr=8-2-fkmr1&keywords=Deb+Florafree+alcohol","Amazon match"
"Numatic Henry HVR 200 Vacuum Cleaner",3218000,"Numatic HVR200A Henry A1 Bagged Cylinder Vacuum Cleaner plus Kit A1, Red/Black","http://www.amazon.co.uk/Numatic-HVR200A-Cylinder-Cleaner-Red/dp/B00008Z9XZ/ref=sr_1_1?ie=UTF8&qid=1382961524&sr=8-1&keywords=Henry+HVR+200","Amazon match"
"Honeywell Vistamax VX VNC21 Dual Lens Goggle 1002759",322300,"Pulsafe Vistamax VNC21 Goggle No Vent","http://www.amazon.co.uk/Pulsafe-Vistamax-VNC21-Goggle-Vent/dp/B00A25IMVM/ref=sr_1_1?ie=UTF8&qid=1382962601&sr=8-1&keywords=VNC21","Amazon match"
"Xtend & Climb Pro Telescopic Ladder","55d4838","Summit Xtend and Climb Professional 3.8m / 3.8m Pro","http://www.amazon.co.uk/Summit-Xtend-Climb-Professional-3-8m/dp/B00518KTZC/ref=sr_1_2?ie=UTF8&qid=1382963256&sr=8-2&keywords=Xtend+%26+Climb","Amazon match"
"Marigold PGK10 Latex P/C Kevlar Gloves",1474509,"Glove L PGK10","http://www.amazon.co.uk/Marigold-Industrial-Glove-L-PGK10/dp/B00871M0TS/ref=sr_1_1?ie=UTF8&qid=1382967814&sr=8-1&keywords=PGK10","Amazon match"
"Martor Profi 25 Safety Knife 120001",5515001,"MARTOR PROFI25 SAFETY KNIFE WITH AUTOMATIC BLADE RETRACT FEATURE - RED/BLACK - KMT120001","http://www.amazon.co.uk/MARTOR-PROFI25-AUTOMATIC-RETRACT-FEATURE/dp/B007ESHQMQ/ref=sr_1_1?ie=UTF8&qid=1382968349&sr=8-1&keywords=120001","Amazon match"
"Peltor Lite-Com Basic Headset Over Head MT53H7A4400",262000,"Peltor Headset: Lite-Com Basic, Navy Blue (MT53H7A4400)","http://www.amazon.co.uk/Peltor-Headset-Lite-Com-Basic-MT53H7A4400/dp/B004HYZRWQ/ref=sr_1_1?ie=UTF8&qid=1382968776&sr=8-1&keywords=MT53H7A4400","Amazon match"
"Snickers 5283 Holster Pocket Trouser Navy","8s7033","Snickers Workwear 5283 Work Trousers Mens Combat Cargo Knee Pad Holster Pants","http://www.amazon.co.uk/Snickers-Workwear-Trousers-Combat-Holster/dp/B00C1KBKBU/ref=sr_1_1?ie=UTF8&qid=1382972540&sr=8-1&keywords=Snickers+5283","Amazon match"
"Chemmaster Chemical Resistant Protective Boilersuit with Collar Green",1843605,"Chemical Resistant Boiler Suit Elastic Cuffs & Ankles Nylon,Polyester Coating","http://www.amazon.co.uk/Chemical-Resistant-Boiler-Suit-Large/dp/B00FKYY5F2/ref=sr_1_sc_1?ie=UTF8&qid=1382974235&sr=8-1-spell&keywords=Chemical+Resistant+Boilersuit","Amazon match"
"3M 2135 P3 Particulate Filter",112700,"3M2135X1PAIR - 2135 Particulate Filter Type P3R - 1 Pair","http://www.amazon.co.uk/3M2135X1PAIR-2135-Particulate-Filter-Type/dp/B00DY4RMBE/ref=sr_1_2?ie=UTF8&qid=1382975348&sr=8-2&keywords=2135+filters","Amazon match"
