code,price,company,multiplier,url
20A7900,180.33,B and H,1,http://www.buckandhickman.com/find/category-is-L0FH+Fasteners+and+Hardware/category-is-EE+Elec+and+Electronic+Components/product-is-324680/pgs-is-100
3155700,2.07,B and H,1,http://www.buckandhickman.com/find/category-is-L0HT+Hand+Tools/category-is-HT+Hand+Tools/product-is-014376/pgs-is-100
4432200,21.14,B and H,1,http://www.buckandhickman.com/find/category-is-L0HT+Hand+Tools/category-is-HT+Hand+Tools/product-is-2002867/pgs-is-100
4E6111,21.58,B and H,1,http://www.buckandhickman.com/find/category-is-L0HT+Hand+Tools/category-is-HT+Hand+Tools/product-is-2015919/pgs-is-100
4E6116,11.8,B and H,1,http://www.buckandhickman.com/find/category-is-L0HT+Hand+Tools/category-is-HT+Hand+Tools/product-is-317980/pgs-is-100
2750600,11.24,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-1021769/pgs-is-100
55J2502,11.51,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-140069/pgs-is-100
55J2602,18.86,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-140072/pgs-is-100
2762500,11.31,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-140248/pgs-is-100
2757900,8.97,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-140252/pgs-is-100
27D6150,61.9,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-1471525/pgs-is-100
27F1510,7.37,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2003832/pgs-is-100
27A1810,17.33,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2008035/pgs-is-100
27A1910,41.9,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2008036/pgs-is-100
27A6910,14.94,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2008049/pgs-is-100
27A2510,53.43,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2008051/pgs-is-100
55M0001,7.18,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2008316/pgs-is-100
27D3310,12.53,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013541/pgs-is-100
27D3415,6.71,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013542/pgs-is-100
27D0620,7.41,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013548/pgs-is-100
27D0640,14.04,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013549/pgs-is-100
27D0310,7.98,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013550/pgs-is-100
27D0320,10.37,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013551/pgs-is-100
27D5620,7.41,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013552/pgs-is-100
27D5640,14.04,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013553/pgs-is-100
27D9510,8.22,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013558/pgs-is-100
27D9951,8.22,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013560/pgs-is-100
27A5200,8.51,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013562/pgs-is-100
27D9610,8.51,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013562/pgs-is-100
27D0520,9.8,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013566/pgs-is-100
27D0540,18.58,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013567/pgs-is-100
27D0820,10.28,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013568/pgs-is-100
27D0840,18.7,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013569/pgs-is-100
27D0220,13.15,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013570/pgs-is-100
27D0240,24.99,B and H,1,http://www.buckandhickman.com/find/category-is-L0JA+Janitorial/category-is-CH+Chemicals+and+Cleaning+Agents/product-is-2013571/pgs-is-100
