category,product,description,group,brand,price,price_uom,price_per
A,112700,3M 2135 P3 Particulate Filter,PP01,3M,6.04,PAK,1
A,113400,3M 2138 P3 Particulate Filter,PP01,3M,7.47,PAK,1
A,117100,3M 4251 Organic Vapour/Dust Half Mask Respirator,PP01,3M,15.15,EA,1
A,117400,3M 4255 Organic Vapour/Dust Half Mask Respirator,PP01,3M,17.97,EA,1
A,117000,3M 4277 FFABE1P3D Half Mask Respirator,PP01,3M,19.95,EA,1
A,116900,3M 4279 FFABEK1P3D Half Mask Respirator,PP01,3M,22.91,EA,1
A,119900,3M 5935 P3 Particulate Filter,PP01,3M,46.99,BOX,1
A,113800,3M 6035 P3SL Encapsulated Particulate Filter,PP01,3M,13.99,PAK,1
A,114100,3M 6038 P3HF Encapsulated Filter,PP01,3M,8.2,PAK,1
A,112100,3M 6051 A1 Gas Filter,PP01,3M,6.66,PAK,1
A,112300,3M 6057 ABE1 Gas Filter,PP01,3M,7.6,PAK,1
A,114700,3M 6059 ABEK1 Gas Filter,PP01,3M,8.97,PAK,1
A,115100,3M 6099 ABEK2P3 Combination Gas Filters,PP01,3M,28.15,PAK,1
A,111600,3M 6200 Half Mask Respirator,PP01,3M,11.93,EA,1
A,111800,3M 6800 Series Full Face Mask Respirators,PP01,3M,74.95,EA,1
A,126003,3M 7502 Silicone Half Mask Respirator,PP01,3M,19.97,EA,1
A,128300,3M 8322 FFP2 Respirator Valved,PP01,3M,23.95,BOX,1
A,20C0002,3M 837010 Adflow Turbo Main Particulate Filter,PP01,3M,21.77,EA,1
A,110700,3M 8710E Dust Respirators,PP01,3M,17.49,BOX,1
A,113500,3M 8810 Dust/Mist Respirator,PP01,3M,34.95,BOX,1
A,113200,3M 8812 Valved Dust Respirator,PP01,3M,14.19,PAK,1
A,113300,3M 8822 Valved Dust/Mist Respirator,PP01,3M,18.49,PAK,1
A,116100,3M 8825 Valved Dust/Mist/Metal Fume Respirator,PP01,3M,21.49,PAK,1
A,116400,3M 8833 Valved Dust/Mist/Metal Fume Respirator,PP01,3M,37.42,BOX,1
A,116304,3M 8835 Valved Dust/Mist/Metal Fume Respirator,PP01,3M,28.95,PAK,1
A,114600,3M 9925 Valved Welding Fume Respirator,PP01,3M,47.13,PAK,1
A,125700,3M 9926 Dust/Mist/Acid Gas Respirator,PP01,3M,47.67,BOX,1
A,114200,3M 9928 Valved Premium Welding Fume Respirator,PP01,3M,48.95,BOX,1
A,118200,3M Aura 9310+ FFP1 Dust/Mist Respirator,PP01,3M,21.99,BOX,1
A,118300,3M Aura 9312+ FFP1 Valved Dust/Mist Respirator,PP01,3M,17.99,BOX,1
A,118400,3M Aura 9320+ FFP2 Dust/Mist Respirators,PP01,3M,39.99,BOX,1
A,118500,3M Aura 9322+ FFP2 Valved Dust/Mist Respirator,PP01,3M,27.99,BOX,1
A,118600,3M Aura 9332+ FFP3V Dust/Mist/Fume Respirator,PP01,3M,49.99,BOX,1
A,2017600,3M Dustmaster P2 Dust Filter,PP01,3M,20.93,EA,1
A,20A6500,3M HT-639 QRS Welding Visor Headtop,PP01,3M,144.95,EA,1
A,20A7900,3M Jupiter 8 Hour Battery,PP01,3M,155.73,EA,1
A,20A8300,3M Jupiter A2P Filters Pack of 2,PP01,3M,33.05,EA,1
A,20A8200,3M Jupiter P3 Filters Pack of 2,PP01,3M,18.27,EA,1
A,20A9000,3M Jupiter Powered Air Turbo Unit,PP01,3M,299.95,EA,1
A,20A4000,3M S-133S Lightweight Headtop,PP01,3M,28.61,EA,1
A,20A4200,3M S-433S Lightweight Headtop,PP01,3M,48.95,EA,1
A,20V0013,3M Versaflo BT-30 Self Adjusting Breathing Tube,PP01,3M,31.69,EA,1
A,20V0014,3M Versaflo BT-40 Heavy Duty Rubber Breathing Tube,PP01,3M,55.85,EA,1
A,20V0006,3M Versaflo M-106 Visor Headtop,PP01,3M,134.95,EA,1
A,20V0008,3M Versaflo M-306 Helmet,PP01,3M,199.99,EA,1
A,20V0009,3M Versaflo M-307 Helmet,PP01,3M,201.99,EA,1
A,20V0010,3M Versaflo TR-302E Powered Air Turbo Unit,PP01,3M,209.95,EA,1
A,20V0001,3M Versaflo TR-315 UK Powered Air Starter Kit,PP01,3M,472.94,EA,1
A,20V0015,3M Versaflo TR-3710E Particulate Filter,PP01,3M,17.99,EA,1
A,20B4100,3M Versaflo V-500 Supplied Air Regulator,PP01,3M,188.91,EA,1
A,119600            ,3M 501 Filter Retainers Pack-of-2,PP01  ,3M,2.48,PAK,1
A,20A8700           ,3M Jupiter Pre-Filters Pack-of-24 461-00-02P24,PP01  ,3M,7.72,EA,1
A,112400            ,3M 6055 A2 Organic Vapours Gas Filter Pack-of-2,PP01  ,3M,8.43,PAK,1
A,20C0001           ,3M 836010 Adflow Turbo Pre Filters Pack-of-5,PP01  ,3M,8.83,PAK,1
A,20V0016           ,3M Versaflo TR-3600 Pre-Filters Pack-of-10,PP01  ,3M,8.96,PAK,1
A,128000            ,3M 8310 FFP1 Respirator Unvalved Pack-of-10,PP01  ,3M,8.99,BOX,1
A,117600            ,3M 105 Face Seal Cleaner Wipes Pack-of-40,PP01  ,3M,9.99,BOX,1
A,128100            ,3M 8312 FFP1 Respirators Valved Box-of-10,PP01  ,3M,16.49,BOX,1
A,128200            ,3M 8320 Dust Respirators Pack-of-10,PP01  ,3M,18.63,BOX,1
A,20V0017           ,3M Versaflo TR-3800E Particulate Nuisance Organic Vapour Filter,PP01  ,3M,22.55,EA,1
A,125800            ,3M 9914 FFP1S Nuisance Level Acid Gas Respirators Pack-of-10,PP01  ,3M,32.49,BOX,1
A,125900            ,3M 9922 FFP2 Valved Respirators Pack-of-10,PP01  ,3M,37.99,BOX,1
A,20A4100           ,3M S-333SG Lightweight Headtop,PP01  ,3M,39.75,EA,1
A,119800            ,3M 5925 P2 Particulate Filters Pack-of-20,PP01  ,3M,41.31,BOX,1
A,20A8600           ,3M Jupiter ABE1P Filters Pack-of-2 456-18-25P2,PP01  ,3M,42.49,EA,1
A,118800            ,3M Aura 9432 FFP3V Food Industry Respirators Pack-of-10,PP01  ,3M,49.97,BOX,1
A,20A8400           ,3M Jupiter A2BEK1P3 Filters Pack-of-2 453-09-25P2,PP01  ,3M,51.8,EA,1
A,20V0007           ,3M Versaflo M-107 Visor Headtop,PP01  ,3M,143.29,EA,1
A,20A9200           ,3M 460500 Speedglas Welding Helmet Headtop,PP01  ,3M,148.04,EA,1
A,20A9100           ,3M Jupiter Intrinsically Safe 4 Hour Battery & Pouch 085-12-00P,PP01  ,3M,192.97,EA,1
A,20V0023           ,3M Jupiter Powered Air Starter Kit,PP01  ,3M,630.64,EA,1
A,20A0400           ,3M Speedglas 9100V with Adflo Powered-Air Respirator,PP01  ,3M,853.25,EA,1
A,20A0600           ,3M Speedglas 9100XX with Adflo Powered-Air Respirator,PP01  ,3M,913.76,EA,1
A,20B8000           ,3M Speedglas 576625XX Adflo Powered Air Respirator,PP01  ,3M,1164.94,EA,1
A,3M0104,3M 427071 Outer Protection Plate Heat-Resistant,PP02,3M,25.86,BAG,1
A,20V0019,3M Versaflo TR-332 High Capacity Battery Pack,PP02,3M,149.95,EA,1
A,20V0024           ,3M Versaflo M-928 Peel-Off Visor Covers Pack-of-10,PP02  ,3M,14.99,PAK,1
A,20V0021           ,3M Versaflo TR-341UK Battery Charger Kit,PP02  ,3M,114.4,EA,1
A,20C0010           ,3M 837621 Adflow Battery,PP02  ,3M,129.99,EA,1
A,250300            ,3M Headgear G500 Forestry System,PP03  ,3M,37.49,EA,1
A,3F0000,3M 2720 Classic Line Safety Spectacles Clear Pack of 20,PP04,3M,78.85,BOX,1
A,3F0027,3M 400080 Speedglas 9002X Auto Darkening Filter,PP04,3M,239.49,EA,1
A,3M5900            ,3M Speedglas 9100XX Welding Helmet 501825,PP04  ,3M,279.95,EA,1
A,11M0014,3M Scotch-Brite No.86 Heavy Duty Scouring Pad Pack of 36,WP02,3M,55.05,CS,1
A,11M0015,3M Scotch-Brite No.96 GP Scouring Pad Pack of 60,WP02,3M,58.48,CS,1
A,11M0017,3M Utility Scouring Pads Case of 500,WP02,3M,114.38,CS,1
A,55M0001           ,3M Stainless Steel Cleaner Aerosol 600g,WP02  ,3M,6.97,EA,1
A,11M0018           ,3M Scotch-Brite No.2000 Power Pads 139mm x 99mm Pack-of-20,WP02  ,3M,9.91,CS,1
A,5654100           ,3M Maintenance Multi Format 12 cm x 15.2 m Pack-of-3 MF2001,WP03  ,3M,115.94,EA,1
A,5610200           ,3M Safety Walk GP Cleat Black 610mm x 152mm,WP05  ,3M,6.38,EA,1
A,5610604           ,3M Safety-Walk General Purpose Black 102mm x 18.3M Roll,WP05  ,3M,110.75,ROL,1
A,5610606           ,3M Safety-Walk General Purpose Black 152mm x 18.3M Roll,WP05  ,3M,152.11,ROL,1
A,5616606           ,3M Safety-Walk Coarse 152mm x 18.3M,WP05  ,3M,162.24,ROL,1
A,3172650           ,Active Fleximix Bucket 40L,FE01  ,Active,5.56,EA,1
A,4E6114            ,Active Dynamo LED Torch,FE02  ,Active,6.25,EA,1
A,461152            ,Active 3AAA Aluminium Baton Torch,FE02  ,Active,6.45,EA,1
A,461154            ,Active 2D Rubber Torch 7 LED,FE02  ,Active,10.35,EA,1
A,461153            ,Active 2AA Aluminium LED Baton Torch,FE02  ,Active,14.25,EA,1
A,4E6110            ,Active Rechargeable Halogen Lamp A009564,FE02  ,Active,22.22,EA,1
A,461141            ,Active AP Pro 6V LED Spotlight 220 lumens,FE02  ,Active,31.25,EA,1
A,461140            ,Active AP Pro Focus Beam LED SOS Torch,FE02  ,Active,31.25,EA,1
A,5756100           ,Addgards Chapter 8 Barrier 3 Way Unit,WP07  ,Addgards,144.43,EA,1
A,5757300           ,Addgards Handi Gard Barrier 3 Way Unit,WP07  ,Addgards,146.45,EA,1
A,5756500           ,Addgards Elevator Set,WP07  ,Addgards,187.86,EA,1
A,1E0900,Alpha Solway 3020V Valved Dust/Mist/Fume Respirators Pack of 10,PP01,Alpha Solway,16.38,BOX,1
A,1E1000,Alpha Solway 3030V Valved Dust/Mist/Fume Respirator Pack of 5,PP01,Alpha Solway,18.6,BOX,1
A,4400621           ,Ambersil Acrylic Paint Marker 3mm White,FE08  ,Ambersil,3.05,EA,1
A,3450007           ,Ambersil Label & Adhesive Remover 200 ml,WP02  ,Ambersil,5.57,EA,1
A,3450002           ,Amberklene FE10 Solvent Degreaser Aerosol 400 ml,WP02  ,Ambersil,6.96,EA,1
A,1550618,Ansell 100 Neotouch 25-201 Latex Free Gloves,GL01,Ansell,17.3,BOX,1
A,1504610,Ansell 23-491 Winter Hi-Vis Knit Wrist Glove,GL01,Ansell,12.54,PRS,1
A,1513709,Ansell 37-185 Classic Solvex Plus 45cm Gauntlet,GL01,Ansell,5.75,PRS,1
A,1536218,Ansell 87-950 Extra Low Protein Latex Gauntlet,GL01,Ansell,2.11,PRS,1
A,1539109,Ansell Alphatec 58-270 Glove,GL01,Ansell,6.89,PRS,1
A,1511709,Ansell Alphatec 58-530 Gauntlet,GL01,Ansell,6.64,PRS,1
A,1511809,Ansell Alphatec 58-535 Gauntlet,GL01,Ansell,6.61,PRS,1
A,1513209,Ansell Classic Sol-vex 37-655 Gauntlet Green,GL01,Ansell,2.44,PRS,1
A,1513309,Ansell Classic Sol-vex 37-675 Green Gauntlet,GL01,Ansell,2.29,PRS,1
A,1513409,Ansell Classic Sol-vex 37-695 Green Gauntlet,GL01,Ansell,3.47,PRS,1
A,1511209,Ansell Conform+ Powder Free Glove Dispenser,GL01,Ansell,8.95,BOX,1
A,1510908,Ansell Dura-Touch 34-500 Glove Clear,GL01,Ansell,7.49,BOX,1
A,1538205,Ansell Econohand 87-195 Blue Gauntlets Gloves,GL01,Ansell,0.74,PRS,1
A,1521809,Ansell Gladiator 16-500 Palm Coated Knitwrist Glove,GL01,Ansell,3.69,PRS,1
