Product Name ,Category,URL,SKU
SURFboard  SB6141 - 6 12572 19619 9,SURFboard Cable Modems and Wi-Fi Cable Modems,http://shop.surfboard.com/sb6141-surfboard-cable-modem/,SB6141
SURFboard  SB6183 - 6 12572 20400 9,SURFboard Cable Modems and Wi-Fi Cable Modems,http://shop.surfboard.com/sb6183-surfboard-cable-modem/,SB6183
 SURFboard SB6190 - 6 1257221072 7,SURFboard Cable Modems and Wi-Fi Cable Modems,http://shop.surfboard.com/sb6190-surfboard-cable-modem/,SB6190
SURFboard SBG6400 - 6 12572 20818 2,SURFboard Cable Modems and Wi-Fi Cable Modems,http://shop.surfboard.com/sbg6400-surfboard-cable-modem-wi-fi-router/,SBG6400
SURFboard SBG6580 - 6 12572 21218 9,SURFboard Cable Modems and Wi-Fi Cable Modems,http://shop.surfboard.com/sbg6580-surfboard-cable-modem-wi-fi-router/,SBG6580
SURFboard SBG6700 - 6 12572 20265 4,SURFboard Cable Modems and Wi-Fi Cable Modems,http://shop.surfboard.com/sbg6700-ac-surfboard-cable-modem-wi-fi-router/,SBG6700
SURFboard SBG6900 - 6-12572-21013,SURFboard Cable Modems and Wi-Fi Cable Modems,http://shop.surfboard.com/arris-surfboard-sbg6900-ac-cable-modem-with-ac1900-wifi-router/,SBG6900
SURFboard SBG7580 - 6 12572 21323 0      ,SURFboard Cable Modems and Wi-Fi Cable Modems,http://shop.surfboard.com/sbg7580-ac-surfboard-cable-modem-wi-fi-router/,SBG7580
SURFboard SBR AC1200P – 6 12572 20993 6,SURFboard Routers and Extenders with RipCurrent,http://shop.surfboard.com/sbr-ac1200p-surfboard-wi-fi-router-with-ripcurrent/,SBR AC1200P
SURFboard SBR AC1900P – 6 12572 20994 3,SURFboard Routers and Extenders with RipCurrent,http://shop.surfboard.com/sbr-ac1900p-surfboard-wi-fi-router-with-ripcurrent/,SBR AC1900P
SURFboard SBR AC3200P - 6 12572 20995 0,SURFboard Routers and Extenders with RipCurrent,http://shop.surfboard.com/sbr-ac3200p-surfboard-wi-fi-router-with-ripcurrent/,SBR AC3200P 
SURFboard SBX AC1200P – 6 12572 20997 4,SURFboard Routers and Extenders with RipCurrent,http://shop.surfboard.com/sbx-ac1200p-surfboard-wi-fi-hotspot-with-ripcurrent/,SBX AC1200P
SURFboard SBX 1000P - 6 12572 21027 7,SURFboard Routers and Extenders with RipCurrent,http://shop.surfboard.com/sbx-1000p-surfboard-wired-network-extender-with-ripcurrent/,SBX 1000P
