identifier,sku,name,price,url,category,brand,image_url,shipping_cost
,26555,A&L Art and Lutherie 12 Cedar Dreadnought 12 String Acoustic Electric Guitar with Solid Cedar Top includes Q1 Electronics - Antique Burst Finish,499.95,http://www.axemusic.com/store/product/17044/A%26L-Art-and-Lutherie-12-Cedar-Dreadnought-12-String-Acoustic-Electric-Guitar-with-Solid-Cedar-Top-includes-Q1-Electronics-Antique-Burst-Finish/,Acoustic Guitars,,,
,26548,A&L Art and Lutherie 12 Cedar Dreadnought 12 String Acoustic Guitar with Solid Cedar Top - Antique Burst Finish,399.95,http://www.axemusic.com/store/product/17043/A%26L-Art-and-Lutherie-12-Cedar-Dreadnought-12-String-Acoustic-Guitar-with-Solid-Cedar-Top-Antique-Burst-Finish/,Acoustic Guitars,,,
,studc250sme12,Breedlove Atlas Studio Series C250-SM-12 12-String Concert Cutaway Acoustic Electric Guitar with Sitka Spruce Top - Mahogany Back and Sides includes L.R. Baggs Stage Pro Pickup and Hard Case - Glossy Finish,899.00,http://www.axemusic.com/store/product/19249/Breedlove-Atlas-Studio-Series-C250-SM-12-12-String-Concert-Cutaway-Acoustic-Electric-Guitar-with-Sitka-Spruce-Top-Mahogany-Back-and-Sides-includes-L.R.-Baggs-Stage-Pro-Pickup-and-Hard-Case-Glossy-Finish/,Acoustic Guitars,,,
,focusse12,Breedlove Master Class Series Focus Special Edition Jumbo 12-String Cutaway Acoustic Electric Guitar with Sitka Spruce Top and Rosewood Back and Sides includes L.R. Baggs Electronics and Case - Natural Finish,3199.00,http://www.axemusic.com/store/product/23654/Breedlove-Master-Class-Series-Focus-Special-Edition-Jumbo-12-String-Cutaway-Acoustic-Electric-Guitar-with-Sitka-Spruce-Top-and-Rosewood-Back-and-Sides-includes-L.R.-Baggs-Electronics-and-Case-Natural-Finish/,Acoustic Guitars,,,
,efm12tge,Dean Exotica Series EFM12TGE 12-String Acoustic Electric Guitar - Flame Maple Top - Back - Sides with Dean Electronics - Tiger Eye Finish,580.15,http://www.axemusic.com/store/product/17839/Dean-Exotica-Series-EFM12TGE-12-String-Acoustic-Electric-Guitar-Flame-Maple-Top-Back-Sides-with-Dean-Electronics-Tiger-Eye-Finish/,Acoustic Guitars,,,
,096-1533-021,Fender Classic Design Series CD100-12 12-String Acoustic Dreadnought Guitar with Spruce Top and Mahogany Back/Sides - Natural Satin Finish,249.99,http://www.axemusic.com/store/product/10989/Fender-Classic-Design-Series-CD100-12-12-String-Acoustic-Dreadnought-Guitar-with-Spruce-Top-and-Mahogany-Back-Sides-Natural-Satin-Finish/,Acoustic Guitars,,,
,v7212ent,Ibanez Acoustic Dreadnought 12 String Guitar with built in Tuner,239.99,http://www.axemusic.com/store/product/10393/Ibanez-Acoustic-Dreadnought-12-String-Guitar-with-built-in-Tuner/,Acoustic Guitars,,,
,ael2012etks,Ibanez AEL Acoustic Electric 12 String Guitar AEL2012TKS - Black Sunburst,479.90,http://www.axemusic.com/store/product/576/Ibanez-AEL-Acoustic-Electric-12-String-Guitar-AEL2012TKS-Black-Sunburst/,Acoustic Guitars,,,
,ew2012asent,Ibanez EW Series EW2012ASE 12-String Electric Acoustic Guitar with Quilted Ash Body - Natural Finish - Axe Clearance Center Special- FREE Ibanez Tour Jacket - $60 Value - With purchase of $600.00 worth of Ibanez product,549.99,http://www.axemusic.com/store/product/16888/Ibanez-EW-Series-EW2012ASE-12-String-Electric-Acoustic-Guitar-with-Quilted-Ash-Body-Natural-Finish-Axe-Clearance-Center-Special-FREE-Ibanez-Tour-Jacket-%2460-Value-With-purchase-of-%24600.00-worth-of-Ibanez-product/,Acoustic Guitars,,,
,29389,Seagull Coastline Series Cedar 12 Sting Acoustic Guitar with Solid Cedar Top Wild Cherry Back and Sides - Semi Gloss Natural Finish,556.88,http://www.axemusic.com/store/product/13952/Seagull-Coastline-Series-Cedar-12-Sting-Acoustic-Guitar-with-Solid-Cedar-Top-Wild-Cherry-Back-and-Sides-Semi-Gloss-Natural-Finish/,Acoustic Guitars,,,
,pp9213,Inter-M 9 Channel Preamp,427.39,http://www.axemusic.com/store/product/29778/Inter-M-9-Channel-Preamp/,Commercial Audio,,,
,pa2250t,EV 2X270W DualCh Power Amp 70V,589.95,http://www.axemusic.com/store/product/17327/EV-2X270W-DualCh-Power-Amp-70V/,Commercial Audio,,,
,pa2400t,EV 2X400W DualCh PowerAmp 70V,757.63,http://www.axemusic.com/store/product/17328/EV-2X400W-DualCh-PowerAmp-70V/,Commercial Audio,,,
