Product,,Sell Price,Cost Price
AST090002,90CM BEDSTEAD VALENCIA ASH,173.99,57.8
AST150001,150CM BEDSTEAD PIENZA ASH,225.99,79.84
BED090394,90CM QUILT SET NELLIE,19.99,6.45
BED090395,90CM QUILT SET FRIENDLY MONSTERS,19.99,6.45
BED090396,90CM QUILT SET NAUTICAL,19.99,6.45
BED090397,90CM QUILT SET POOCH,19.99,6.45
BED090398,90CM QUILT SET FESTIVAL,19.99,6.45
BED090399,90CM QUILT SET SURFS UP,19.99,6.45
BEDCUS001,SINGLE CUSHIONS NELLIE,11.99,3.95
BEDCUS002,SINGLE CUSHIONS FRIENDLY MONSTERS,12.99,4.45
BEDCUS003,SINGLE CUSHIONS NAUTICAL,12.99,4.45
BEDCUS004,SINGLE CUSHIONS POOCH,11.99,3.95
323900001,90CM BEDSTEAD ATLAS BLACK,87.99,43.2
323900002,135CM BEDSTEAD ATLAS BLACK,117.99,62.4
323900003,90CM BEDSTEAD ATLAS CREAM,87.99,43.2
323900004,135CM BEDSTEAD ATLAS CREAM,117.99,62.4
323900005,120CM BEDSTEAD ATLAS BLACK,117.99,62.4
323900006,120CM BEDSTEAD ATLAS CREAM,117.99,62.4
323900007,90CM BEDSTEAD ATLAS SILVER,99.99,48
323900008,135CM BEDSTEAD ATLAS SILVER,129.99,62.4
323900009,120CM BEDSTEAD ATLAS SILVER,129.99,62.4
323900010,90CM BEDSTEAD ATLAS DAYBED BLACK,136.19,62.4
323900011,90CM BEDSTEAD ATLAS DAYBED CREAM,136.19,62.4
324000001,90CM BEDSTEAD BERLIN BLACK **LIFT UP BED**,188.59,86.4
324000002,135CM BEDSTEAD BERLIN BLACK **LIFT UP BED**,209.49,96
324000003,120CM BEDSTEAD BERLIN BLACK **LIFT UP BED**,209.49,96
324000004,150CM BEDSTEAD BERLIN BLACK **LIFT UP BED**,240.89,110.4
324000005,90CM BEDSTEAD BERLIN BROWN **LIFT UP BED**,188.59,86.4
324000006,135CM BEDSTEAD BERLIN BROWN **LIFT UP BED**,209.49,96
324000007,120CM BEDSTEAD BERLIN BROWN **LIFT UP BED**,209.49,96
324000008,150CM BEDSTEAD BERLIN BROWN **LIFT UP BED**,240.89,110.4
324000009,90CM BEDSTEAD BERLIN WHITE **LIFT UP BED**,188.59,86.4
324000010,135CM BEDSTEAD BERLIN WHITE **LIFT UP BED**,209.49,96
