sku,name,price,brand_id,brand,brand_type,department_desc,category,sub_category,segment
6141325,Gillette Fusion Razor Power 5023193,$16.25,GILL,GILLETTE,National Trusted Brand,Everyday Needs,Toiletries,Mens Shaving,System Razors
730956,Dollar Sweets Refreshing Spearmint 150g,$2.00,DOLL,DOLLAR SWEETS,National Trusted Brand,Everyday Needs,Confectionery,Confect Bags,Mints
16787,Redwin Sorbolene Vitamin E 100g,$2.50,REDW,REDWIN,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Body,Others
701897,Wet Ones Be Gentle 40s,$3.40,WETO,WET ONES,National Trusted Brand,Everyday Needs,Hygiene,Facial Tissues,Moist Wipes
6713782,Deep Heat 140G 0190,$7.25,DEEH,DEEP HEAT,National Trusted Brand,Everyday Needs,Toiletries,Medicinal,Topical
96246,Mentholatum Gel Ice 100g,$5.95,MENT,MENTHOLATUM,National Trusted Brand,Everyday Needs,Toiletries,Medicinal,Topical
297435,Nailene French Pink French 36pk,$17.00,NAIL,NAILENE,National Trusted Brand,Everyday Needs,Beauty Care,Nail,Fake Nails
329273,Nailene Ultra Quick Nail Glue 3g,$5.95,NAIL,NAILENE,National Trusted Brand,Everyday Needs,Beauty Care,Nail,Fake Nails
30583,Sanofi Shaving Cream Tube 75g,$2.50,FAUL,FAULDINGS,National Trusted Brand,Everyday Needs,Toiletries,Mens Shaving,Shaving Aids Shavi
319785,Nailene 200 Square Full Cover Nail 1pk,$15.00,NAIL,NAILENE,National Trusted Brand,Everyday Needs,Beauty Care,Nail,Fake Nails
8298609,Nailene Nail studio 02518 CLASSIC,$11.00,NAIL,NAILENE,National Trusted Brand,Everyday Needs,Beauty Care,Nail,Fake Nails
1305,Gillette Cartridge Mach 3 8pk,$24.00,GILL,GILLETTE,National Trusted Brand,Everyday Needs,Toiletries,Mens Shaving,System Cartridges
41655,Brut Deodorant Stick 75g,$5.45,BRUT,BRUT,National Trusted Brand,Everyday Needs,Toiletries,Deodorants,Mens Roll Ons
92949,Brut Shave Foam 250g,$4.95,BRUT,BRUT,National Trusted Brand,Everyday Needs,Toiletries,Mens Shaving,Shaving Aids Shavi
43274,Brut Aftershave Boxed 100ml,$10.75,BRUT,BRUT,National Trusted Brand,Everyday Needs,Toiletries,Mens Toiletries,Mens Grooming
30495,Brut Aftershave Splash On 856 200ml,$10.50,BRUT,BRUT,National Trusted Brand,Everyday Needs,Toiletries,Mens Toiletries,Mens Grooming
7542114,Manicure Set 5PC 03855 SILVER,$19.25,MANI,MANICARE,National Trusted Brand,Everyday Needs,Beauty Care,Beauty Accessories,Manicare
91018,Vaseline Intensive Care Lotion Dry Skin 75ml,$3.00,VASE,VASELINE,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Body,Vaseline
5628216,Confirm 1 Pregnancy Test 0600,$7.50,CONF,CONFIRM,National Trusted Brand,Everyday Needs,Toiletries,Medicinal,Family Planning
5628094,Confirm 3 Pregnancy Test 0604,$14.95,CONF,CONFIRM,National Trusted Brand,Everyday Needs,Toiletries,Medicinal,Family Planning
5482047,Australis Pencil Sharpener 0765,$6.49,AUSR,AUSTRALIS,National Trusted Brand,Everyday Needs,Nat Brand Cosmetic,Australis Cosmetic,Other
5644360,Australian Cream 1Kg emu Oil,$7.95,AUSM,AUSTRALIAN CREAM,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Body,Australian Creams
321881,Listerine Mouthwash Total Care 1l,$12.95,LIST,LISTERINE,National Trusted Brand,Everyday Needs,Toiletries,Oral Care,Mthwsh/Breath Fres
205578,Listerine Teeth Defence Mouth Wash 1l,$9.95,LIST,LISTERINE,National Trusted Brand,Everyday Needs,Toiletries,Oral Care,Mthwsh/Breath Fres
376504,Listerine Zero Mouth Wash 1l,$12.95,LIST,LISTERINE,National Trusted Brand,Everyday Needs,Toiletries,Oral Care,Mthwsh/Breath Fres
381207,Palmolive Natural Shower Gel Milk & Honey 1l,$7.95,PALV,PALMOLIVE,National Trusted Brand,Everyday Needs,Toiletries,Soaps & Gels,Body Wash
858131,Vicks Vaporiser,$66.00,VICK,VICKS,National Trusted Brand,Everyday Needs,Toiletries,Medicinal,Cough & Cold
8270053,Trolli Gummi Bear tub 1.1KG,$10.65,TROL,TROLLI,National Trusted Brand,Everyday Needs,Confectionery,Confect Bags,Jellies/Gummies
379309,Trolli Groovy Mix Tub 1.1kg,$10.65,TROL,TROLLI,National Trusted Brand,Everyday Needs,Confectionery,Confect Bags,Jellies/Gummies
705173,Schwarzkopf Live Salon Perm Black 1.1,$13.95,SCHF,SCHWARZKOPF,National Trusted Brand,Everyday Needs,Toiletries,Hair Colour,Schwarzkopf
4378754,Nestle Milo Energy Drink 1.5KG,$15.00,NESL,NESTLE,National Trusted Brand,Everyday Needs,Drinks,Beverages,Milk Additives
6201715,Vaseline Intensive Care 1.5L,$12.95,VASE,VASELINE,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Body,Vaseline
210784,Radox Shower Gel Oxygen 1lt,$9.50,RADO,RADOX,National Trusted Brand,Everyday Needs,Toiletries,Soaps & Gels,Body Wash
705139,Schwarzkopf Live Salon Perm Blond 10.2,$13.95,SCHF,SCHWARZKOPF,National Trusted Brand,Everyday Needs,Toiletries,Hair Colour,Schwarzkopf
180047,Panadol Rapid Caplets 10pk,$2.95,PANL,PANADOL,National Trusted Brand,Everyday Needs,Toiletries,Medicinal,Pain Relief
203229,Bepanthen Ointment 100g,$9.50,BEPA,BEPATHENEN,National Trusted Brand,Everyday Needs,Baby Consumables,Baby Toiletries,Medicated & Creams
39817,Dencorub Gel Extra Strength Heat 100g,$5.95,DENC,DENCORUB,National Trusted Brand,Everyday Needs,Toiletries,Medicinal,Topical
740316,Moosehead Hard Core Wax 100g,$9.95,MOOS,MOOSE HEAD,National Trusted Brand,Everyday Needs,Toiletries,Hair Styling,Wax
783859,Lindt Creation Dark Mint 100g,$4.00,LIND,LINDT,National Trusted Brand,Everyday Needs,Chocolate,Block Chocolate,Lindt
320599,Nivea For Men Face Wash Sensitve 100ml,$7.95,NIVE,NIVEA,National Trusted Brand,Everyday Needs,Toiletries,Mens Toiletries,Skincare
787247,Caltrate Bone & Muscle Health 100s,$17.00,CALT,CALTRATE,National Trusted Brand,Everyday Needs,Food & Snacks,Wellness,Vitamins
761508,1000 Hours Natural Lashes Black Vogue,$9.49,1000,1000 HOURS,National Trusted Brand,Everyday Needs,Beauty Care,Beauty Accessories,Lashes
776209,Rimmel 1000 Kiss Lip Liner Cherry Kiss 1.2g,$8.50,RIMM,RIMMEL,National Trusted Brand,Everyday Needs,Nat Brand Cosmetic,Rimmel,Lips
775400,Rimmel 1000 Kisses Lip Liner Red Dynamite,$8.50,RIMM,RIMMEL,National Trusted Brand,Everyday Needs,Nat Brand Cosmetic,Rimmel,Lips
8333,Nestle Allens Mints 45g,$1.50,NESL,NESTLE,National Trusted Brand,Everyday Needs,Confectionery,Confect Bags,Mints
7518256,Formula 10-0-6 Rescue Me Acne Blemish 25ml,$8.00,1006,Formula 10.0.6,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Medicated Skincare
8125897,Face of Australia Makeup Remover Liquid 100901 125ML,$8.75,FACE,FACE OF AUSTRALIA,National Trusted Brand,Everyday Needs,Nat Brand Cosmetic,Face Of Aus Cosmtc,Blushes
21892,Schwarzkopf Extra Care Hairspray Strong Hold 100g,$4.95,SCHF,SCHWARZKOPF,National Trusted Brand,Everyday Needs,Toiletries,Hair Styling,Spray
797737,Lindt Excellence Sea Salt Caramel 100g,$4.00,LIND,LINDT,National Trusted Brand,Everyday Needs,Chocolate,Block Chocolate,Lindt
8332643,Sweet William NAS Sweet As White Strawberry Gluten Free 100G,$3.75,SWEW,SWEET WILLIAM,National Trusted Brand,Everyday Needs,Chocolate,Block Chocolate,Other
793266,Lynx Messy Look Matt Clay Paste 100ml,$9.95,LYNX,LYNX,National Trusted Brand,Everyday Needs,Toiletries,Hair Styling,Wax
951125,Australian Cream With Vitamin E G&M lanolin 100g,$2.50,AUSM,AUSTRALIAN CREAM,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Body,Australian Creams
7723445,Sweet William Sweet As Original no added sugar 100g,$3.75,SWEW,SWEET WILLIAM,National Trusted Brand,Everyday Needs,Chocolate,Block Chocolate,Other
78193,Dencorub Cream Arthritis 100g,$6.95,DENC,DENCORUB,National Trusted Brand,Everyday Needs,Toiletries,Medicinal,Topical
20747,Lindt Lindor Milk Chocolate 100g,$4.00,LIND,LINDT,National Trusted Brand,Everyday Needs,Chocolate,Block Chocolate,Lindt
4752,Olay Sensitive Moisturising Cream 100g,$12.95,OLAY,OLAY,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Olay
789154,Lindt Excellence 90% Cocoa 100g,$4.00,LIND,LINDT,National Trusted Brand,Everyday Needs,Chocolate,Block Chocolate,Lindt
