ProductId,ProductNr,ProductName,ReportCategoryName,EANNumber,StockQty,Brand,ProductCostPriceExVat,ProductSalesPrice_InclVAT,RRP,ProductURL,ProductImage,Tag
2441,idb0144,BareMinerals - Original Foundation Spf 15 - Medium Beige 8g,Sminke,98132269631,5221,BareMinerals,153.12,399,459,https://www.blivakker.no/product/2441,http://static.blivakker.no/Media/2/0/300_300/_idb0144_5.jpg,Top100
201497,TIB0160,Tigi Bedhead Urban Antidotes Recovery Shampoo & Balsam 2 x 750ml,Hårpleie,615908951011,4678,Tigi Bedhead,100.84,799,799,https://www.blivakker.no/product/201497,http://static.blivakker.no/Media/2/0/300_300/F0A8733F73F8AA55EDD38D52DD76485D_201497_3.jpg,Top100
201498,TIB0161,Tigi Bedhead Urban Antidotes Resurrection Shampoo & Balsam 2 x 750ml,Hårpleie,615908954012,5699,Tigi Bedhead,94.95,799,799,https://www.blivakker.no/product/201498,http://static.blivakker.no/Media/2/0/300_300/2184F599F45CFB874F688D650A778529_201498_2.jpg,Top100
201496,TIB0159,Tigi Bedhead Urban Antidotes Re-energize Shampoo & Balsam 2 x 750ml,Hårpleie,615908950991,1347,Tigi Bedhead,100.84,799,799,https://www.blivakker.no/product/201496,http://static.blivakker.no/Media/2/0/300_300/0E9D3C444D47EA20481B929B5124F407_201496_2.jpg,Top100
2356,TIB0051,Tigi Bedhead Masterpiece Hairspray 340ml,Hårpleie,615908426076,1467,Tigi Bedhead,47.00,249,249,https://www.blivakker.no/product/2356,http://static.blivakker.no/Media/2/0/300_300/224007A00526AE1208B5B13E0EA6C26C_2356_0.jpg,Top100
3036072,BAL0091,"The Balm Mary-Lou Manizer Aka ""The Luminizer"" Highlighter, Shimmer & Eyeshadow 8,5g",Sminke,681619700583,3784,The Balm,78.17,219,249,https://www.blivakker.no/product/3036072,http://static.blivakker.no/Media/2/0/300_300/27EA83AA5BE61E1175B93AC841627FA3_3036072_0.jpg,Top100
200758,PUK0018,Pukka - Castor Oil 250 ml,Helsekost,850835000603,369,Pukka,72.00,2028,2220,https://www.blivakker.no/product/200758,http://static.blivakker.no/Media/2/0/300_300/60C4A0B63CB19BAE0F89999BC1D6BA2A_200758_2.jpg,Top100
2544,RED0043,Redken Extreme Anti-snap Leave In Treatment 240ml,Hårpleie,884486210777,898,Redken,91.5,379,469,https://www.blivakker.no/product/2544,http://static.blivakker.no/Media/2/0/300_300/0127539F24593E811DB52F0FA715F6C1_2544_3.jpg,Top100
2444,idb0147,BareMinerals - Original Foundation Spf 15 - Medium Tan 8g,Sminke,98132269655,4317,BareMinerals,153.12,399,459,https://www.blivakker.no/product/2444,http://static.blivakker.no/Media/2/0/300_300/558EBAA6C2CEA055282C859360991785_2444_0.jpg,Top100
3042169,JOI0283,Joico K-Pak Shampoo Og Balsam 2x500ml (Duo),Hårpleie,74469496520,574,Joico,125.45,429,,https://www.blivakker.no/product/3042169,http://static.blivakker.no/Media/2/0/300_300/1CE24BB13DE445BB4D5D72BFAB1C085A_3042169_0.jpg,Top100
