Brakes Code,Unique Manufacturers Product Code,Product Name,Brand/Category,Price,Image URL,Product Page URL
500785,EB3F,Lincat EB3F Countertop Water Boiler,Lincat,"£335,00",https://www.brakesce.co.uk/db_image.image?id=72599&width=500&height=500&crop=false&ivi=lmi&fit=false&etx=.jpg,https://www.brakesce.co.uk/products/pid_38703/Lincat-EB3F-Filterflow-Automatic-Water-Boiler.aspx
505253,DF33,Lincat Silverlink 600 DF33 Fryer (Counter Top),Lincat,"£310,00",https://www.brakesce.co.uk/db_image.image?id=69085&width=500&height=500&crop=false&ivi=lmi&fit=false&etx=.jpg,https://www.brakesce.co.uk/products/pid_38092/Lincat-Silverlink-600-DF33-Fryer-%28Counter-Top%29.aspx
587670,ESLR9C,Lincat Silverlink 600 ESLR9C Electric Range,Lincat,"£1.195,00",https://www.brakesce.co.uk/db_image.image?id=69309&width=500&height=500&crop=false&ivi=lmi&fit=false&etx=.jpg,https://www.brakesce.co.uk/products/pid_38184/Lincat-Silverlink-600-ESLR9C-Electric-Range.aspx
591242,G3101,Falcon G3101 6 Burner Gas Range,Falcon,"£1.165,00",https://www.brakesce.co.uk/products/pid_38209/db_image.image?id=69313&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_38209/Falcon-G3101-6-Burner-Gas-Range.aspx
562133,E711,Falcon E711 Electric 1/1GN Counter Top Convection Oven,Falcon,"£1.255,00",https://www.brakesce.co.uk/products/pid_38342/Falcon-E711-Electric-1/db_image.image?id=69253&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_38342/Falcon-E711-Electric-1/1GN-Counter-Top-Convection-Oven.aspx
528005,R301U,Robot Coupe R301 Ultra Food Processor,Robot Coupe,"£1.160,00",https://www.brakesce.co.uk/products/pid_37953/db_image.image?id=67750&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_37953/Robot-Coupe-R301-Ultra-Food-Processor.aspx
552617,R211XL Ultra,Robot Coupe R211XL Ultra Food Processor,Robot Coupe,"£910,00",https://www.brakesce.co.uk/pid_37951/552617/db_image.image?id=72628&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/pid_37951/552617/Robot-Coupe-R211XL-Ultra-Food-Processor.aspx
550120,G3532,Falcon G3532 Gas Salamander Grill,Falcon,"£770,00",https://www.brakesce.co.uk/products/pid_38256/db_image.image?id=69163&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_38256/Falcon-G3532-Gas-Salamander-Grill.aspx
515574,DUO750,Classeq DUO750 Undercounter Dishwasher 500mm Square Basket,Classeq,"£1.615,00",https://www.brakesce.co.uk/products/pid_38774/db_image.image?id=67533&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_38774/Classeq-DUO750-Undercounter-Dishwasher-500mm-Square-Basket.aspx
502461,ECO2P,Classeq ECO2P Glasswasher 400mm Square with Baskets,Classeq,"£910,00",https://www.brakesce.co.uk/db_image.image?id=70398&width=500&height=500&crop=false&ivi=lmi&fit=false&etx=.jpg,https://www.brakesce.co.uk/products/pid_38750/Classeq-ECO2P-Glasswasher-400mm-Square-with-Baskets.aspx
552804,CM1929 / C529,Samsung CM1929 Super Heavy Duty Microwave,Samsung,"£535,00",https://www.brakesce.co.uk/products/pid_39339/db_image.image?id=72144&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_39339/Samsung-CM1929-Super-Heavy-Duty-Microwave.aspx
552754,CM1089XEU / CB937,Samsung CM1089XEU Light Duty Microwave,Samsung,"£245,00",https://www.brakesce.co.uk/products/pid_39335/db_image.image?id=72142&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_39335/Samsung-CM1089XEU-Light-Duty-Microwave.aspx
585862,EP700H,Foster EP700H Stainless Steel Single Door Refrigerator,Foster Refrigerator,"£1.215,00",https://www.brakesce.co.uk/products/pid_37609/db_image.image?id=72861&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_37609/Foster-EP700H-Stainless-Steel-Single-Door-Refrigerator.aspx
585879,EP1400L,Foster EP700L Stainless Steel Single Door Freezer,Foster Refrigerator,"£1.530,00",https://www.brakesce.co.uk/products/pid_37610/db_image.image?id=72861&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_37610/Foster-EP700L-Stainless-Steel-Single-Door-Freezer.aspx
525157,CL50,Robot Coupe CL50 Veg Prep,Robot Coupe,"£940,00",https://www.brakesce.co.uk/products/pid_37973/db_image.image?id=67731&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_37973/Robot-Coupe-CL50-Veg-Prep.aspx
512050,WHP101,Churchill White Nova Plate- 25cm,Churchill China,"£77,49",https://www.brakesce.co.uk/products/pid_37214/db_image.image?id=70266&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_37214/Churchill-White-Nova-Plate--25cm.aspx
539880,WH01,Churchill White Oatmeal Bowl,Churchill China,"£46,49",https://www.brakesce.co.uk/products/pid_37195/db_image.image?id=67225&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_37195/Churchill-White-Oatmeal-Bowl.aspx
518389,F00402-00000-B01012,Utopia Harley Pattern Table Knife,Utopia,"£8,30",https://www.brakesce.co.uk/products/pid_33508/db_image.image?id=68797&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_33508/Utopia-Harley-Pattern-Table-Knife.aspx
518212,F00403-00000-B01012,Utopia Harley Pattern Table Fork,Utopia,"£4,60",https://www.brakesce.co.uk/products/pid_33506/db_image.image?id=68792&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_33506/Utopia-Harley-Pattern-Table-Fork.aspx
534905,60024,Norvege Stacking Tumbler 200ml,Arc International,"£554,42",https://www.brakesce.co.uk/products/pid_33794/db_image.image?id=68459&width=340&height=340&crop=false&ivi=lmi&fit=true,https://www.brakesce.co.uk/products/pid_33794/Norvege-Stacking-Tumbler-200ml.aspx
