bricoman_code,name,model,price
10018872,TRAPANO 750 W B&D,KR705KP-IT,79.90
10022334,TRAPANO 750 W BOSCH SET 15 PZ,PSB 750 RCE,99.90
10002684,SVITAVVITA B&D +19 ACC.,A7073-XJ,9.90
10029621,"AVVITATORE 10,8V BOSCH LITIO","PSR 10,8 LI",99.90
10029623,"AVVITATORE MAKITA 10,8 V LITIO",DF330DWE,189.90
10019721,"TRAPANO BATTENTE BOSCH 14,4V LITIO",603958400,169.00
10019720,TRAPANO BATTENTE BOSCH 18V LITIO,PSB 18 LI 2,199.00
10025872,SEGHETTO ALTERNATIVO 530 W BOSCH,PST 800 PEL,79.90
10029697,SEGA A GATTUCCIO BOSCH 900 W,PSA 900 E,149.00
10029630,SEGA CIRCOLARE MAKITA 1200 W LAMA 190 mm,5704R,159.90
10003485,LEVIGATRICE ORBIT.BOSCH 200 W 92X182 mm,PSS200AC,49.90
10029698,LEVIGATRICE ROTORB. 270 W BOSCH 125 mm,PEX 300 AE,79.90
10027872,MULTILEVIGATRICE 4 IN 1 B&D 220W,KA280LK,89.90
10003493,FRESATRICE BOSCH 1200 W 55 mm,POF 1200 AE,99.90
10014404,SMERIGLIATRICE BOSCH 720 W 115 mm,PWS 720-115,49.90
