"code","ean","name","brand","model","category"
10013513,"2000000005911","SCALA TELESCOPICA PROFESS.FARAONE H4,65m EN131 ALLUMINIO 5+5 GRADINI 13 kg - PORTATA 150 kg","FARAONE",,"building/materials"
10013512,"2000000005904","SCALA TELESCOPICA PROFESS.FARAONE H3,53m EN131 ALLUMINIO 4+4 GRADINI 11 kg - PORTATA 150 kg","FARAONE",,"building/materials"
10009127,"8014802002508","PIANO C/BOTOLA FARAONE UNI EN 1004 PER TRABATTELLO RAPIDO160 IN COMPENSATO MARINO","FARAONE",,"building/materials"
10009126,"8014802002515","KIT4STABILIZZATORI FARAONE P/TRABATTELLO RAPIDO160 H 2m IN ALLUMINIO CERTIFICATO UNI EN 1004","FARAONE",,"building/materials"
10009125,"8014802003079","TERMINALE FARAONE TRABATTELLO RAPIDO160 BASE 80x160cm ALLUMINIO 1m CERTIFICATO UNI EN 1004","FARAONE",,"building/materials"
10009124,"8014802002492","TERMINALE FARAONE TRABATTELLO RAPIDO 160 BASE 80x160cm ALLUMINIO 2m CERTIFICATO UNI EN 1004","FARAONE",,"building/materials"
10009123,"8014802002485","INTERMEDIO FARAONE TRABATTELLO RAPIDO160 BASE 80x160cm ALLUMINIO 2m CERTIFICATO UNI EN 1004","FARAONE",,"building/materials"
10009122,"8014802005813","BASE TRABATTELLO FARAONE RAPIDO 160 BASE 80x160cm ALLUMINIO 2m CERTIFICATO UNI EN 1004","FARAONE",,"building/materials"
10009121,"8014802002355","SCALA PROFESSIONALE FARAONE H3,52m/7,72m ALLUMINIO 3 RAMPE 11+12+12 27 kg - PORTATA 150 kg","FARAONE","ST350/3N","building/materials"
10009120,"8014802002331","SCALA PROFESSIONALE FARAONE H3,01m/6,65m ALLUMINIO 3 RAMPE 9+10+10 23 kg - PORTATA 150 kg","FARAONE","ST300/3N","building/materials"
10009119,"8014802002317","SCALA PROFESSIONALE FARAONE H 2,5m/4,46m ALLUMINIO 3 RAMPE  7+8+8 17 kg - PORTATA 150 kg","FARAONE","ST250/3N","building/materials"
10014086,"2000000007243","BASE P/TRABATTELLO FARAONE PONTAL ALLUMINIO 60x140x150cm PORTATA 150kg EN131","FARAONE",,"building/materials"
