identifier,sku,name,price,url,category,brand,image_url,shipping_cost
,1025a,Canon 10x25A Binocular,179,http://www.camerahouse.com.au/products/Binoculars-Telescopes/Canon-10x25A-Binocular.aspx,,,,
,1100dkb,Canon EOS 1100D Grey w/18-55mm IS Lens Digital SLR Camera,599,http://www.camerahouse.com.au/products/DSLR/Canon-1100D-w18-55mm-IS-Lens-Grey-Digital-SLR-Camera.aspx,,,,
,1114347,Premier SSK-2200F Studio Lighting Kit,499,http://www.camerahouse.com.au/products/General-Accessories/Premier-SSK-2200F-Studio-Lighting-Kit.aspx,,,,
,12-0150,Bushnell Legacy 10x50 Binoculars,199,http://www.camerahouse.com.au/products/Binoculars-Telescopes/Bushnell-Legacy-10x50-Binoculars.aspx,,,,
,12-0842,Bushnell Legacy 8x42 Binoculars,199,http://www.camerahouse.com.au/products/Binoculars-Telescopes/Bushnell-Legacy-8x42-Binoculars.aspx,,,,
,12-1225,Bushnell Legacy 10-22x50 Binoculars,299,http://www.camerahouse.com.au/products/Binoculars-Telescopes/Bushnell-Legacy-10-22x50-Binoculars.aspx,,,,
,147973,Olympus ME-15 Microphone,49,http://www.camerahouse.com.au/products/General-Accessories/Olympus-ME-15-Microphone.aspx,,,,
,154544,Olympus 35mm macro lens EM-3535 Lens,349,http://www.camerahouse.com.au/products/Lenses/Olympus-35mm-macro-lens-EM-3535-Lens.aspx,,,,
,154568,Olympus 18-180mm f3.5-6.3 tele EZ-1818 Lens,799,http://www.camerahouse.com.au/products/Lenses/Olympus-18-180mm-f35-63-tele-EZ-1818-Lens.aspx,,,,
,154582,Olympus EF 8mm f/3.5 Fisheye Lens,1299,http://www.camerahouse.com.au/products/Lenses/Olympus-EF-8mm-f35-Fish-Eye-Lens.aspx,,,,
,155947,Olympus EP-5 Eyecup Accessories,10,http://www.camerahouse.com.au/products/General-Accessories/Olympus-EP-5-Eyecup-Accessories.aspx,,,,
,156678,Olympus MF-1 OM Adaptor Accessories,199,http://www.camerahouse.com.au/products/General-Accessories/Olympus-MF-1-OM-Adaptor-Accessories.aspx,,,,
,158191,Olympus EZ-1442 14-42mm  f/3.5-5.6 Zoom Lens,399,http://www.camerahouse.com.au/products/Lenses/Olympus-EZ-1442-14-42mm-f35-56-Zoom-Lens.aspx,,,,
,158207,Olympus 40mm-150mm f/4-5.6 Zoom Lens,499,http://www.camerahouse.com.au/products/Lenses/Olympus-EZ-4015-2-40-150mm-f4-56-Zoom-Lens.aspx,,,,
,160521,Olympus 50-200mm SWD EZ-5020-2 Lens,1599,http://www.camerahouse.com.au/products/Lenses/Olympus-50-200mm-SWD-EZ-5020-2-Lens.aspx,,,,
,160538,Olympus 70-300mm Tele Lens EZ-7030 Lens,599,http://www.camerahouse.com.au/products/Lenses/Olympus-70-300mm-tele-lens-EZ-7030-Lens.aspx,,,,
