sku,Nisbets Code,manufacturer,name,price,url_path,url_key
MBF8116,,Atosa,Atosa MBF8116 Single Door Upright Refrigerator,750,atosa-mbf8116-single-door-upright-refrigerator.html,atosa-mbf8116-single-door-upright-refrigerator
MBF8113,,Atosa,Atosa MBF8113 Single Door Upright Freezer,925,atosa-mbf8113-single-door-upright-freezer.html,atosa-mbf8113-single-door-upright-freezer
MBF8117,,Atosa,Atosa MBF8117 Double Door Upright Refrigerator,1079,atosa-mbf8117-double-door-upright-refrigerator.html,atosa-mbf8117-double-door-upright-refrigerator
MBF8114,,Atosa,Atosa MBF8114 Double Door Upright Freezer,1240,atosa-mbf8114-double-door-upright-freezer.html,atosa-mbf8114-double-door-upright-freezer
MBF8126,,Atosa,Atosa MBF8126 Double Door Upright Refrigerator,1400,atosa-mbf8126-double-door-upright-refrigerator.html,atosa-mbf8126-double-door-upright-refrigerator
MBF8125,,Atosa,Atosa MBF8125  Double Door Upright Freezer,1180,atosa-mbf8125-double-door-upright-freezer.html,atosa-mbf8125-double-door-upright-freezer
MBF8006,,Atosa,Atosa MBF8006 Triple Door Upright Refrigerator,1699,atosa-mbf8006-triple-door-upright-refrigerator.html,atosa-mbf8006-triple-door-upright-refrigerator
MBF8003,,Atosa,Atosa MBF8003 Triple Door Upright Freezer,1990,atosa-mbf8003-triple-door-upright-freezer.html,atosa-mbf8003-triple-door-upright-freezer
MBF8185,,Atosa,Atosa MBF8185 Single Door Upright Refrigerator,830,atosa-mbf8185-single-door-upright-refrigerator.html,atosa-mbf8185-single-door-upright-refrigerator
MBF8181,,Atosa,Atosa MBF8181 Single Door Upright Freezer,920,atosa-mbf8181-single-door-upright-freezer.html,atosa-mbf8181-single-door-upright-freezer
MBF8187,,Atosa,Atosa MBF8187 Double Door Upright Refrigerator,1190,atosa-mbf8187-double-door-upright-refrigerator.html,atosa-mbf8187-double-door-upright-refrigerator
MBF8183,,Atosa,Atosa MBF8183 Double Door Upright Freezer,1390,atosa-mbf8183-double-door-upright-freezer.html,atosa-mbf8183-double-door-upright-freezer
MCF8604,,Atosa,Atosa MCF8604 Single Glass Door Display Fridge,900,atosa-mcf8604-single-glass-door-display-fridge.html,atosa-mcf8604-single-glass-door-display-fridge
MCF8605,,Atosa,Atosa MCF8605 Double Glass Door Display Fridge,1280,atosa-mcf8605-double-glass-door-display-fridge.html,atosa-mcf8605-double-glass-door-display-fridge
MCF8705,,Atosa,Atosa MCF8705 Single Glass Door Display Freezer,900,atosa-mcf8705-single-glass-door-display-freezer.html,atosa-mcf8705-single-glass-door-display-freezer
MCF8701,,Atosa,Atosa MCF8701 Single Glass Door Display Freezer,1050,atosa-mcf8701-single-glass-door-display-freezer.html,atosa-mcf8701-single-glass-door-display-freezer
MCF8707,,Atosa,Atosa MCF8707 Double Glass Door Display Fridge,1300,atosa-mcf8707-double-glass-door-display-fridge.html,atosa-mcf8707-double-glass-door-display-fridge
MCF8703,,Atosa,Atosa MCF8703 Double Glass Door Display Freezer,1407,atosa-mcf8703-double-glass-door-display-freezer.html,atosa-mcf8703-double-glass-door-display-freezer
EPF3422,,Atosa,Atosa EPF3422 Double Door Refrigerated Counter,750,atosa-epf3422-double-door-refrigerated-counter.html,atosa-epf3422-double-door-refrigerated-counter
EPF3422B,,Atosa,Atosa EPF3422B Double Door Refrigerated Counter With Splashback,760,atosa-epf3422b-double-door-refrigerated-counter-with-splashback.html,atosa-epf3422b-double-door-refrigerated-counter-with-splashback
EPF3462,,Atosa,Atosa EPF3462 Double Door Freezer Counter,810,atosa-epf3462-double-door-freezer-counter.html,atosa-epf3462-double-door-freezer-counter
EPF3432,,Atosa,Atosa EPF3432 Three Door Refrigerated Counter,800,atosa-epf3432-three-door-refrigerated-counter.html,atosa-epf3432-three-door-refrigerated-counter
EPF3432B,,Atosa,Atosa EPF3432B Three Door Refrigerated Counter With Splashback,850,atosa-epf3432-three-door-refrigerated-counter-with-splashback.html,atosa-epf3432-three-door-refrigerated-counter-with-splashback
EPF3472,,Atosa,Atosa EPF3472 Three Door Freezer Counter,850,atosa-epf3472-three-door-freezer-counter.html,atosa-epf3472-three-door-freezer-counter
EPF3442,,Atosa,Atosa EPF3442 Four Door Refrigerated Counter,890,atosa-epf3442-four-door-refrigerated-counter.html,atosa-epf3442-four-door-refrigerated-counter
EPF3442B,,Atosa,Atosa EPF3442B Four Door Refrigerated Counter With Splashback,1000,atosa-epf3442b-four-door-refrigerated-counter-with-splashback.html,atosa-epf3442b-four-door-refrigerated-counter-with-splashback
EPF3482,,Atosa,Atosa EPF3482 Four Door Freezer Counter,1010,atosa-epf3482-four-door-freezer-counter.html,atosa-epf3482-four-door-freezer-counter
EPF3721,,Atosa,Atosa EPF3721 Two Glass Door Display Refrigerated Counter,690,atosa-epf3721-two-glass-door-display-refrigerated-counter.html,atosa-epf3721-two-glass-door-display-refrigerated-counter
EPF3731,,Atosa,Atosa EPF3731 Three Glass Door Display Refrigerated Counter,890,atosa-epf3731-three-glass-door-display-refrigerated-counter.html,atosa-epf3731-three-glass-door-display-refrigerated-counter
ESL3800,,Atosa,Atosa ESL3800 Double Sliding Door Saladette Counter,460,atosa-esl3800-double-sliding-door-saladette-counter.html,atosa-esl3800-double-sliding-door-saladette-counter
ESL3801,,Atosa,Atosa ESL3801 Double Door Refrigerated Counter,460,atosa-esl3801-double-door-refrigerated-counter.html,atosa-esl3801-double-door-refrigerated-counter
ESL3831,,Atosa,Atosa ESL3831 Two Door Marble Top Saladette Counter,520,atosa-esl3831-two-door-marble-top-saladette-counter.html,atosa-esl3831-two-door-marble-top-saladette-counter
ESL3832,,Atosa,Atosa ESL3832 Two Door Saladette Counter,590,atosa-esl3832-two-door-saladette-counter.html,atosa-esl3832-two-door-saladette-counter
ESL3850,,Atosa,Atosa ESL3850 Triple Sliding Door Saladette Counter,580,atosa-esl3850-triple-sliding-door-saladette-counter.html,atosa-esl3850-triple-sliding-door-saladette-counter
ESL3851,,Atosa,Atosa ESL3851 Three Door Refrigerated Counter,600,atosa-esl3851-three-door-refrigerated-counter.html,atosa-esl3851-three-door-refrigerated-counter
ESL3852,,Atosa,Atosa ESL3852 Three Door Marble Top Saladette Counter,850,atosa-esl3852-three-door-marble-top-saladette-counter.html,atosa-esl3852-three-door-marble-top-saladette-counter
