name,sku,delivery_lead,manufacturer,Image URL,price,product_type,URL
"Relaxsan Moon Soft, 2'6 Small Single Mattress",rx_moonsoft_small,Next Day,Relaxsan,http://www.mynextmattress.co.uk/media/catalog/product/cache/1/thumbnail/452x400/9df78eab33525d08d6e5fb8d27136e95,118,Mattress,http://www.mynextmattress.co.uk/relaxsan-moon-soft-2-6-small-single-mattress
"Relaxsan Moon Soft, 3' Single Mattress",rx_moonsoft_single,3 Weeks,Relaxsan,http://www.mynextmattress.co.uk/media/catalog/product/cache/1/thumbnail/452x400/9df78eab33525d08d6e5fb8d27136e95,118,Mattress,http://www.mynextmattress.co.uk/relaxsan-moon-soft-3-single-mattress
"Relaxsan Moon Soft, 4' Small Double Mattress",rx_moonsoft_smalldouble,3 Weeks,Relaxsan,http://www.mynextmattress.co.uk/media/catalog/product/cache/1/thumbnail/452x400/9df78eab33525d08d6e5fb8d27136e95,168,Mattress,http://www.mynextmattress.co.uk/relaxsan-moon-soft-4-small-double-mattress
"Relaxsan Moon Soft, 4'6 Double Mattress",rx-moonsoft-double,Next Day,Relaxsan,http://www.mynextmattress.co.uk/media/catalog/product/cache/1/thumbnail/452x400/9df78eab33525d08d6e5fb8d27136e95,168,Mattress,http://www.mynextmattress.co.uk/relaxsan-moon-soft-4-6-double-mattress
"Relaxsan Moon Soft, 5' Kingsize Mattress",rx_moonsoft_kingsize,3 Weeks,Relaxsan,http://www.mynextmattress.co.uk/media/catalog/product/cache/1/thumbnail/452x400/9df78eab33525d08d6e5fb8d27136e95,196,Mattress,http://www.mynextmattress.co.uk/relaxsan-moon-soft-5-kingsize-mattress
"Relaxsan Moon Firm, 2'6 Small Single Mattress",rx_moonfirm_small,3 Weeks,Relaxsan,http://www.mynextmattress.co.uk/media/catalog/product/cache/1/thumbnail/452x400/9df78eab33525d08d6e5fb8d27136e95,120,Mattress,http://www.mynextmattress.co.uk/relaxsan-moon-firm-2-6-small-single-mattress
"Relaxsan Moon Firm, 3' Single Mattress",rx_moonfirm_single,Next Day,Relaxsan,http://www.mynextmattress.co.uk/media/catalog/product/cache/1/thumbnail/452x400/9df78eab33525d08d6e5fb8d27136e95,120,Mattress,http://www.mynextmattress.co.uk/relaxsan-moon-firm-3-single-mattress
"Relaxsan Moon Firm, 4'6 Double Mattress",rx_moonfirm_double,3 Weeks,Relaxsan,http://www.mynextmattress.co.uk/media/catalog/product/cache/1/thumbnail/452x400/9df78eab33525d08d6e5fb8d27136e95,168,Mattress,http://www.mynextmattress.co.uk/relaxsan-moon-firm-4-6-double-mattress
"Relaxsan Moon Firm, 4' Small Double Mattress",rx_moonfirm_small_double,3 Weeks,Relaxsan,http://www.mynextmattress.co.uk/media/catalog/product/cache/1/thumbnail/452x400/9df78eab33525d08d6e5fb8d27136e95,168,Mattress,http://www.mynextmattress.co.uk/relaxsan-moon-firm-4-small-double-mattress
"Relaxsan Moon Firm, 5' Kingsize Mattress",rx_moonfirm_kingsize,Next Day,Relaxsan,http://www.mynextmattress.co.uk/media/catalog/product/cache/1/thumbnail/452x400/9df78eab33525d08d6e5fb8d27136e95,196,Mattress,http://www.mynextmattress.co.uk/relaxsan-moon-firm-5-kingsize-mattress
