Our Part n.o,Description,Manufacturer Pt N.o
FERN21242D-100EUS,Netgear ReadyNAS 2120 1U 4-Bay 4x2TB Desktop Drive,RN21242D-100EUS
FERN21241E-100EUS,Netgear ReadyNAS 2120 1U 4-Bay 4x1TB Enterprise Drive,RN21241E-100EUS
FERN21244E-100EUS,Netgear ReadyNAS 2120 1U 4-Bay 4x4TB Enterprise Drive,RN21244E-100EUS
FERN21241D-100EUS,Netgear ReadyNAS 2120 1U 4-Bay 4x1TB Desktop Drive,RN21241D-100EUS
FERN21243E-100EUS,Netgear ReadyNAS 2120 1U 4-Bay 4x3TB Enterprise Drive,RN21243E-100EUS
FERN2120-100EUS,Netgear ReadyNAS 2120 1U 4-Bay Diskless,RN2120-100EUS
FERN21242E-100EUS,Netgear ReadyNAS 2120 1U 4-Bay 4x2TB Enterprise Drive,RN21242E-100EUS
FERN10221D-100EUS,"Netgear ReadyNAS 102 2-Bay, 2x1TB Desktop Drive",RN10221D-100EUS
FERN10441D-100EUS,"Netgear ReadyNAS 104 4-Bay, 4x1TB Desktop Drive",RN10441D-100EUS
FERN10211D-100EUS,"Netgear ReadyNAS 102 2-Bay, 1x1TB Desktop Drive",RN10211D-100EUS
FERN10400-100EUS,"Netgear ReadyNAS 104 4-Bay, Diskless",RN10400-100EUS
FERN10421D-100EUS,"Netgear ReadyNAS 104 4-Bay, 2x1TB Desktop Drive",RN10421D-100EUS
FERN10223D-100EUS,"Netgear ReadyNAS 102 2-Bay, 2x3TB Desktop Drive",RN10223D-100EUS
FERN10200-100EUS,"Netgear ReadyNAS 102 2-Bay, Diskless",RN10200-100EUS
FERN10222D-100EUS,"Netgear ReadyNAS 102 2-Bay, 2x2TB Desktop Drive",RN10222D-100EUS
FERN10442D-100EUS,"Netgear ReadyNAS 104 4-Bay, 4x2TB Desktop Drive",RN10442D-100EUS
FERN31200-100EUS,"Netgear ReadyNAS 312 2-Bay, Diskless",RN31200-100EUS
FERN31221D-100EUS,"Netgear ReadyNAS 312 2-Bay, 2x1TB Desktop Drive",RN31221D-100EUS
FERN31441D-100EUS,"Netgear ReadyNAS 314 4-Bay, 4x1TB Desktop Drive",RN31441D-100EUS
FERN31443E-100EUS,"Netgear ReadyNAS 314 4-Bay, 4x3TB Enterprise Drive",RN31443E-100EUS
FERN31662D-100EUS,"Netgear ReadyNAS 316 6-Bay, 6x2TB Desktop Drive",RN31662D-100EUS
FERN31664E-100EUS,"Netgear ReadyNAS 316 6-Bay, 6x4TB Enterprise Drive",RN31664E-100EUS
FERN31212D-100EUS,"Netgear ReadyNAS 312 2-Bay, 1x2TB Desktop Drive",RN31212D-100EUS
FERN31421D-100EUS,"Netgear ReadyNAS 314 4-bay, 2x1TB Desktop Drive",RN31421D-100EUS
FERN31442E-100EUS,"Netgear ReadyNAS 314 4-Bay, 4x2TB Enterprise Drive",RN31442E-100EUS
FERN31661E-100EUS,"Netgear ReadyNAS 316 6-Bay, 6x1TB Enterprise Drive",RN31661E-100EUS
FERN31664D-100EUS,"Netgear ReadyNAS 316 6-Bay, 6x4TB Desktop Drive",RN31664D-100EUS
FERN31211D-100EUS,"Netgear ReadyNAS 312 2-Bay, 1x1TB Desktop Drive",RN31211D-100EUS
FERN31400-100EUS,"Netgear ReadyNAS 314 4-Bay, Diskless",RN31400-100EUS
FERN31442D-100EUS,"Netgear ReadyNAS 314 4-Bay, 4x2TB Desktop Drive",RN31442D-100EUS
FERN31661D-100EUS,"Netgear ReadyNAS 316 6-Bay, 6x1TB Desktop Drive",RN31661D-100EUS
FERN31663E-100EUS,"Netgear ReadyNAS 316 6-Bay, 6x3TB Enterprise Drive",RN31663E-100EUS
FERN31222D-100EUS,"Netgear ReadyNAS 312 2-Bay, 2x2TB Desktop Drive",RN31222D-100EUS
FERN31441E-100EUS,"Netgear ReadyNAS 314 4-Bay, 4x1TB Enterprise Drive",RN31441E-100EUS
FERN31600-100EUS,"Netgear ReadyNAS 316 6-Bay, Diskless",RN31600-100EUS
FERN31662E-100EUS,"Netgear ReadyNAS 316 6-Bay, 6x2TB Enterprise Drive",RN31662E-100EUS
FERN51600-100EUS,"Netgear ReadyNAS 516 6-Bay, Diskless",RN51600-100EUS
FERN51663E-100EUS,"Netgear ReadyNAS 516 6-Bay, 6x3TB Enterprise Drive",RN51663E-100EUS
FERN51662E-100EUS,Netgear ReadyNAS 516 6-Bay 6x2TB Enterprise Drive,RN51662E-100EUS
FERN51661E-100EUS,"Netgear ReadyNAS 516 6-Bay, 6x1TB Enterprise Drive",RN51661E-100EUS
FERN51664E-100EUS,"Netgear ReadyNAS 516 6-Bay, 6x4TB Enterprise Drive",RN51664E-100EUS
FERN322124E-100NES,Netgear ReadyNas 3220 2U 12-Bay 12x4TB Enterprise Drives,RN322124E-100NES
FERN322123E-100NES,Netgear ReadyNas 3220 2U 12-Bay 12x3TB Enterprise Drives,RN322123E-100NES
FERN322122E-100NES,Netgear ReadyNas 3220 2U 12-Bay 12x2TB Enterprise Drives,RN322122E-100NES
FERN32263E-100NES,Netgear ReadyNas 3220 2U 12-Bay 6x3TB Enterprise Drives,RN32263E-100NES
FERN3220-100NES,Netgear ReadyNas 3220 2U 12-Bay Diskless,RN3220-100NES
FERN32262E-100NES,Netgear ReadyNas 3220 2U 12-Bay 6x2TB Enterprise Drives,RN32262E-100NES
FERN422X123-100NES,Netgear ReadyNas 4220 2U 12-Bay 12x3TB Enterprise Drives,RN422X123-100NES
