Unique product code,Product name,Brand,Category,Price,RRP,Shipping cost,Cost price,Stock availability,Product page URL,EAN
389877GE,SEALY POCKET SPRINGBACK PILLOW,Sealy,PILLOWS,34.99,,Free Shipping,11.63,In Stock,https://www.sleepypeople.com/sealy-pocket-springback-pillow.html,5012701389877
390309GE,SEALY SPINAL ALIGNMENT PILLOW - 3CM,Sealy,PILLOWS,27.99,,Free Shipping,8.26,In Stock,https://www.sleepypeople.com/sealy-spinal-alignment-pillow-3cm.html,5012701390309
390323GE,SEALY SPINAL ALIGNMENT PILLOW - 7CM,Sealy,PILLOWS,29.99,,Free Shipping,8.78,In Stock,https://www.sleepypeople.com/sealy-spinal-alignment-pillow-7cm.html,5012701390323
390316GE,SEALY SPINAL ALIGNMENT PILLOW - 5CM,Sealy,PILLOWS,29.99,,Free Shipping,8.52,In Stock,https://www.sleepypeople.com/sealy-spinal-alignment-pillow-5cm.html,5012701390316
389846GE,SEALY COOLTECH GEL PILLOW,Sealy,PILLOWS,39.99,,Free Shipping,12.25,In Stock,https://www.sleepypeople.com/sealy-cooltech-gel-pillow.html,5012701389846
389853GE,SEALY OPTIMAL LATEX PILLOW,Sealy,PILLOWS,59.99,,Free Shipping,18.875,In Stock,https://www.sleepypeople.com/sealy-optimal-latex-pillow.html,5012701389853
406727GE,SEALY CLASSIC MATTRESS ENHANCER - SINGLE,Sealy,MATTRESS TOPPERS,119.99,,Free Shipping,38.38,In Stock,https://www.sleepypeople.com/sealy-posturepedic-classic-mattress-enhancer.html,5012701406727
400978GE,SEALY ELITE SUPERFIRM MATTRESS ENHANCER - SUPER KING,Sealy,MATTRESS TOPPERS,259.99,,Free Shipping,79.17,In Stock,https://www.sleepypeople.com/sealy-posturepedic-elite-superfirm-mattress-enhancer.html,5012701400978
390415GE,SEALY ZONAL SUPPORT MATTRESS ENHANCER - SUPER KING,Sealy,MATTRESS TOPPERS,199.99,,Free Shipping,59.37,Out Of Stock,https://www.sleepypeople.com/sealy-posturepedic-zonal-support-mattress-enhancer.html,5012701390415
400954GE,SEALY ELITE SUPERFIRM MATTRESS ENHANCER - DOUBLE,Sealy,MATTRESS TOPPERS,229.99,,Free Shipping,63.15,In Stock,https://www.sleepypeople.com/sealy-posturepedic-elite-superfirm-mattress-enhancer.html,5012701400954
390392GE,SEALY ZONAL SUPPORT MATTRESS ENHANCER - DOUBLE,Sealy,MATTRESS TOPPERS,159.99,,Free Shipping,41.7,Out Of Stock,https://www.sleepypeople.com/sealy-posturepedic-zonal-support-mattress-enhancer.html,5012701390392
390408GE,SEALY ZONAL SUPPORT MATTRESS ENHANCER - KING,Sealy,MATTRESS TOPPERS,179.99,,Free Shipping,46.05,Out Of Stock,https://www.sleepypeople.com/sealy-posturepedic-zonal-support-mattress-enhancer.html,5012701390408
400961GE,SEALY ELITE SUPERFIRM MATTRESS ENHANCER - KING,Sealy,MATTRESS TOPPERS,249.99,,Free Shipping,65.44,In Stock,https://www.sleepypeople.com/sealy-posturepedic-elite-superfirm-mattress-enhancer.html,5012701400961
400947GE,SEALY CLASSIC MATTRESS ENHANCER - SUPER KING,Sealy,MATTRESS TOPPERS,189.99,,Free Shipping,44.27,In Stock,https://www.sleepypeople.com/sealy-posturepedic-classic-mattress-enhancer.html,5012701400947
400930GE,SEALY CLASSIC MATTRESS ENHANCER - KING,Sealy,MATTRESS TOPPERS,169.99,,Free Shipping,37.63,In Stock,https://www.sleepypeople.com/sealy-posturepedic-classic-mattress-enhancer.html,5012701400930
400923GE,SEALY CLASSIC MATTRESS ENHANCER - DOUBLE,Sealy,MATTRESS TOPPERS,149.99,,Free Shipping,31.743,In Stock,https://www.sleepypeople.com/sealy-posturepedic-classic-mattress-enhancer.html,5012701400923
450041LS,SILENTNIGHT ANTI ALLERGY WATERPROOF PILLOW,Silentnight,PILLOWS,8.99,,Free Shipping,2.79,In Stock,https://www.sleepypeople.com/silentnight-anti-allergy-waterproof-pillow.html,5012701430784
447942LS,SILENTNIGHT ULTIMATE PILLOW,Silentnight,PILLOWS,12.99,,Free Shipping,3.56,In Stock,https://www.sleepypeople.com/silentnight-ultimate-pillow-1.html,5012701373722
288064GE,SILENTNIGHT DEEP SLEEP 7.5 TOG DUVET - SINGLE,Silentnight,DUVETS,16.99,,Free Shipping,5.811,In Stock,https://www.sleepypeople.com/silentnight-deep-sleep-duvet-7-5-tog.html,5012701288064
150057,SILENTNIGHT ANTI ALLERGY 10.5 TOG DUVET - SINGLE,Silentnight,DUVETS,16.99,,Free Shipping,5.798,In Stock,https://www.sleepypeople.com/silentnight-anti-allergy-duvet-10-5-tog.html,5012701216159
150016,SILENTNIGHT HOLLOWFIBRE 4.5 TOG DUVET - KING,Silentnight,DUVETS,17.99,,Free Shipping,6.37,In Stock,https://www.sleepypeople.com/silentnight-hollowfibre-duvet-4-5-tog.html,5012701215749
150015,SILENTNIGHT HOLLOWFIBRE 4.5 TOG DUVET - DOUBLE,Silentnight,DUVETS,16.99,,Free Shipping,5.733,In Stock,https://www.sleepypeople.com/silentnight-hollowfibre-duvet-4-5-tog.html,5012701215732
312462GE,SILENTNIGHT DEEP SLEEP MATTRESS TOPPER - SUPER KING,Silentnight,MATTRESS TOPPERS,17.99,,Free Shipping,6.292,In Stock,https://www.sleepypeople.com/silentnight-deep-sleep-mattress-topper.html,5012701312462
040180,SILENTNIGHT ULTRABOUNCE PILLOW - 2 PACK,Silentnight,PILLOWS,12.99,,Free Shipping,3.43,Out Of Stock,https://www.sleepypeople.com/silentnight-ultrabounce-pillow-2-pack.html,5012701202541
