sku,Product,Origin,mediamarkt,Amazon,Amazon - Download,Amazon search,
1,Battlefield 4™,https://www.origin.com/de-de/store/buy/battlefield-4/pc-download/base-game/standard-edition,http://games-download.mediamarkt.de/catalog/product/view/374156,http://www.amazon.de/gp/product/B00FHQOB02/ref=twister_B00C1XQGW0?ie=UTF8&psc=1,http://www.amazon.de/Battlefield-4-PC-Origin-Code/dp/B00DM5N8IQ/ref=sr_1_4?ie=UTF8&qid=1401269364&sr=8-4&keywords=Battlefield+4,B00FHQOB02,
2,Battlefield 4™ Digital Deluxe,https://www.origin.com/de-de/store/buy/battlefield-4/pc-download/base-game/digital-deluxe-edition,http://games-download.mediamarkt.de/catalog/product/view/353011,http://www.amazon.de/gp/product/B00C1XQGW0/ref=twister_B00FHQOB02?ie=UTF8&psc=1,No matches,B00C1XQGW0,
3,Battlefield 4™ Premium,https://www.origin.com/de-de/store/buy/battlefield-4/pc-download/addon/battlefield-4-premium,"http://www.mediamarkt.de/mcs/product/Battlefield-4-Premium-Service-%28Code-In-A-Box%29-Action-PC,48353,464590,979127.html?langId=-3",http://www.amazon.de/Battlefield-Premium-Service-Code-Box/dp/B00EY2XEZI/ref=sr_1_2?ie=UTF8&qid=1401269507&sr=8-2&keywords=battlefield+4+premium,http://www.amazon.de/Battlefield-Premium-Service-ben%C3%B6tigt-Origin/dp/B00F6143P6/ref=sr_1_1?ie=UTF8&qid=1401269415&sr=8-1&keywords=battlefield+4+premium,B00EY2XEZI,
4,Dragon Age™: Inquisition,https://www.origin.com/de-de/store/buy/dragon-age-inquisition/pc-download/base-game/standard-edition,http://games-download.mediamarkt.de/catalog/product/view/370403,http://www.amazon.de/Electronic-Arts-Dragon-Age-Inquisition/dp/B00JSQQX9O/ref=sr_1_2?ie=UTF8&qid=1401269531&sr=8-2&keywords=Dragon+Age%3A+Inquisition,http://www.amazon.de/gp/product/B00JZN29SO/ref=twister_B00JSQQX9O?ie=UTF8&psc=1,B00JSQQX9O,
5,Dragon Age™: Inquisition Digital Deluxe Edition,https://www.origin.com/de-de/store/buy/dragon-age-inquisition/pc-download/base-game/digital-deluxe-edition,No matches,No matches,No matches,No matches,
6,FIFA 14,https://www.origin.com/de-de/store/buy/fifa-14/pc-download/base-game/standard-edition,http://games-download.mediamarkt.de/catalog/product/view/2376,http://www.amazon.de/gp/product/B00D5SMSY0/ref=twister_B009HRA8PY?ie=UTF8&psc=1,http://www.amazon.de/gp/product/B00D5SMSY0/ref=twister_B009HRA8PY?ie=UTF8&psc=1,B00D5SMSY0,
7,FIFA 14 Digital Deluxe,https://www.origin.com/de-de/store/buy/fifa-14/pc-download/base-game/digital-deluxe-edition,No matches,No matches,No matches,No matches,
8,Plants vs. Zombies™ Garden Warfare,https://www.origin.com/de-de/store/buy/plants-vs-zombies-garden-warfare/pc-download/base-game/standard-edition,http://games-download.mediamarkt.de/catalog/product/view/374320,No matches,http://www.amazon.de/Pflanzen-gegen-Zombies-Garden-Warfare/dp/B00F614266/ref=sr_1_1?s=videogames&ie=UTF8&qid=1401270100&sr=1-1&keywords=Plants+vs.+Zombies%E2%84%A2+Garden+Warfare,No matches,
9,Plants vs. Zombies™ Garden Warfare Digital Deluxe,https://www.origin.com/de-de/store/buy/plants-vs-zombies-garden-warfare/pc-download/base-game/digital-deluxe-edition,No matches,No matches,No matches,No matches,
10,SimCity™,https://www.origin.com/de-de/store/buy/simcity-2013-/mac-pc-download/base-game/standard-edition,http://games-download.mediamarkt.de/catalog/product/view/2286,http://www.amazon.de/Electronic-Arts-SimCity-PC/dp/B007HNZBIY/ref=sr_1_1?s=videogames&ie=UTF8&qid=1401270194&sr=1-1&keywords=SimCity,http://www.amazon.de/gp/product/B00B9ERUKE/ref=twister_B007HNZBIY?ie=UTF8&psc=1,B007HNZBIY,
11,SimCity™ Digital Deluxe Edition,https://www.origin.com/de-de/store/buy/simcity-2013-/mac-pc-download/base-game/digital-deluxe-edition,http://games-download.mediamarkt.de/catalog/product/view/2263,No matches,No matches,No matches,
12,The Sims™ 3,https://www.origin.com/de-de/store/buy/sims-3/mac-pc-download/base-game/standard-edition,http://games-download.mediamarkt.de/catalog/product/view/1544,http://www.amazon.de/Electronic-Arts-Die-Sims-3/dp/B001IZYYT4/ref=sr_1_1?s=videogames&ie=UTF8&qid=1401270378&sr=1-1&keywords=The+Sims%E2%84%A2+3,http://www.amazon.de/Die-Sims-Mac-Origin-Code/dp/B008MAQ6LM/ref=pd_cp_vg_0,B001IZYYT4,
13,The Sims™ 3 Into the Future,https://www.origin.com/de-de/store/buy/sims-3-into-the-future-ep11-/mac-pc-download/addon/the-sims-3-into-the-future,http://games-download.mediamarkt.de/catalog/product/view/2498,http://www.amazon.de/gp/product/B00EFS3IVQ/ref=twister_B00ESBSMRU?ie=UTF8&psc=1,http://www.amazon.de/gp/product/B00FXRM0NA/ref=twister_B00ESBSMRU,B00EFS3IVQ,
14,The Sims™ 3 Island Paradise,https://www.origin.com/de-de/store/buy/191440/mac-pc-download/addon/the-sims-3-island-paradise,http://games-download.mediamarkt.de/catalog/product/view/2397,http://www.amazon.de/gp/product/B00BL1OGZW/ref=twister_B00BL1OKV2?ie=UTF8&psc=1,http://www.amazon.de/gp/product/B00C0X8IJA/ref=twister_B00BL1OKV2,B00BL1OGZW,
15,The Sims™ 3 Late Night Expansion Pack,https://www.origin.com/de-de/store/buy/sims-3-late-night-ep3-/mac-pc-download/addon/the-sims-3-late-night-expansion-pack,http://games-download.mediamarkt.de/catalog/product/view/1648,http://www.amazon.de/Die-Sims-Late-Night-Add/dp/B003X144WI/ref=sr_1_fkmr0_3?s=videogames&ie=UTF8&qid=1401270542&sr=1-3-fkmr0&keywords=The+Sims%E2%84%A2+3+Late+Night+Expansion+Pack,http://www.amazon.de/gp/product/B007LTOVT4/ref=twister_B003X144WI?ie=UTF8&psc=1,B003X144WI,
16,The Sims™ 3 Pets,https://www.origin.com/de-de/store/buy/179361/mac-pc-download/addon/the-sims-3-pets,http://games-download.mediamarkt.de/catalog/product/view/1747,http://www.amazon.de/Die-Sims-Einfach-tierisch-Add/dp/B0054K936I/ref=sr_1_1?s=videogames&ie=UTF8&qid=1401270569&sr=1-1&keywords=The+Sims%E2%84%A2+3+Pets,http://www.amazon.de/gp/product/B007C9KYG2/ref=twister_B0054K936I?ie=UTF8&psc=1,B0054K936I,
17,The Sims™ 3 Seasons,https://www.origin.com/de-de/store/buy/185627/mac-pc-download/addon/the-sims-3-seasons,http://games-download.mediamarkt.de/catalog/product/view/2107,http://www.amazon.de/gp/product/B008XF01IK/ref=twister_B008RU2BQQ?ie=UTF8&psc=1,http://www.amazon.de/gp/product/B00A03RSFW/ref=twister_B008RU2BQQ,B008XF01IK,
18,The Sims™ 3 Showtime,https://www.origin.com/de-de/store/buy/181481/mac-pc-download/addon/the-sims-3-showtime,http://games-download.mediamarkt.de/catalog/product/view/1876,http://www.amazon.de/Die-Sims-Showtime-Add-PC/dp/B006IPBV7M/ref=sr_1_1?s=videogames&ie=UTF8&qid=1401270625&sr=1-1&keywords=The+Sims%E2%84%A2+3+Showtime,http://www.amazon.de/gp/product/B007LTOVJY/ref=twister_B006IPBV7M?ie=UTF8&psc=1,B006IPBV7M, 
19,The Sims™ 3 Starter Pack,https://www.origin.com/de-de/store/buy/191672/mac-pc-download/base-game/standard-edition,No matches,http://www.amazon.de/Die-Sims-Starter-Set-PC/dp/B00CST3LX4/ref=sr_1_fkmr0_1?s=videogames&ie=UTF8&qid=1401270652&sr=1-1-fkmr0&keywords=The+Sims%E2%84%A2+3+Starter+Pack,No matches,B00CST3LX4,
20,The Sims™ 3 Supernatural,https://www.origin.com/de-de/store/buy/sims-3-supernatural-ep7-/mac-pc-download/addon/the-sims-3-supernatural,http://games-download.mediamarkt.de/catalog/product/view/2057,http://www.amazon.de/Die-Sims-Supernatural-Add-Mac/dp/B009B2LDI6/ref=sr_1_fkmr0_1?s=videogames&ie=UTF8&qid=1401270718&sr=1-1-fkmr0&keywords=The+Sims%E2%84%A2+3+Supernatural,http://www.amazon.de/gp/product/B009BG5Q44/ref=twister_B009B2LDI6?ie=UTF8&psc=1,B009B2LDI6,
21,The Sims™ 3 University Life,https://www.origin.com/de-de/store/buy/191438/mac-pc-download/addon/the-sims-3-university-life,http://games-download.mediamarkt.de/catalog/product/view/2291,http://www.amazon.de/gp/product/B00B9ERT9Q/ref=twister_B00B1A4WNO,http://www.amazon.de/gp/product/B00B9ERT9Q/ref=twister_B00B1A4WNO,B00B9ERT9Q,
22,The Sims™ 4 Digital Deluxe,https://www.origin.com/de-de/store/buy/55482/pc-download/base-game/digital-deluxe-edition,No matches,No matches,No matches,B00EJNWC6E,
23,The Sims™ 4 Limited Edition,https://www.origin.com/de-de/store/buy/sims-4/pc-download/base-game/limited-edition,http://games-download.mediamarkt.de/catalog/product/view/376144,http://www.amazon.de/Die-Sims-4-Limited-PC/dp/B00EJNW9VC/ref=sr_1_fkmr0_3?s=videogames&ie=UTF8&qid=1401270780&sr=1-3-fkmr0&keywords=The+Sims%E2%84%A2+4+Digital+Deluxe,http://www.amazon.de/gp/product/B00ENHTZ6G/ref=twister_B00EJNW9VC?ie=UTF8&psc=1,B00EJNW9VC,
24,Titanfall™,https://www.origin.com/de-de/store/buy/1011172/pc-download/base-game/standard-edition,http://games-download.mediamarkt.de/catalog/product/view/370404,http://www.amazon.de/Electronic-Arts-Titanfall-Origin-Code/dp/B00GY7U55S/ref=sr_1_1?s=videogames&ie=UTF8&qid=1401272113&sr=1-1&keywords=TITANFALL+DIGITAL+DELUXE,http://www.amazon.de/Electronic-Arts-Titanfall-Origin-Code/dp/B00GY7U55S/ref=sr_1_1?s=videogames&ie=UTF8&qid=1401272113&sr=1-1&keywords=TITANFALL+DIGITAL+DELUXE,B00GY7U55S,
25,Titanfall™ Digital Deluxe,https://www.origin.com/de-de/store/buy/1011172/pc-download/base-game/digital-deluxe-edition,No matches,No matches,No matches,No matches,
26,Titanfall™ Season Pass,https://www.origin.com/de-de/store/buy/192294/pc-download/addon/titanfall-season-pass,http://games-download.mediamarkt.de/catalog/product/view/370404,No matches,http://www.amazon.de/Titanfall-Season-Pass-Origin-Code/dp/B00IZA9OHC/ref=sr_1_2?s=videogames&ie=UTF8&qid=1401272157&sr=1-2&keywords=TITANFALL+DIGITAL+DELUXE,No matches,
1013920,Battlefield™ Hardline,https://www.origin.com/de-de/store/buy/battlefield-hardline/pc-download/base-game/standard-edition,No matches,No matches,No matches,B00KM3Q5VS,
1022858,Battlefield™ Hardline Digital Deluxe,https://www.origin.com/de-de/store/buy/battlefield-hardline/pc-download/base-game/digital-deluxe-edition,No matches,No matches,No matches,No matches,
1023299,EA SPORTS™ FIFA 15,https://www.origin.com/de-de/store/buy/fifa-15/pc-download/base-game/standard-edition,No matches,No matches,No matches,B00KT2ZDCE,
1024871,EA SPORTS™ FIFA 15 Ultimate Team Edition,https://www.origin.com/de-de/store/buy/fifa-15/pc-download/base-game/ultimate-edition,No matches,No matches,No matches,No matches,
1023752,Watch_Dogs™ Deluxe Edition,https://www.origin.com/de-de/store/buy/watch-dogs/pc-download/base-game/deluxe-edition,No matches,No matches,http://www.amazon.de/Watch-Dogs-Digital-Edition-Download/dp/B00FJVCKWG/,No matches,
