sku,Product,Origin,GreenmanGaming - PC Box,GreenmanGaming - Download,Game - PC Box,Game - Download,Amazon - PC Download,Amazon Search,Amazon Marketplace
1007968,Battlefield 4™,https://www.origin.com/en-gb/store/buy/battlefield-4/pc-download/base-game/standard-edition,http://www.greenmangaming.com/s/gb/en/pc-dvd/games/shooter/battlefield-4/,http://www.greenmangaming.com/s/gb/en/pc/games/shooter/battlefield-4/,http://www.game.co.uk/en/battlefield-4-256257?catGroupId=,http://www.game.co.uk/en/battlefield-4-255856?catGroupId=,http://www.amazon.co.uk/Battlefield-4-Online-Game-Code/dp/B00E9G39RC/ref=sr_1_1?ie=UTF8&qid=1405678475&sr=8-1&keywords=battlefield+4,B00G5H84ZA,http://www.amazon.co.uk/Battlefield-Standard-Edition-PC-DVD/dp/B00G5H84ZA/ref=sr_1_8?ie=UTF8&qid=1405679178&sr=8-8&keywords=Battlefield+4
1010959,Battlefield 4™ Digital Deluxe,https://www.origin.com/en-gb/store/buy/battlefield-4/pc-download/base-game/digital-deluxe-edition,No match,No match,No match,No match,http://www.amazon.co.uk/Battlefield-PC-DVD-Limited-Edition/dp/B00C0W6N84/ref=sr_1_2?ie=UTF8&qid=1405678533&sr=8-2&keywords=Battlefield+4+Digital+Deluxe,B00C0W6N84,http://www.amazon.co.uk/Battlefield-PC-DVD-Limited-Edition/dp/B00C0W6N84/ref=sr_1_4?ie=UTF8&qid=1405679178&sr=8-4&keywords=Battlefield+4
1016080,Battlefield 4™ Premium,https://www.origin.com/en-gb/store/buy/battlefield-4/pc-download/addon/battlefield-4-premium,No match,http://www.greenmangaming.com/s/gb/en/pc/games/action/battlefield-4-premium/,No match,http://www.game.co.uk/en/battlefield-4-premium-service-244887?catGroupId=,No match,B00FZHDZ96,http://www.amazon.co.uk/Battlefield-Premium-Service-PC-DVD/dp/B00FZHDZ96/ref=sr_1_4?ie=UTF8&qid=1405679247&sr=8-4&keywords=Battlefield+4+Premium
1019708,Battlefield™ Hardline,https://www.origin.com/en-gb/store/buy/battlefield-hardline/pc-download/base-game/standard-edition,http://www.greenmangaming.com/s/gb/en/pc-dvd/games/shooter/battlefield-hardline/,No match,http://www.game.co.uk/en/battlefield-hardline-300794?pageSize=20&categoryIdentifier=737152&catGroupId=,http://www.game.co.uk/en/battlefield-hardline-300794?pageSize=20&categoryIdentifier=737152&catGroupId=,No match,B00KMV311W,http://www.amazon.co.uk/Electronic-Arts-Battlefield-Hardline-PC/dp/B00KMV311W/ref=sr_1_5?ie=UTF8&qid=1405679270&sr=8-5&keywords=Battlefield+Hardline
1022872,Battlefield™ Hardline Digital Deluxe,https://www.origin.com/en-gb/store/buy/battlefield-hardline/pc-download/base-game/digital-deluxe-edition,No match,No match,No match,No match,No match,No match,No match
1000659,Dragon Age™: Inquisition,https://www.origin.com/en-gb/store/buy/dragon-age-inquisition/pc-download/base-game/standard-edition,http://www.greenmangaming.com/s/gb/en/pc-dvd/games/rpgs/dragon-age-inquisition/,http://www.greenmangaming.com/s/gb/en/pc/games/rpgs/dragon-age-inquisition/,http://www.game.co.uk/en/dragon-age-inquisition-293375?pageSize=20&categoryIdentifier=722605&catGroupId=,http://www.game.co.uk/en/dragon-age-inquisition-293375?pageSize=20&categoryIdentifier=722605&catGroupId=,No match,B00JXFXLAE,http://www.amazon.co.uk/Dragon-Age-Inquisition-PC-DVD/dp/B00JXFXLAE/ref=sr_1_4?ie=UTF8&qid=1405679306&sr=8-4&keywords=Dragon+Age%3A+Inquisition
1018721,Dragon Age™: Inquisition Digital Deluxe,https://www.origin.com/en-gb/store/buy/dragon-age-inquisition/pc-download/base-game/digital-deluxe-edition,No match,No match,No match,No match,No match,No match,No match
1023299,EA SPORTS™ FIFA 15,https://www.origin.com/en-gb/store/buy/fifa-15/pc-download/base-game/standard-edition,http://www.greenmangaming.com/s/gb/en/pc-dvd/games/sports/fifa-15/,http://www.greenmangaming.com/s/gb/en/pc/games/sports/fifa-15/,http://www.game.co.uk/en/fifa-15-301042?pageSize=20&categoryIdentifier=737173&catGroupId=,http://www.game.co.uk/en/fifa-15-301042?pageSize=20&categoryIdentifier=737173&catGroupId=,No match,B00KHJLGL6,http://www.amazon.co.uk/Electronic-Arts-FIFA-15-PC/dp/B00KHJLGL6/ref=sr_1_9?ie=UTF8&qid=1405679332&sr=8-9&keywords=Fifa+15
1024871,EA SPORTS™ FIFA 15 Ultimate Team Edition,https://www.origin.com/en-gb/store/buy/fifa-15/pc-download/base-game/ultimate-edition,No match,No match,No match,No match,No match,No match,No match
1011216,Plants vs. Zombies™ Garden Warfare,https://www.origin.com/en-gb/store/buy/plants-vs-zombies-garden-warfare/pc-download/base-game/standard-edition,No match,http://www.greenmangaming.com/s/gb/en/pc/games/strategy/plants-vs-zombies-garden-warfare/,No match,http://www.game.co.uk/en/plants-vs-zombies-garden-warfare-245914?pageSize=20&searchTerm=Plants%20vs.%20Zombies%C3%A2%C2%84%C2%A2%20Garden%20Warfare&catGroupId=,No match,No match,No match
1014748,Plants vs. Zombies™ Garden Warfare Digital Deluxe,https://www.origin.com/en-gb/store/buy/plants-vs-zombies-garden-warfare/pc-download/base-game/digital-deluxe-edition,No match,No match,No match,No match,No match,No match,No match
71480,SimCity™,https://www.origin.com/en-gb/store/buy/simcity-2013-/mac-pc-download/base-game/standard-edition,http://www.greenmangaming.com/s/gb/en/pc-dvd/games/simulation/simcity/,http://www.greenmangaming.com/s/gb/en/pc/games/simulation/simcity/,http://www.game.co.uk/en/simcity-172941?pageSize=20&searchTerm=SimCity&catGroupId=,http://www.game.co.uk/en/simcity-172941?pageSize=20&searchTerm=SimCity&catGroupId=,http://www.amazon.co.uk/Electronic-Arts-SimCity-Online-Game/dp/B00DU0C5KA/ref=sr_1_2?ie=UTF8&qid=1405678895&sr=8-2&keywords=sim+city,B00B47CP9W,http://www.amazon.co.uk/Electronic-Arts-Sim-City-DVD/dp/B00B47CP9W/ref=sr_1_1_title_0?s=videogames&ie=UTF8&qid=1405679435&sr=1-1&keywords=sim+city
71652,SimCity™ Digital Deluxe Edition,https://www.origin.com/en-gb/store/buy/simcity-2013-/mac-pc-download/base-game/digital-deluxe-edition,No match,No match,No match,No match,No match,No match,No match
