identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock
,,Motorola XT560 Defy Pro,269,http://www.mobicity.co.nz/motorola-xt-560-defy-pro.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/m/o/motorola-defy-pro-1.jpg,,
,,Samsung Galaxy Mega 6.3,,http://www.mobicity.co.nz/samsung-galaxy-mega-6-3.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-mega-1_1.jpg,,
,,Samsung Galaxy Mega 5.8 DUOS,,http://www.mobicity.co.nz/samsung-galaxy-mega-5-8.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-mega-5-8-3.jpg,,
,,LG Nexus 4 8GB - Open Box Special,439,http://www.mobicity.co.nz/lg-nexus-4-8gb-obs.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/l/g/lg-nexus-4-4_2.jpg,,
,,Sony Xperia Z 4G LTE C6603 - Open Box Special,669,http://www.mobicity.co.nz/sony-xperia-z-c6603-obs.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-z-5_2.jpg,,
,,BWC Thunderbolt Dual SIM - Open Box Special,319,http://www.mobicity.co.nz/bwc-thunderbolt-dual-sim-obs.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/w/bwc-thunderbolt-1_3.jpg,,
,,Sony Xperia ZL 4G LTE C6503,729,http://www.mobicity.co.nz/sony-xperia-zl-4g-lte-c6503.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-zl-02_3.jpg,,
,,Sony Xperia L Black,439,http://www.mobicity.co.nz/sony-xperia-l.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-l-01.jpg,,
,,Sony Xperia L White,439,http://www.mobicity.co.nz/sony-xperia-l.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-l-01.jpg,,
,,Samsung Galaxy S4 i9505 4G LTE 16GB Black Mist,1049,http://www.mobicity.co.nz/samsung-galaxy-s4-4g-i9505.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-i9500-galaxy-s-iv-32gb-1_3.jpg,,
,,Samsung Galaxy S4 i9505 4G LTE 16GB White Frost,1049,http://www.mobicity.co.nz/samsung-galaxy-s4-4g-i9505.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-i9500-galaxy-s-iv-32gb-1_3.jpg,,
,,Samsung Galaxy S4 Mini,,http://www.mobicity.co.nz/samsung-galaxy-s4-mini.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-s4-mini-1.jpg,,
,,Samsung Galaxy Grand I9080,,http://www.mobicity.co.nz/samsung-galaxy-grand-i9080.html,Tablets,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-grand-1.jpg,,
,,DualSIM Mini,59,http://www.mobicity.co.nz/dualsim-mini.html,More,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_4_11.jpg,,
,,Sony Xperia Z Leather Case Stand Black,26.9,http://www.mobicity.co.nz/sony-xperia-z-leather-case-stand.html,Accessories,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-z-leather-case-stand-1.jpg,,
,,Sony Xperia Z Leather Case Stand Blue,26.9,http://www.mobicity.co.nz/sony-xperia-z-leather-case-stand.html,Accessories,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-z-leather-case-stand-1.jpg,,
,,Sony Xperia Z Leather Case Stand Brown,26.9,http://www.mobicity.co.nz/sony-xperia-z-leather-case-stand.html,Accessories,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-z-leather-case-stand-1.jpg,,
,,Sony Xperia Z Leather Case Stand Purple,26.9,http://www.mobicity.co.nz/sony-xperia-z-leather-case-stand.html,Accessories,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-z-leather-case-stand-1.jpg,,
,,Sony Xperia Z Leather Case Stand Red,26.9,http://www.mobicity.co.nz/sony-xperia-z-leather-case-stand.html,Accessories,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-z-leather-case-stand-1.jpg,,
,,Sony Xperia Z Leather Case Stand White,26.9,http://www.mobicity.co.nz/sony-xperia-z-leather-case-stand.html,Accessories,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-z-leather-case-stand-1.jpg,,
,,Xiaomi MI-2,559,http://www.mobicity.co.nz/xiaomi-mi2.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-mi2-3.jpg,,
,,Sony Xperia TX Black,479,http://www.mobicity.co.nz/sony-xperia-tx-lt29i.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-tx-1.jpg,,
,,Sony Xperia TX Pink,479,http://www.mobicity.co.nz/sony-xperia-tx-lt29i.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-tx-1.jpg,,
,,Sony Xperia TX White,479,http://www.mobicity.co.nz/sony-xperia-tx-lt29i.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-tx-1.jpg,,
,,Samsung i9305 Galaxy S3 16GB Black,559,http://www.mobicity.co.nz/samsung-galaxy-s3-i9305-16gb.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/9/i9305_grey_07.jpg,,
,,Samsung i9305 Galaxy S3 16GB Brown,739,http://www.mobicity.co.nz/samsung-galaxy-s3-i9305-16gb.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/9/i9305_grey_07.jpg,,
,,Samsung i9305 Galaxy S3 16GB Grey,569,http://www.mobicity.co.nz/samsung-galaxy-s3-i9305-16gb.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/9/i9305_grey_07.jpg,,
,,Samsung i9305 Galaxy S3 16GB White,559,http://www.mobicity.co.nz/samsung-galaxy-s3-i9305-16gb.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/9/i9305_grey_07.jpg,,
,,Sony Xperia T Black,439,http://www.mobicity.co.nz/sony-xperia-t.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia_t_2.jpg,,
,,Sony Xperia T Silver,689,http://www.mobicity.co.nz/sony-xperia-t.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia_t_2.jpg,,
,,Sony Xperia T White,439,http://www.mobicity.co.nz/sony-xperia-t.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia_t_2.jpg,,
,,Nokia Lumia 920 Black,599,http://www.mobicity.co.nz/nokia-lumia-920.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/n/o/nokia-lumia-920-5_1_1.jpg,,
,,Nokia Lumia 920 Red,619,http://www.mobicity.co.nz/nokia-lumia-920.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/n/o/nokia-lumia-920-5_1_1.jpg,,
,,Nokia Lumia 920 White,619,http://www.mobicity.co.nz/nokia-lumia-920.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/n/o/nokia-lumia-920-5_1_1.jpg,,
,,Nokia Lumia 920 Yellow,609,http://www.mobicity.co.nz/nokia-lumia-920.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/n/o/nokia-lumia-920-5_1_1.jpg,,
,,HTC Desire X Black,349,http://www.mobicity.co.nz/htc-desire-x.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc-desire-x-2.jpg,,
,,HTC Desire X Blue,389,http://www.mobicity.co.nz/htc-desire-x.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc-desire-x-2.jpg,,
,,HTC Desire X White,349,http://www.mobicity.co.nz/htc-desire-x.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc-desire-x-2.jpg,,
,,Motorola ATRIX HD,379,http://www.mobicity.co.nz/motorola-atrix-hd.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/m/o/motorola-atrix-hd-1.jpg,,
,,HTC A6363 Legend (Refurbished),229,http://www.mobicity.co.nz/htc-a6363-legend-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc-legend_4.jpg,,
,,Acer Liquid Z2,,http://www.mobicity.co.nz/acer-liquid-z2.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/a/c/acer_liquid-z2-1.jpg,,
,,HTC Desire C Black,199,http://www.mobicity.co.nz/htc-desire-c.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_desire_c_1.jpg,,
,,HTC Desire C Flamenco Red,209,http://www.mobicity.co.nz/htc-desire-c.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_desire_c_1.jpg,,
,,HTC Desire C Polar White,199,http://www.mobicity.co.nz/htc-desire-c.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_desire_c_1.jpg,,
,,HTC Desire S (Refurbished),309,http://www.mobicity.co.nz/htc-desire-s-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_desire_s_01_8.jpg,,
,,Apple iPhone 3GS 32GB (Refurbished) Black,379,http://www.mobicity.co.nz/apple-iphone-3gs-32gb-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-3gs-8gb_2_1_1.jpg,,
,,Apple iPhone 3GS 32GB (Refurbished) White,379,http://www.mobicity.co.nz/apple-iphone-3gs-32gb-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-3gs-8gb_2_1_1.jpg,,
,,HTC 7 Surround - XT compatible (Refurbished),289,http://www.mobicity.co.nz/htc-7-surround-nextg-compatible-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/u/surround_3.jpg,,
,,Sony Xperia Acro S Black,489,http://www.mobicity.co.nz/sony-xperia-acro-s.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_acro_s_1.jpg,,
,,Sony Xperia Acro S Pink,489,http://www.mobicity.co.nz/sony-xperia-acro-s.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_acro_s_1.jpg,,
,,Sony Xperia Acro S White,509,http://www.mobicity.co.nz/sony-xperia-acro-s.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_acro_s_1.jpg,,
,,Sony Xperia Go Black,309,http://www.mobicity.co.nz/sony-xperia-go.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_go_1.jpg,,
,,Sony Xperia Go White,309,http://www.mobicity.co.nz/sony-xperia-go.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_go_1.jpg,,
,,Sony Xperia Go Yellow,289,http://www.mobicity.co.nz/sony-xperia-go.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_go_1.jpg,,
,,Samsung S5690L Galaxy Xcover Extreme - XT compatible  Grey,329,http://www.mobicity.co.nz/samsung-galaxy-xcover-extreme-s5690l.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_s5690l_galaxy_xcover_extreme_1.jpg,,
,,Samsung S5690L Galaxy Xcover Extreme - XT compatible  Orange,329,http://www.mobicity.co.nz/samsung-galaxy-xcover-extreme-s5690l.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_s5690l_galaxy_xcover_extreme_1.jpg,,
,,LG P936 Optimus True HD Black,409,http://www.mobicity.co.nz/lg-p936-optimus-true-hd.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/l/g/lg_p936_optimus_truehd_lte_2a.jpg,,
,,LG P936 Optimus True HD White,399,http://www.mobicity.co.nz/lg-p936-optimus-true-hd.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/l/g/lg_p936_optimus_truehd_lte_2a.jpg,,
,,Samsung i667 Focus 2 Black,729,http://www.mobicity.co.nz/samsung-i667-focus-2.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_i677_focus_flash_nextg_compatible_1.jpg,,
,,Samsung i667 Focus 2 White,739,http://www.mobicity.co.nz/samsung-i667-focus-2.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_i677_focus_flash_nextg_compatible_1.jpg,,
,,LG P925g Thrill,429,http://www.mobicity.co.nz/lg-p925g-thrill.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/l/g/lg_p925g_thrill_1.jpg,,
,,Apple iPhone 3GS 16GB (Refurbished) Black,369,http://www.mobicity.co.nz/apple-iphone-3gs-16gb-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_2.jpg,,
,,Apple iPhone 3GS 16GB (Refurbished) White,369,http://www.mobicity.co.nz/apple-iphone-3gs-16gb-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_2.jpg,,
,,LG E720b Optimus Chic - XT compatible,259,http://www.mobicity.co.nz/lg-e720b-optimus-chic-nextg.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/l/g/lg_e720b_optimus_chic_1.jpg,,
,,Sony Xperia U - XT compatible Black Pink,329,http://www.mobicity.co.nz/sony-xperia-u-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_u_nextg_1.jpg,,
,,Sony Xperia U - XT compatible Black White,339,http://www.mobicity.co.nz/sony-xperia-u-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_u_nextg_1.jpg,,
,,Sony Xperia U - XT compatible White Yellow,349,http://www.mobicity.co.nz/sony-xperia-u-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_u_nextg_1.jpg,,
,,BlackBerry 8100 Pearl (Refurbished) Black,159,http://www.mobicity.co.nz/blackberry-8100-pearl-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blackberry_8100_pearl_1.jpg,,
