Product name,SKU,Price,URL
Bosch VarioPerfect Washing Machine 8Kg | WAQ283...,WAQ283S1GB,459,https://www.expert.ie/products/home-appliances/laundry/washing-machines/bosch-varioperfect-washing-machine-8kg-waq283s1gb
Electrolux EWF1286GDW 8kg Washing Machine,EWF1286GDW,599,https://www.expert.ie/products/home-appliances/laundry/washing-machines/electrolux-8kg-1200-spin-washer-steam
Electrolux EWF1484EDW 8kg 1400 Spin Washing Mac...,EWF1484EDW,499,https://www.expert.ie/products/home-appliances/laundry/washing-machines/electrolux-8kg-1400-spin-washer
Electrolux Steam Washer | EWF1486GDW,EWF1486GDW,599,https://www.expert.ie/products/home-appliances/laundry/washing-machines/electrolux-ewf1486gdw-8kg-washing-machine
Fisher & Paykel 8kg WashSmart Front Load Washin...,98121,899,https://www.expert.ie/products/home-appliances/laundry/washing-machines/fisher-paykel-8kg-washsmart-front-load-washing-mac
Fisher & Paykel WH7060J1-7kg QuickSmart™ Front ...,98118,689,https://www.expert.ie/products/home-appliances/laundry/washing-machines/fisher-paykel-wh7060j1-7kg-quicksmart%E2%84%A2-front-load
Fisher & Paykel WH7060P1-7kg WashSmart™ Front L...,98119,799,https://www.expert.ie/products/home-appliances/laundry/washing-machines/fisher-paykel-wh7060p1-7kg-washsmart%E2%84%A2-front-load-w
Hotpoint HV7L145P Freestanding Washing Machine,HV7L145P,329,https://www.expert.ie/products/home-appliances/laundry/washing-machines/hotpoint-hv7l145p-freestanding-washing-machine
Hotpoint Ultima S-Line SWMD9437K Washing Machin...,SWMD9437K,499,"https://www.expert.ie/products/home-appliances/laundry/washing-machines/hotpoint-ultima-s-line-swmd9437k-washing-machine,"
Hotpoint Ultima S-Line SWMD9437P Washing Machin...,SWMD9437P,479,https://www.expert.ie/products/home-appliances/laundry/washing-machines/hotpoint-ultima-s-line-swmd9437p-freestanding-wash
Hotpoint WMBF742G Experience ECO Washing Machine,WMBF742G,379,https://www.expert.ie/products/home-appliances/laundry/washing-machines/hotpoint-wmbf742g-experience-eco-washing-machine
Hotpoint WMBF742P 7kg 1400 Spin Washing Machine...,WMBF742P,349,"https://www.expert.ie/products/home-appliances/laundry/washing-machines/hotpoint-wmbf742p,-7kg,-1400-spin,-washing-machine"
Hotpoint WMBF944P 1400 Spin Washing Machine,WMBF944P,399,https://www.expert.ie/products/home-appliances/laundry/washing-machines/hotpoint-ltd-wmbf944p-experience-eco-1400rpm-washi
"Indesit IWB71251 7Kg Washing Machine, White",IWB71251,299,https://www.expert.ie/products/home-appliances/laundry/washing-machines/indesit-iwb71251-7kg-washing-machine-white
Indesit IWSD61251 6KG White Washing Machine,IWSD61251,279,https://www.expert.ie/products/home-appliances/laundry/washing-machines/indesit-iwsd61251-6kg-white-washing-machine
Indesit XWE91282XW 9kg 1200 Spin Washing Machin...,XWE91282XW,349,"https://www.expert.ie/products/home-appliances/laundry/washing-machines/indesit-xwe91282xw-1200-spin,-9kg-load-washing-mac"
"Indesit XWE91282XW Washing Machine, White",XWE91282XWU,349,"https://www.expert.ie/products/home-appliances/laundry/washing-machines/indesit-xwe91282xw-washing-machine,-white"
Indesit XWSC61251W 6KG 1200 Washing Machine,XWSC61251W,299,https://www.expert.ie/products/home-appliances/laundry/washing-machines/indesit-xwsc61251w-6kg-1200-washing-machine
Miele WDA100 Washing Machine,WDA 100,849,https://www.expert.ie/products/home-appliances/laundry/washing-machines/miele-wda-100-washing-machine
Miele WDA200 WPM  Washing Machine,WDA 200 WPM,799,https://www.expert.ie/products/home-appliances/laundry/washing-machines/miele-wda-200-wpm-washing-machine
Miele WKB120 Washing Machine,WKB 120,1099,https://www.expert.ie/products/home-appliances/laundry/washing-machines/miele-wkb-120-washing-machine
Miele WKF120 Washing Machine,WKF120 PowerWash,1299,https://www.expert.ie/products/home-appliances/laundry/washing-machines/miele-wkf-120-washing-machine
Miele WKG120 Washing Machine,WKG 120 TwinDos,1299,https://www.expert.ie/products/home-appliances/laundry/washing-machines/miele-wkg-120-washing-machine
Miele WKH120WPS Washing Machine,WKH 120 PowerWash + TwinDos,1299,https://www.expert.ie/products/home-appliances/laundry/washing-machines/miele-wkh-120-wps-washing-machine
Miele WKR570WPS Washing Machine,WKR 570 WPS PowerWash + TwinDos,1799,https://www.expert.ie/products/home-appliances/laundry/washing-machines/miele-wkr-570-wps-washing-machin
