ProductID,WebTitle,ModelNo
111631,Draper BDH14TX Expert 14 Piece Set of Tx-Star Sockets on a Rail,BDH14TX
108366,Draper 2800/10 Expert 12 Piece Impact Screwdriver Set,2800/10
104735,Draper 8106B/4 4 Piece 200mm Soft Grip Engineers File Set,8106B/4
101977,Makita DLX6017M 18v LXT 6 Piece Mixed Kit 3 x 4.0ah Li-ion,DLX6017M
21905,DeWalt DW745 230v Portable Site Saw,DW745
92740,Makita DLX6012M 18v LXT 6 Piece Combo Kit,DLX6012M
114184,Makita DLX2007MJ 18v Brushless Combi Drill and Impact Driver 2 x 4.0ah,DLX2007MJ
102021,Makita DLX6017 18v LXT 6 Piece Cordless Combo Kit 3 x 3.0Ah,DLX6017
91811,Makita BL1850 18v Li-ion Battery Pack 5.0Ah,BL1850
70440,"Festool TS55R 240v Plunge Saw with 2x FS1400, 2x FSV Plus Rail Bag",TS55R
52344,Festool KS120 EB GB 240v Kapex Sliding Compound Mitre Saw,KS120 EB GB
50592,Festool KS120 UG-Set 240v Kapex Sliding Compound Mitre Saw,KS120 UG-Set
116573,Makita DLX6017PM 18v 6 Piece Kit 3 x 4.0Ah Li-ion Twin Port Charger,DLX6017PM
24596,Evolution EVOHULK HULK Electro Compaction Plate Electric Motor 240v,EVOHULK
80347,Makita DLX2005M 18v Combi Drill and Impact Driver 2 x 4.0ah Li-ion,DLX2005M
80354,Makita 196399-0 18v LXT 4.0ah Li-ion Battery,196399-0
50591,Festool KS120 UG-Set 110v Kapex Sliding Compound Mitre Saw,KS120 UG-Set
85195,Makita DLX6000M 18v LXT 6 Piece Combo Kit 3 x 4.0ah Li-ion,DLX6000M
91808,Makita DLX2040MJ 18V LXT 2 Piece Combo Kit 4Ah Li-Ion,DLX2040MJ
91809,Makita DLX2040TJ 18V LXT Combi Drill and Impact Twin Kit 5Ah Li-Ion,DLX2040TJ
48247,Makita DTM50Z 18v Li-ion Oscillating Multi Tool Bare Unit,DTM50Z
57984,Stanley STALEVELPK 4 Piece Xtreme Box Beam Spirit Level Pack + Bag,STALEVELPK
91486,Makita DLX2012 18v Combi and Impact Twin Kit 2 x 3.0ah Li-ion,DLX2012
24341,Evolution EVOEDC 305mm Electric Disc Cutter 2400w 240v,EVOEDC
56301,Makita DHR242Z 18V SDS Plus Brushless Rotary Hammer Drill Bare Unit,DHR242Z
90628,DeWalt DCN692P2 18v Brushless XR Li-Ion Nail Gun Kit 2 x 5.0ah,DCN692P2
84144,Makita DLX6001 18v 6 Piece LXT Lithium-Ion Combo Kit 3 x 3.0ah Li-ion,DLX6001
6410,Stanley STA194850 FatMax Mobile Job Chest 30 Gallon / 113 Litre,STA194850
21421,Bostitch GFN1664K-U 16g Cordless Second Fix Finish Nailer 64mm,GFN1664K-U
88847,Makita DJV182Z 18v LXT Brushless Jigsaw Bare Unit,DJV182Z
50639,Festool KS120 EB 110v Kapex Sliding Compound Mitre Saw,KS120 EB
21907,DeWalt DW745RS 240v Portable Site Saw with DE7400 Stand,DW745RS
85135,Bosch GBH36VFLI 36v SDS Rotary Hammer Drill 2 x 4.0ah Li-ion,GBH36VFLI
85069,Makita DLX2005 18V Combi and Impact Driver Twin Kit 2 x 3.0ah Li-ion,DLX2005
116572,Makita DLX6012PM 18v 6 Piece Kit 3 x 4.0Ah Li-ion Twin Port Charger,DLX6012PM
80640,Stanley INT177340 Cubix Self Levelling Cross Line Laser,INT177340
92182,Makita DHP481RTJ 18v Brushless Combi Drill LXT 2 x 5.0Ah Li-Ion,DHP481RTJ
59913,Makita LS0714 110v 190mm Slide Compound Mitre Saw,LS0714
100056,DeWalt DCK694P3 Brushless 18v Cordless 6pc Kit 3 x 5.0AH Li-Ion,DCK694P3
50624,Festool TS55 REBQ-Plus-F 240v Plunge Saw With Guide Rail in Systainer,TS55 REBQ-Plus
57894,Makita DTD129Z 18v LXT Brushless Impact Driver Bare Unit,DTD129Z
59051,DeWalt DCR017 XR DAB Radio Charger 240v,DCR017
92183,Makita DHP481Z 18v Brushless Combi Drill LXT Bare Unit,DHP481Z
