ProductCode,Title,price
FB10000092,Birlea Brooklyn Brown Fabric Small Double Bed,199.99
FB10000093,Birlea Brooklyn Brown Fabric Double Bed,199.99
FB10000094,Birlea Brooklyn Brown Fabric King Size Bed,219.99
FB10000096,Birlea Brooklyn Brown Fabric Small Double Ottoman Bed,329.99
FB10000097,Birlea Brooklyn Brown Fabric Double Ottoman Bed,329.99
FB10000098,Birlea Brooklyn Brown Fabric King Size Ottoman Bed,359.99
FB10000100,Birlea Brooklyn Grey Fabric Small Double Bed,199.99
FB10000101,Birlea Brooklyn Grey Fabric Double Bed,199.99
FB10000102,Birlea Brooklyn Grey Fabric King Size Bed,219.99
FB10000104,Birlea Brooklyn Grey Fabric Small Double Ottoman Bed,329.99
FB10000105,Birlea Brooklyn Grey Fabric Double Ottoman Bed,329.99
FB10000106,Birlea Brooklyn Grey Fabric King Size Ottoman Bed,359.99
FB10000108,Birlea Brooklyn Wheat Fabric Small Double Bed,199.99
FB10000109,Birlea Brooklyn Wheat Fabric Double Bed,199.99
FB10000110,Birlea Brooklyn Wheat Fabric King Size Bed,219.99
FB10000112,Birlea Brooklyn Wheat Fabric Small Double Ottoman Bed,329.99
FB10000113,Birlea Brooklyn Wheat Fabric Double Ottoman Bed,329.99
FB10000114,Birlea Brooklyn Wheat Fabric King Size Ottoman Bed,359.99
LB10000271,Birlea Marseille Brown Leather Double Bed,299.99
LB10000272,Birlea Marseille Brown Leather King Size Bed,329.99
LB10000273,Birlea Marseille Brown Leather Super King Size Bed,359.99
LB10000275,Birlea Carnaby White Leather Double Bed,269.99
LB10000276,Birlea Carnaby White Leather King Size Bed,299.99
LB10000278,Birlea Signature White Leather Double Bed,299.99
LB10000279,Birlea Signature White Leather King Size Bed,319.99
LB10000281,Birlea Signature Brown Leather Double Bed,299.99
LB10000282,Birlea Signature Brown Leather King Size Bed,319.99
LB10000284,Birlea Brooklyn Black Leather Single Bed,149.99
LB10000285,Birlea Brooklyn Black Leather Small Double Bed,179.99
LB10000286,Birlea Brooklyn Black Leather Double Bed,179.99
LB10000287,Birlea Brooklyn Black Leather King Size Bed,209.99
LB10000288,Birlea Brooklyn Black Leather Super King Size Bed,229.99
LB10000290,Birlea Brooklyn Brown Leather Single Bed,149.99
LB10000291,Birlea Brooklyn Brown Leather Small Double Bed,179.99
LB10000292,Birlea Brooklyn Brown Leather Double Bed,179.99
LB10000293,Birlea Brooklyn Brown Leather King Size Bed,209.99
LB10000294,Birlea Brooklyn Brown Leather Super King Size Bed,229.99
LB10000296,Birlea Brooklyn White Leather Single Bed,149.99
LB10000297,Birlea Brooklyn White Leather Small Double Bed,179.99
LB10000298,Birlea Brooklyn White Leather Double Bed,179.99
LB10000299,Birlea Brooklyn White Leather King Size Bed,209.99
LB10000300,Birlea Brooklyn White Leather Super King Size Bed,229.99
LB10000302,Birlea Brooklyn Brown Leather Single Ottoman Bed,259.99
LB10000303,Birlea Brooklyn Brown Leather Small Double Ottoman Bed,319.99
LB10000304,Birlea Brooklyn Brown Leather Double Ottoman Bed,319.99
LB10000305,Birlea Brooklyn Brown Leather King Size Ottoman Bed,339.99
LB10000307,Birlea Brooklyn White Leather Single Ottoman Bed,279.99
LB10000308,Birlea Brooklyn White Leather Small Double Ottoman Bed,319.99
LB10000309,Birlea Brooklyn White Leather Double Ottoman Bed,329.99
LB10000310,Birlea Brooklyn White Leather King Size Ottoman Bed,369.99
