item_group_id,link,title,description,image_link,price,brand,condition,id,product_type,gtin,mpn,availability,shipping,color,size,age_group,gender,Type
283076,http://www.gooutdoors.co.uk/buff-trooper-star-wars-p283076,Buff Star Wars Buff (Trooper),"The Original Buff is a very versatile multifunctional tubular accessory, that's ideal for many activities. It will keep you warm in the cold, or wick moisture and keep you cool in warmer weather. It's seamless construction means it's comfortable howe",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/29993-0509131539351858177430.jpg,"12,6",Buff,New,281913,Climbing>Climbing Clothing>Star Wars Buff (Trooper),8428927087867,CORE-OMRE-104801,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Adult,Male,
176911,http://www.gooutdoors.co.uk/kiwi-trouser-junior-p176911,Craghoppers Junior Kiwi Trouser,"This juniorversionoftheclassic Kiwi Trouser is made with the same 'Smartdry Nano' stain and water repellent fabric as the adults version, with a zip fly, part elasticated waist and 4 pockets (2 front, 2 back).",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/17046-0107111600171858177430.jpg,18,Craghoppers,New,176757,Walking>Clothing>Legwear>Walking Trousers>Junior Kiwi Trouser,5034004651024,CORE-OCKD-SCKJ010,out of stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Kids,Unisex,
284621,http://www.gooutdoors.co.uk/boysterous-insulated-waterproof-jacket-boys-p284621,Dare 2b Boysterous Boy's Jacket,High loft insulation in the Boysterous jacket will keep your child warm while the waterproof and breathable outer will prevent any water getting in. The hood packs away when not needed and the two zipped lower pockets will keep any valuables safe.   ,http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/30155-2409131414481858177430.jpg,"34,99",Dare 2b,New,284283,Walking>Clothing>Coats & Jackets>Waterproof>Boysterous Boy's Jacket,5051522330040,CORE-SCDE-DBP013,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Kids,Unisex,
284610,http://www.gooutdoors.co.uk/think-out-jacket-boys-p284610,Dare 2b Think Out Boy's Jacket,"Waterproof and breathable Ared 5000 coated polyester fabric will keep you dry while the high loft polyester insulation keeps you warm when on the lifts. The Adjustable cuffs and shockcord hem will prevent draughts and snow inside the jacket, while th",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/30153-2409131359571858177430.jpg,"39,99",Dare 2b,New,284307,Skiing>Clothing>Ski Jackets>Think Out Boy's Jacket,5051522329679,CORE-SCDE-DBP011,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Kids,Unisex,
282781,http://www.gooutdoors.co.uk/craghoppers-kiwi-3-in-1-waterproof-jacket-p282781,Craghoppers Kiwi 3-in-1 Waterproof Jacket,"It's back and looking better than ever!Waterproof and interactive, the Craghoppers Kiwi 3 in 1 jacket has great versatility that makes it perfect when the weather just won't make up its mind.Team the fleece and thehardshelltogether for cold, wet and ",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/29496-0108130955131858177430.jpg,"59,97",Craghoppers,New,280242,Walking>Clothing>Coats & Jackets>Waterproof>Kiwi 3-in-1 Waterproof Jacket,5034004893011,CORE-OMAF-CMP201,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",Dark Khaki,M,Adult,Male, Test Line 
272344,http://www.gooutdoors.co.uk/tfgear-hardcore-cuban-cap-p272344,TFGear Cuban Cap,"    Mid-length curved peak    Cool, relaxed fit    Protects from harmful UV",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/27807-2504131644231858177430.jpg,"8,99",TFGear,New,271986,Men's>Clothing>Hats & Headwear>Summer Hats>Cuban Cap,53163064785,CORE-FCCH-CAPCUB,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,,Unisex,
266335,http://www.gooutdoors.co.uk/rab-meco-120-ss-tee-womens-p266335,Rab MeCo 120 Short Sleeve Women's Baselayer Tee,"The Rab MeCo 120Short Sleeve Baselayer Tee is a lightweight, long sleeved base layer made from a blend of Merino wool and Polyester with Cocona&reg; technology.It has a close fit, making it ideal for any demanding activity.Rab's MeCo fabric retains t",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/26333-1502131644481858177430.jpg,"38,7",Rab,New,264680,Climbing>Climbing Clothing>MeCo 120 Short Sleeve Women's Baselayer Tee,821468622777,CORE-OWME-QBT-10,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Adult,Female,
103149,http://www.gooutdoors.co.uk/fordville-line-design-double-layer-beanie-hat-p103149,ProClimate Line Design Double Layer Beanie,A double layer of insulation for your head.This Line Design Double Beanie will trap a layer of warming air between it's ;ayer's keeping you snug and warm in the chilly winter.Comfortable and easy to clean.,http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/14193-1301111426201858177430.jpg,"4,99",ProClimate,New,17352,Skiing>Clothing>Hats & Headwear>Line Design Double Layer Beanie,5031367526037,CORE-OMQD-55773,out of stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Adult,Male,
201919,http://www.gooutdoors.co.uk/ronhill-advance-vest-p201919,Ronhill Advance Men's Running Vest,"Made from their Vapourlite fabric, the RonHill Advance S/S Crew is very lightweight and breathable relaxed-fit topwith a premium quality wicking treatment that helps to draw moisture away from your body and out through the fabric, where it can evapor",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/21428-0405121154321858177430.jpg,20,Ronhill,New,201760,Running>Clothing>Baselayers & Vests>Advance Men's Running Vest,5051508283896,CORE-RMHD-02062,out of stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Adult,Male,
264293,http://www.gooutdoors.co.uk/just-togs-jte-equilite-helmet-p264293,Just Togs JTE Equilite Riding Helmet,"The Just Togs JTE Equilite Helmet uses their revolutionary JTE dial system that gives you flexibility with fitting, letting you get the best and most comfortablefit simply and quickly.It's incredibly lightweight, so its great for those who spend plen",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/27185-2103131555101858177430.jpg,27,Just Togs,New,263787,Horse Riding>Clothing>Headwear>JTE Equilite Riding Helmet,5027932087904,CORE-JCCG-990,out of stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,,Unisex,
