url,category
http://www.amazon.com/Blenders-Small-Appliances-Kitchen/b/ref=dp_brw_link?ie=UTF8&node=289914,Blenders
http://www.amazon.com/Bread-Machines-Small-Appliances-Kitchen/b/ref=dp_brw_link?ie=UTF8&node=289917,Bread Makers
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=8614937011,Cake Pop & Mini Cake Makers
http://www.amazon.com/Coffee-Tea-Espresso-Kitchen/b/ref=dp_brw_link?ie=UTF8&node=289742,"Coffee, Tea & Espresso Appliances"
http://www.amazon.com/Contact-Grills-Small-Appliances-Kitchen/b/ref=dp_brw_link?ie=UTF8&node=289925,Contact Grills
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=13838451,Countertop Burners
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=289918,Deep Fryers
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=13838461,Electric Griddles
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=3117954011,Electric Pressure Cookers
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=13838481,Electric Skillets
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=13838491,Electric Woks
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=289924,Ice Cream Machines
http://www.amazon.com/Food-Processors-Small-Appliances-Kitchen/b/ref=dp_brw_link?ie=UTF8&node=289920,Food Processors
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=3117951011,Hot Pots
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=289926,Juicers
http://www.amazon.com/Mixers-Small-Appliances-Kitchen/b/ref=dp_brw_link?ie=UTF8&node=289929,Mixers
http://www.amazon.com/Ovens-Toasters-Small-Appliances/b/ref=dp_brw_link?ie=UTF8&node=289933,Ovens & Toasters
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=678540011,Rice Cookers
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=289940,Slow Cookers
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=7956268011,Soda Makers
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=289941,Specialty Appliances
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=678541011,Steamers
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=289942,Waffle Irons
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=510242,Irons
http://www.amazon.com/b/ref=dp_brw_link?ie=UTF8&node=510248,Garment Steamers
