name,sku
Drink Master Black Drink Mixer (729),729
Manual Commercial Citrus Juicer (932),932
Travel Iron / Steamer (10092),10092
90 Minute Garment Steamer (11550),11550
Steam Elite Stainless Steel Iron (14010),14010
Steam Elite Nonstick Iron (14011),14011
FashionFirst Iron - Cherry Blossom (14014),14014
FashionFirst Iron - Ocean Breeze (14016),14016
Nonstick Iron with Retractable Cord (14210),14210
Electronic Control Iron - Pink (14348),14348
QuickGlide Iron with Ceramic Soleplate (14352),14352
Ceramic QuickGlide Iron with Wear-Resistant Soleplate (14353),14353
Smart Lift Iron with Built-In Stability (14401),14401
Easy Touch Iron (14413),14413
Easy Touch Iron with Stainless Steel Soleplate (14414),14414
Easy Touch Iron (14417),14417
Steam Storm Nonstick Iron (14515),14515
Stainless Steel Professional Iron (14551),14551
Professional Iron (14552),14552
Lightweight Iron,14565
Lightweight Iron (14567),14567
Professional Iron (14710),14710
Professional Iron (14711),14711
Easy Fill Iron (14751),14751
Digital Iron with Nonstick Soleplate,14870
Chrome Electronic Iron (14955),14955
Full-Size Iron (14978),14978
Durathon Nonstick Iron (19701),19701
Durathon Nonstick Iron (19800),19800
Durathon Electronic Nonstick Iron (19801),19801
Durathon Retractable Cord Iron (19803),19803
Durathon Electronic Iron with Retractable Cord (19804),19804
Durathon Digital Iron (19900),19900
Durathon Digital Iron with Retractable Cord (19901),19901
Eclectrics Sterling All-Metal Toaster (22110),22110
PerfectToast 2 Slice Toaster - Black & Silver (22124),22124
2 Slice Bagel Toaster - Black (22201),22201
SmartToast Extra-Wide Slot 2 Slice Toaster (22323),22323
SmartToast Extra-Wide Slot Toaster (22324),22324
SmartToast Extra-Wide Slot Toaster (22444),22444
Cool-Touch 2 Slice Toaster (22464),22464
Digital 2 Slice Toaster/Bagel Toaster (22502),22502
2 Slice Toaster (22504),22504
Black Ice Metal Collection 2 Slice Toaster (22514),22514
Classic Chrome 2 Slice Toaster (22600),22600
PerfectToast Chrome 2 Slice Toaster (22601),22601
2 Slice Bagel Toaster (22635),22635
PerfectToast 2 Slice Toaster (22657),22657
Brushed Chrome 2 Slice Toaster (22690),22690
ensemble Toastation Toaster & Oven (22722),22722
Classic Chrome 2 Slice Toaster (22790),22790
Modern Chrome 2 Slice Toaster (22791),22791
Warm Mode 2 Slice Toaster (22810),22810
