"id","Model number","Product description","Brand","Category"," Price "
1,33967," 6 QT OVAL PROGRAM SS W/CLIPS","Hamilton Beach","Slow Cooker"," 49.99 "
2,46894,"10-CUP THERMAL ADC MELITTA 2","Melitta","Coffemaker"," 59.99 "
3,"K2070Y "," 1.0L, DETACHABLE CORD","Proctor Silex","Kettle"," 14.99 "
4,33969," 6 QT PROGMBL SS CLIPS & PROBE","Hamilton Beach","Slow Cooker"," 59.99 "
5,33182," 8 QT OVAL SLOW COOKER BLK&SLVR","Hamilton Beach","Slow Cooker"," 39.99 "
6,62650," HB CLASSIC HAND MIXER","Hamilton Beach","Hand Mixer"," 29.99 "
7,40898," HB KETTLE,SS,COOLTCH, CORDLESS","Hamilton Beach","Kettle"," 59.99 "
8,31230," PROGRAMMABLE OVEN","Hamilton Beach","Toaster Oven"," 89.99 "
9,4386," TOWER ALLERGEN DESIGN black","TrueAir","Home Health"," 49.99 "
10,33262," 6 QT BLK/SS STAY/GO  NEW CLIP","Hamilton Beach","Slow Cooker"," 29.99 "
11,70610," TOP MOUNT FOOD PROCESSOR","Hamilton Beach","Food Procesor"," 39.99 "
12,46893,"12-CUP GLASS ADC MELITTA 2","Melitta","Coffemaker"," 49.99 "
13,40911," 2 QT ICED TEA MAKER","Hamilton Beach","Coffemaker"," 27.99 "
14,33472," STAY OR GO 7 QT SLOW COOKER","Hamilton Beach","Slow Cooker"," 44.99 "
15,"E160BY "," COFFEE GRINDER","Proctor Silex","Grinder"," 12.99 "
16,63221," SUGAR(WHITE) ECLECTRICS STDMXR","Hamilton Beach","Stand Mixer"," 249.99 "
17,70760," FLIP LID 10 CUP FP  BLCK/SS","Hamilton Beach","Food Procesor"," 59.99 "
18,"04532GM "," ROOM SIZE ODOR ELIM W/ SCENT","Hamilton Beach","Home Health"," 26.99 "
19,46201,"12-CUP HB INNOVATIVE GLASS ADC","Hamilton Beach","Coffemaker"," 59.99 "
20,"68330R "," 4 QT ICE CREAM MAKER","Hamilton Beach","Ice Cream"," 31.99 "
21,"730C "," MIXER, DRINK, CHROME","Hamilton Beach","Drink Mixer"," 44.99 "
22,49316," HB 12 CUP ADC, BLACK","Hamilton Beach","Coffemaker"," 19.99 "
23,25450," PANINI SANDWICH GRILL","Hamilton Beach","Sandwich Maker"," 44.99 "
24,63220," STERLING,ECLECTRICS,STANDMIXER","Hamilton Beach","Stand Mixer"," 249.99 "
25,25331," 100"" HIGH TEMP GRILL","Hamilton Beach","Indoor Grill"," 69.99 "
26,31111," PS DDL OVEN, BLACK","Hamilton Beach","Toaster Oven"," 29.99 "
27,48465," PMGM BREWSTATION CLOCK STEP UP","Hamilton Beach","Coffemaker"," 69.99 "
28,"34101Y "," FIFTH BURNER","Hamilton Beach","Burner"," 19.99 "
29,51103," SINGLE SERVE BLENDER 14OZ","Hamilton Beach","Blender"," 19.99 "
30,4383," TRUEAIR TOWER ALLERGEN REDUCER","TrueAir","Home Health"," 49.99 "
31,67601," BIG MOUTH JUICE EXTRACTOR","Hamilton Beach","Juice Extractor"," 49.99 "
32,58148," 4 SPEED METAL","Hamilton Beach","Blender"," 24.99 "
33,67650," BIG MOUTH PRO JUICE EXT CHROME","Hamilton Beach","Juice Extractor"," 59.99 "
34,67608," BIG MOUTH JUICE EXT SS","Hamilton Beach","Juice Extractor"," 79.99 "
35,"49980Z ","2-WAY BREWER","Hamilton Beach","Coffemaker"," 79.99 "
36,"51101B","PERSONAL BLENDER","Hamilton Beach","Blender"," 19.99 "
37,25475," BREAKFAST SANDWICH MAKER","Hamilton Beach","Sandwich Maker"," 24.99 "
38,37537," DIGITAL FOOD STEAMER","Hamilton Beach","Steamer"," 34.99 "
39,48464," PMGM BREWSTATION","Hamilton Beach","Coffemaker"," 49.99 "
40,49981," THE SCOOP -  SINGLE SERV COFFEE","Hamilton Beach","Coffemaker"," 59.99 "
41,"26500Y "," WAFFLE BAKER, BELGIAN","Proctor Silex","Waffle maker"," 29.99 "
42,80365," PLATINUM CUSTOM GRIND, DW SAFE","Hamilton Beach","Grinder"," 19.99 "
43,22708," TOASTATION","Hamilton Beach","Toaster Oven"," 44.99 "
44,51102," 2 JAR SINGLE SERV BLENDER","Hamilton Beach","Blender"," 21.99 "
45,"76606Z "," POP TOP CAN OPENER","Hamilton Beach","Can opener"," 34.99 "
46,22504," 2 SLICE TOASTER","Hamilton Beach","Toaster   "," 29.99 "
47,64650," HB CLASSIC HAND/STAND MIXER","Hamilton Beach","Hand Mixer"," 49.99 "
48,40515," COFFEE URN","Hamilton Beach","Coffemaker"," 49.99 "
49,40870," 1.7L SS JUG KETTLE","Hamilton Beach","Kettle"," 29.99 "
50,"K6080 "," HB 1.8L KETTLE","Hamilton Beach","Kettle"," 22.99 "
51,58149," STAINLESS BLENDER WITH CHOPPER","Hamilton Beach","Blender"," 44.99 "
52,"22524E "," 2 SLICE MANUAL, CHERRY RED","Hamilton Beach","Toaster "," 27.99 "
53,48274," BREWSTATION, 6 CUPS","Hamilton Beach","Coffemaker"," 29.99 "
54,32229," 22 QT ROASTER OVEN","Hamilton Beach","Roaster Oven"," 59.99 "
55,"43253R "," 12 CUP ENSEMBLE","Hamilton Beach","Coffemaker"," 34.99 "
56,4384," TRUEAIR TOWER PET AIR PURIFIER","TrueAir","Home Health"," 79.99 "
57,70670," TOP MOUNT FOOD PROCESSOR","Hamilton Beach","Food Procesor"," 59.99 "
58,31511," 6 SL, ALL SS","Hamilton Beach","Toaster Oven"," 59.99 "
59,24790," 4S SLIM CHROME TOASTER","Hamilton Beach","Toaster"," 44.99 "
60,22323," HB 2S TONGS TOASTER","Hamilton Beach","Toaster"," 29.99 "
61,26030," REM GRID FLIP WAFFLE","Hamilton Beach","Waffle maker"," 49.99 "
62,26020," 4 SQUARE BELGIAN WAFFLE","Hamilton Beach","Waffle maker"," 34.99 "
63,"22703H "," RED TOASTATION","Hamilton Beach","Toaster Oven"," 44.99 "
64,54221," 14 FUNCTION, METAL ACCENTS","Hamilton Beach","Blender"," 39.99 "
65,47950," REMOVABLE RESERVOIR BREWSTATIO","Hamilton Beach","Coffemaker"," 59.99 "
66,63227," LICORICE ECLECTRICS STANDMIXER","Hamilton Beach","Stand Mixer"," 229.99 "
67,31333," CONVECTION OVEN WITH SS BODY","Hamilton Beach","Toaster oven"," 69.99 "
68,47380," 10 CUP BREWSTATION","Hamilton Beach","Coffemaker"," 49.99 "
69,22324," RED TONGS TOASTER","Hamilton Beach","Toaster"," 29.99 "
70,70575," 14 CUP TOP MOUNTED FOOD PROCES","Hamilton Beach","Food Procesor"," 79.99 "
71,58617,"Wave Station Express Blender","Hamilton Beach","Blender"," 49.99 "
72,56205,"Smoothie Smart Blender","Hamilton Beach","Blender"," 39.99 "
73,33155,"5 Quart Portable Slow Cooker","Hamilton Beach","Slow Cooker"," 29.99 "
74,33141,"4 Quart Slow Cooker","Hamilton Beach","Slow Cooker"," 24.99 "
75,33247,"Programmable 4 1/2 Quart Slow Cooker","Hamilton Beach","Slow Cooker"," 24.99 "
76,33181," 8 Quart Slow Cooker","Hamilton Beach","Slow Cooker"," 39.99 "
77,6694,"Oster 14 Speed Blender","Oster","Blender"," 39.99 "
78,"NJ600","Ninja NJ600 Pro Blender","Ninja","Blender"," 99.99 "
79,"KSB560","KitchenAid 5-Speed Blenders with Polycarbonate Jars","Kitchen Aid","Blender"," 129.99 "
80,"BL2020S","Black & Decker","Black & Decker","Blender"," 29.92 "
81,"BL660","Ninja BL660 Professional Blender with Single Serve","Ninja","Blender"," 149.99 "
82,"BLSTPB","Oster My Blend 250-Watt Blender","Oster","Blender"," 29.50 "
83,6640,"Oster 10-Speed Blender with Plastic Jar","Oster","Blender"," 24.99 "
84,"BL770","Ninja MEGA Blender with Single Serve","Ninja","Blender"," 199.99 "
85,"BL500","Ninja Professional Blender","Ninja","Blender"," 74.99 "
86,"BL206","Ninja Extreme Kitchen System Pulse Blender with Accessories","Ninja","Blender"," 79.99 "
87,"BFP10CH","Cuisinart PowerBlend Duet Blender and Food Processor","Cuisinart","Blender"," 99.95 "
88,"BLSTCCBFP","Oster 6-Cup Glass Jar 12-Speed Blender Plus 3-Cup Food Processor","Oster","Food Procesor"," 59.99 "
89,"BL2010","Black & Decker 10 Speed Glass Blender, White","Black & Decker","Blender"," 29.99 "
90,6843,"Oster 12-Speed Blender","Oster","Blender"," 39.99 "
91,"SCCPVL600S","Crock-Pot Cook' N Carry 6-Quart Oval Manual Portable Slow Cooker, Stainless Steel","Crock Pot","Slow Cooker"," 49.95 "
92,"SCV700SS","Crock-Pot 7-Quart Oval Manual Slow Cooker, Stainless Steel","Crock Pot","Slow Cooker"," 39.99 "
93,"SCR400SP","Crock-Pot SCR400-B 4 Quart Manual Slow Cooker, Black, 1, Black","Crock Pot","Slow Cooker"," 39.99 "
94,"SCCPVP700"," 7-Quart Programmable Slow Cooker Stainless Steel","Crock Pot","Slow Cooker"," 29.99 "
95,"SCR450","Crock-Pot 4-1/2-Quart Slow Cooker","Crock Pot","Slow Cooker"," 19.99 "
96,"SCVP609","Crock-Pot Quart Programmable Slow Cooking Crock Pot Cooker","Crock Pot","Slow Cooker"," 39.99 "
97,13582,"Bella Cucina Triple Slow Cooker Buffet & Serve","Bella Cucina","Slow Cooker"," 69.99 "
98,"SCV603SP","Rival 6-Quart Crock Pot Slow Cooker with Little Dipper","Rival","Slow Cooker"," 39.99 "
99,"SCR200","Crock-Pot Manual Slow Cooker, 2 Quart","Crock Pot","Slow Cooker"," 25.00 "
