sku,category,name,url,price,dealer,image_url,shipping_cost,identifier,brand,stock
22619300066,Sofa > Fabric > 3 seater recliner,Cranleigh 3 Seater Sofa With 2 Electric Recliner Actions,http://www.harveysfurniture.co.uk/collection/cranleigh/#/cranleigh-3-seater-sofa,719.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988061_20009-20084_02004_IS_0,59,3164:2568,Steinpol,
22619300055,Sofa > Fabric > 3 seater recliner,Cranleigh 3 Seater Sofa With 2 Manual Recliner Actions,http://www.harveysfurniture.co.uk/collection/cranleigh/#/cranleigh-3-seater-sofa,549.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988061_20009-20084_02004_IS_0,59,3164:2557,Steinpol,
22622400053,Sofa > Fabric > 2 seater recliner,Cranleigh Express 2 Seater Sofa With 2 Manual Recliner Actions,http://www.harveysfurniture.co.uk/collection/cranleigh/#/cranleigh-2-seater-sofa,535.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988060_20009-20084_02004_IS_0,59,3158:2521,Steinpol,
22619400067,Sofa > Fabric > 2 seater recliner,Cranleigh 2 Seater Sofa With 2 Electric Recliner Actions,http://www.harveysfurniture.co.uk/collection/cranleigh/#/cranleigh-2-seater-sofa,695.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988060_20009-20084_02004_IS_0,59,3158:2590,Steinpol,
22619400056,Sofa > Fabric > 2 seater recliner,Cranleigh 2 Seater Sofa With 2 Manual Recliner Actions,http://www.harveysfurniture.co.uk/collection/cranleigh/#/cranleigh-2-seater-sofa,535.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988060_20009-20084_02004_IS_0,59,3158:2579,Steinpol,
22622500021,Sofa > Fabric > Recliner armchairs,Cranleigh Express Manual Recliner Chair,http://www.harveysfurniture.co.uk/collection/cranleigh/#/cranleigh-chair,479.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988062_20009-20084_02004_IS_0,59,3162:2530,Steinpol,
22619500035,Sofa > Fabric > Recliner armchairs,Cranleigh Electric Recliner Chair,http://www.harveysfurniture.co.uk/collection/cranleigh/#/cranleigh-chair,559.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988062_20009-20084_02004_IS_0,59,3162:2612,Steinpol,
22619500024,Sofa > Fabric > Recliner armchairs,Cranleigh Manual Recliner Chair,http://www.harveysfurniture.co.uk/collection/cranleigh/#/cranleigh-chair,479.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988062_20009-20084_02004_IS_0,59,3162:2602,Steinpol,
22622600011,Sofa > Fabric > Footstools,Cranleigh Express Storage Footstool,http://www.harveysfurniture.co.uk/collection/cranleigh/#/cranleigh-storage-footstool,199.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988063_20009-20084_02004_IS_0,59,3167:2539,Steinpol,
22619600014,Sofa > Fabric > Footstools,Cranleigh Standard Storage Footstool,http://www.harveysfurniture.co.uk/collection/cranleigh/#/cranleigh-storage-footstool,199.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/988063_20009-20084_02004_IS_0,59,3167:2624,Steinpol,
