Top 30,Product Name,URL,Pack size,Price,identifier
5-HTP,5-HTP 100mg,https://www.healthspan.co.uk/products/5-htp-100mg,60,"£14,95",1
Calcium and Vitamin D,Calcium & Vitamin D,https://www.healthspan.co.uk/products/calcium-vitamin-d-plus-vitamin-k,240,"£9,95",2
Cod Liver Oil,"High Strength Cod Liver Oil 1,000mg",https://www.healthspan.co.uk/products/cod-liver-oil-1000mg,240,"£10,95",3
Co-Enzyme Q10,Co-enzyme Q10 100mg,https://www.healthspan.co.uk/products/co-enzyme-q10-100mg,60,"£18,95",4
Cranberry,Super Strength Cranberry,https://www.healthspan.co.uk/products/super-strength-cranberry,60,"£13,95",5
Echinacea,Echinacea Cold & Flu Relief,https://www.healthspan.co.uk/products/echinacea-cold-flu-relief,60,"£11,95",6
Evening Primrose Oil,"Evening Primrose Oil 1,000mg",https://www.healthspan.co.uk/products/evening-primrose-oil-1000mg,180,"£14,95",7
Devils Claw,Devil's Claw JointAid,https://www.healthspan.co.uk/products/devils-claw-jointaid,60,"£14,95",8
Garlic,"Black Garlic 2,000mg",https://www.healthspan.co.uk/products/black-garlic,90,"£12,95",9
Ginkgo Biloba,"High Strength Ginkgo Biloba 6,000mg",https://www.healthspan.co.uk/products/hs-ginkgo-biloba-6000mg,180,"£10,95",10
Glucosamine,"Glucosamine Optiflex HCL 1,500mg",https://www.healthspan.co.uk/products/optiflex-glucosamine-hcl-1500mg,240,"£19,95",11
Glucosamine and Chondroitin,Chondromax 500mg Glucosamine 400mg Chondroitin,https://www.healthspan.co.uk/products/chondromax,120,"£18,95",12
Hair & Nail,Hair & Nails,https://www.healthspan.co.uk/products/hair-nails,90,"£9,95",13
Krill Oil,Krill Oil 500mg,https://www.healthspan.co.uk/products/krill-oil-500mg,60,"£16,95",14
Live Bacteria,Pro 5 5 billion live bacteria,https://www.healthspan.co.uk/products/pro-5,90,"£13,95",15
Lutein,Retinex 10mg Lutein,https://www.healthspan.co.uk/products/retinex-lutein,60,"£11,95",16
Magnesium,Magnesium,https://www.healthspan.co.uk/products/magnesium,90,"£8,95",17
Milk Thistle,Milk Thistle Complete,https://www.healthspan.co.uk/products/milk-thistle-complete,120,"£9,95",18
Multivitamins,Multivitality 50 Plus,https://www.healthspan.co.uk/products/multivitality-50-plus,180,"£11,95",19
Omega 3 Oil,"High Strength Omega 3 1,000mg",https://www.healthspan.co.uk/products/omega-3-1000mg,240,"£12,95",20
Plant Sterols,Plant Sterols 800mg,https://www.healthspan.co.uk/products/plant-sterols-800mg,90,"£14,45",21
Rosehip,Rose Hip,https://www.healthspan.co.uk/products/rose-hip,120,"£10,95",22
Saw Palmetto,Saw Palmetto Complete,https://www.healthspan.co.uk/products/saw-palmetto-complete,90,"£11,95",23
Selenium,Selenium,https://www.healthspan.co.uk/products/selenium-200mcg,240,"£10,95",24
Turmeric,"Turmeric 10,000",https://www.healthspan.co.uk/products/turmeric,60,"£14,95",25
Ubiquinol,Ubiquinol 100mg,https://www.healthspan.co.uk/products/ubiquinol-100mg,60,"£36,95",26
Vitamin B Complex,High Strength Vitamin B Complex,https://www.healthspan.co.uk/products/high-strength-vitamin-b-complex,120,"£8,95",27
Vitamin B12,Vitamin B12,https://www.healthspan.co.uk/products/vitamin-b12-1000mcg,240,"£12,95",28
Vitamin C,Vitamin C with bioflavonoids,https://www.healthspan.co.uk/products/vitamin-c-with-bioflavonoids,320,"£12,95",29
Vitamin D,Super Strength Vitamin D3,https://www.healthspan.co.uk/products/super-strength-vitamin-d3,240,"£11,95",30
