identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock,dealer
2901,,TaylorMade RocketBallz Fairway,114.99,http://www.hurricanegolf.com/close-out-golf-equipment/taylormade-rocketballz-fairway.html,Golf Clubs,TaylorMade,http://hurrimages.s3.amazonaws.com/catalog/product/cache/1/image/300x300/5e06319eda06f020e43594a9c230972d/t/m/tm_rbzfairway_7.jpg,11.99,1,
2886,,TaylorMade R11S Driver,189.99,http://www.hurricanegolf.com/close-out-golf-equipment/taylormade-r11s-driver.html,Golf Clubs,TaylorMade,http://hurrimages.s3.amazonaws.com/catalog/product/cache/1/image/300x300/5e06319eda06f020e43594a9c230972d/t/m/tm_r11sdriver.jpg,11.99,1,
2877,,Cobra ZL Encore White Driver,179.99,http://www.hurricanegolf.com/close-out-golf-equipment/cobra-zl-encore-white-driver.html,Golf Clubs,Cobra,http://hurrimages.s3.amazonaws.com/catalog/product/cache/1/image/300x300/5e06319eda06f020e43594a9c230972d/c/_/c_zlencorewhite_2.jpg,11.99,1,
2873,,Cobra Long Tom Driver,129.99,http://www.hurricanegolf.com/close-out-golf-equipment/cobra-long-tom-driver.html,Golf Clubs,Cobra,http://hurrimages.s3.amazonaws.com/catalog/product/cache/1/image/300x300/5e06319eda06f020e43594a9c230972d/c/_/c_longtom_7.jpg,11.99,1,
2850,,Callaway RAZR X HL Iron Set,319.99,http://www.hurricanegolf.com/close-out-golf-equipment/callaway-razr-x-hl-iron-set.html,Golf Clubs,Callaway,http://hurrimages.s3.amazonaws.com/catalog/product/cache/1/image/300x300/5e06319eda06f020e43594a9c230972d/c/_/c_razrhliron_back.jpg,11.99,1,
2684,,Callaway X Series JAWS CC Slate Wedge,59.99,http://www.hurricanegolf.com/close-out-golf-equipment/callaway-x-series-jaws-cc-slate-wedge.html,Golf Clubs,Callaway,http://hurrimages.s3.amazonaws.com/catalog/product/cache/1/image/300x300/5e06319eda06f020e43594a9c230972d/c/_/c_jawswedge_rear.jpg,11.99,1,
1995,,Wilson Staff FYbrid HS Hybrid,34.99,http://www.hurricanegolf.com/close-out-golf-equipment/wilson-staff-fybrid-hs-hybrid.html,Golf Clubs,Wilson,http://hurrimages.s3.amazonaws.com/catalog/product/cache/1/image/300x300/5e06319eda06f020e43594a9c230972d/w/_/w_fybridhy_2.jpg,11.99,1,
1834,,Callaway RAZR X Tour Hybrid,69.99,http://www.hurricanegolf.com/close-out-golf-equipment/callaway-razr-x-tour-hybrid.html,Golf Clubs,Callaway,http://hurrimages.s3.amazonaws.com/catalog/product/cache/1/image/300x300/5e06319eda06f020e43594a9c230972d/c/_/c_razrtourhybrid_bottom.jpg,11.99,1,
1425,,Odyssey White Hot XG 2.0 #9,79.99,http://www.hurricanegolf.com/close-out-golf-equipment/odyssey-white-hot-xg-2-0-9.html,Golf Clubs,Odyssey,http://hurrimages.s3.amazonaws.com/catalog/product/cache/1/image/300x300/5e06319eda06f020e43594a9c230972d/f/i/file_15.jpg,11.99,1,
5533,,Mizuno Platoon Cap,12.99,http://www.hurricanegolf.com/golf-apparel/mizuno-platoon-cap.html,Golf Apparel,Mizuno,http://hurrimages.s3.amazonaws.com/catalog/product/cache/1/image/300x300/5e06319eda06f020e43594a9c230972d/m/_/m_platoon_main.jpg,11.99,1,
2125,,Wilson Eco Core - Personalized,15.99,http://www.hurricanegolf.com/close-out-golf-balls/wilson-eco-core-personalized.html,Golf Balls,Wilson,http://hurrimages.s3.amazonaws.com/catalog/product/cache/1/image/300x300/5e06319eda06f020e43594a9c230972d/w/_/w_ecocore.jpg,11.99,1,
