name,category,price,code,brand,id,image_url
Pompe thermique 9 000/3 Classic,Pompe de surface,269.99,1436-20,Gardena,1,
Pompe immergée 5500/3 Classic,Pompe immergées,199.99,1461-20,Gardena,2,
Pompe immergée pour arrosage 6 000/4 Classic,Pompe immergées,275.9,1468-20,Gardena,3,
Pompe immergée 6 000/5 automatic Comfort,Pompe immergées,379.99,1476-20,Gardena,4,
Station de pompage 4000/4 i electronic plus Classic,Stations de pompage,239,1481-20,Gardena,5,
Pompe immergée de forage 5 500/5 Inox Premium,Pompe immergées,319.99,1489-20,Gardena,6,
Pompe immergée de forage 6 000/5 automatic Inox Premium,Pompe immergées,459.99,1499-20,Gardena,7,
Pompe d'arrosage de surface 3000/4 Classic,Pompe de surface,84.9,1707-20,Gardena,8,
Pompe d'arrosage de surface 3500/4 Classic,Pompe de surface,109.9,1709-20,Gardena,9,
Kit Pompe d'arrosage de surface 3000/4 Classic (1707-20) + kit d'aspiration 7m (1418-20),Pompe de surface,119.99,1718-26,Gardena,10,
Kit Pompe d'arrosage de surface 3500/4 Classic + tuyau d'aspiration  35m +  20m de tuyau d'arrosage,Pompe de surface,144.99,1719-20,Gardena,11,
Pompe de surface pour arrosage 4000/5 Comfort,Pompe de surface,155.99,1732-20,Gardena,12,
Pompe de surface pour arrosage 5000/5 Comfort,Pompe de surface,199.99,1734-20,Gardena,13,
Pompe de surface pour arrosage 6000/6 Inox Premium,Pompe de surface,259.99,1736-20,Gardena,14,
Pompe pour collecteur d'eau de pluie 4000/2 Classic,Pompe collecteur d'eau de pluie,70.99,1740-20,Gardena,15,
Pompe pour collecteur d'eau de pluie 4000/2 automatic Comfort,Pompe collecteur d'eau de pluie,100.99,1742-20,Gardena,16,
Station de pompage 4000/4 LCD Comfort,Stations de pompage,267.99,1763-20,Gardena,17,
Station de pompage 4000/5 LCD Comfort,Stations de pompage,289.99,1765-20,Gardena,18,
Station de pompage 5000/5 LCD Comfort,Stations de pompage,319.99,1767-20,Gardena,19,
Station de pompage 6000/5 Inox LCD Premium,Stations de pompage,399.99,1769-20,Gardena,20,
Pompe d'évacuation eaux claires 6 000 S Classic,Pompes d'évacuation,52.9,1777-20,Gardena,21,
Présentoir-palette de 12 pompes d'évacuation eaux claires 6000 S Classic,Pompes d'évacuation,45.99,1777-21,Gardena,22,
Pompe dévacuation pour eaux claires 7000 S Classic,Pompes d'évacuation,85.99,1780-20,Gardena,23,
Pompe d'évacuation pour eaux claires aquasensor 9 000 Comfort,Pompes d'évacuation,129.99,1783-20,Gardena,24,
Pompe d'évacuation pour eaux claires aquasensor 13 000 Comfort,Pompes d'évacuation,157.99,1785-20,Gardena,25,
Pompe d'évacuation pour eaux claires 21 000 Inox Premium,Pompes d'évacuation,192.5,1787-20,Gardena,26,
Pompe d'évacuation eaux chargées 6 000 SP Classic,Pompes d'évacuation,59.99,1790-20,Gardena,27,
Présentoir-palette de 12 pompes d'évacuation eaux chargées 6000 SP Classic,Pompes d'évacuation,55.99,1790-21,Gardena,28,
Pompe d'évacuation pour eaux chargées 7 500 Classic,Pompes d'évacuation,95.99,1795-20,Gardena,29,
Pompe d'évacuation pour eaux chargées aquasensor 8 500 Comfort,Pompes d'évacuation,143.99,1797-20,Gardena,30,
Pompe d'évacuation pour eaux chargées aquasensor 13 000 Comfort,Pompes d'évacuation,165.99,1799-20,Gardena,31,
Pompe d'évacuation pour eaux chargées 20 000 Inox Premium,Pompes d'évacuation,206.99,1802-20,Gardena,32,
Porte-tuyau mural bleu,Dévidoirs,12.49,238-20,Gardena,33,
Porte-tuyau mural bleu,Dévidoirs,5.19,241-20,Gardena,34,
Dévidoir mural,Dévidoirs,56.99,2650-20,Gardena,35,
Dévidoir portable compact 15 Classic équipé,Dévidoirs,74.99,2662-20,Gardena,36,
Dévidoir métal sur roues,Dévidoirs,69.9,2672-20,Gardena,37,
Dévidoir métal sur roues 100 ,Dévidoirs,169.99,2674-20,Gardena,38,
Dévidoir métal sur roues équipé ,Dévidoirs,79.9,2677-26,Gardena,39,
Dévidoir sur roues en métal 60,Dévidoirs,65.9,2681-20,Gardena,40,
Dévidoir métal sur roues équipé Premium,Dévidoirs,119.99,2682-20,Gardena,41,
Dévidoir portable équipé,Dévidoirs,44.99,2691-20,Gardena,42,
Dévidoir sur roues équipé,Dévidoirs,54.99,2692-20,Gardena,43,
Dévidoir sur roues 60TS Classic,Dévidoirs,55.99,8000-20,Gardena,44,
Dévidoir sur roues 60TS Classic équipé,Dévidoirs,74.9,8001-26,Gardena,45,
Dévidoir sur roues 100HG Classic,Dévidoirs,74.99,8006-20,Gardena,46,
Dévidoir portable 50 Classic,Dévidoirs,37.99,8007-20,Gardena,47,
Dévidoir portable et mural 50 Classic équipé,Dévidoirs,54.99,8009-20,Gardena,48,
Dévidoir portable 10 Classic équipé,Dévidoirs,35.99,8010-20,Gardena,49,
Dévidoir sur roues 50 Classic,Dévidoirs,35.99,8011-20,Gardena,50,
Dévidoir mural automatic 15 roll-up,Dévidoirs,89.99,8022-20,Gardena,51,
Dévidoir mural automatic 25 roll-up,Dévidoirs,129.99,8023-20,Gardena,52,
Dévidoir mural  automatic 35 roll-up,Dévidoirs,139.99,8024-20,Gardena,53,
Dévidoir  mural automatic 35  roll-up Ion-Lithium,Dévidoirs,209.99,8025-20,Gardena,54,
M105-85F,Front-Mower,2049,000967186801,McCulloch,55,
