ProductID,FoldingType,LaminationType,PaperSize,PaperType,PaperTypeID,PrintOrientationID,PrintType,ProdQty,ProductType,Price,SalePrice,PrintPageNumber,IsActive,ProductTurnaroundID,VatRate,EmailArtwork,ProductCoverID,SubProductTypeID,ApplicationID,NoArtwork,ProdRange,ProductFinishingID,DateCreated
53923,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,100,Flyers & Leaflets,12,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53924,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,250,Flyers & Leaflets,15,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53925,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,500,Flyers & Leaflets,16,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53926,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,1000,Flyers & Leaflets,24,15,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53927,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,2000,Flyers & Leaflets,26,24,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53928,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,5000,Flyers & Leaflets,39,36,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53929,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,10000,Flyers & Leaflets,72,65,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53930,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,15000,Flyers & Leaflets,95,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53931,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,20000,Flyers & Leaflets,129,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53932,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,25000,Flyers & Leaflets,159,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53933,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,30000,Flyers & Leaflets,199,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53934,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,40000,Flyers & Leaflets,249,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53935,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,50000,Flyers & Leaflets,289,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53936,NULL,Matt Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,100,Flyers & Leaflets,21,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
