"product_code","ean","description"
46716290,"3137370311843       ","#N/A"
46755850,"3360372115519       ","Giorgio Armani Code for Men  aftershave splash"
46750422,"3360373063680       "," Amor Amor  eau de toilette"
46751010,"3360374000004       ","Viktor & Rolf Flowerbomb  eau de parfum"
46751011,"3360374000011       ","Viktor & Rolf Flowerbomb  eau de parfum"
46751012,"3360374000059       ","Viktor & Rolf Flowerbomb  eau de parfum"
46700711,,"Aramis Classic  aftershave"
46700712,,"Aramis Classic  aftershave"
46700714,,"Aramis Classic  aftershave"
46700750,,"Aramis Classic  soap in a case"
46700761,,"Aramis Classic  shampoo on a rope"
46755001,"3360372061793       ","Emporio Armani   eau de parfum spray"
46755002,"3360372061809       ","Emporio Armani   eau de parfum spray"
46755101,"3360372061823       ","Emporio Armani   eau de toilette spray"
46755102,"3360372061830       ","Emporio Armani   eau de toilette spray"
46700726,,"Aramis Classic  shave soap"
46755801,"3360372100515       ","Giorgio Armani Code for Men  eau de toilette"
46755802,"3360372100522       ","Giorgio Armani Code for Men  eau de toilette"
46755854,"3360372115502       ","Giorgio Armani Code for Men  shower gel"
46711011,"3349668021345       ","Paco Rabanne Pour Homme  eau de toilette spray"
46700705,,"Aramis Classic  eau de toilette spray"
46700763,,"Aramis Classic  anti-perspirant deodorant"
46700704,,"Aramis Classic  eau de toilette spray"
46700772,,"Aramis Classic  thickening shampoo"
46700771,,"Aramis Classic  conditioning shampoo"
46700752,,"Aramis Classic  body splash"
46700751,,"Aramis Classic  body shampoo"
46700754,,"Aramis Classic  deodorant stick"
46755710,"3360375004049       ","Giorgio Armani Code for Women  eau de parfum"
46755711,"3360375004056       ","Giorgio Armani Code for Women  eau de parfum"
46755891,"3360375006432       ","Giorgio Armani Code for Men  eau de toilette"
46755712,"3360375010972       ","Giorgio Armani Code for Women  eau de parfum"
46751111,"3360375012341       "," Viktor & Rolf Antidote  eau de toilette"
46754451,"3360372058892       ","Giorgio Armani Acqua di Giò Homme  deodorant spray"
46755852,"3360372115601       ","Giorgio Armani Code for Men  deodorant spray"
