Product ID (on Jumbo.com),Item nr,EAN,Item description,Netto inh.,Kode CE,BasisEH-X-,Verp.CE,Price range,Presentation Group,Fresh / Dry grocery,Price J1 16-1,Price J2 16-1,Price J3 16-1,,,,,Different price?,,,,Differnet price?
25930BAK,25930,8710742020069,TIMSON RINSE APPELSTROOP ,450,GR     ,BAK,BAK,A,Broodbel,DG,"0,69","0,62","0,62",,,,http://www.ah.nl/producten/product/wi32958/timson-rinse-appelstroop,,,,http://www.hoogvliet.com/product/timson-rinse-appelstroop?tracking=|searchterm:timson,
25964POT,25964,8710742021066,BIO+ RINSE APPELSTROOP   ,330,GR     ,POT,POT,A,Broodbel,DG,"1,29","1,29","1,29",,,,http://www.ah.nl/producten/product/wi167908/ah-puur-en-eerlijk-biologische-rinse-appelstroop,,,,http://www.hoogvliet.com/product/bio-rinse-appelstroop?tracking=|searchterm:BIO+|RINSE%20APPE,
26337POT,26337,8718026421106,BIO+ PINDAKAAS           ,350,GR     ,POT,POT,A,Broodbel,DG,"2,19","1,97","1,97",,,,http://www.ah.nl/producten/product/wi65232/ah-puur-en-eerlijk-biologische-pindakaas,,,,http://www.hoogvliet.com/product/bio-biologische-pindakaas?tracking=|searchterm:BIO+|PINDAKAAS,
64836BLK,64836,8711151094504,CANIS RINSE APPELSTROOP  ,450,GR     ,BLK,BLK,C,Broodbel,DG,"1,06","1,06","1,06",,,,can't find,,,,can't find,
133301POT,133301,8712100516382,CALVE PINDAKAAS 650GR    ,650,GR     ,POT,POT,A,Broodbel,DG,"2,69","2,65","2,65",,,,http://www.ah.nl/producten/product/wi220739/calve-pindakaas-regular,,,,http://www.hoogvliet.com/product/calv-pindakaas?tracking=|searchterm:Calv%C3%A9|Pindakaas,
516453STK,516453,8722700462996,CALVE PINDAKAAS CREAMY   ,350,GR     ,STK,STK,A,Broodbel,DG,"2,09","2,09","2,09",,,,http://www.ah.nl/producten/product/wi129311/calve-pindakaas-creamy,,,,http://www.hoogvliet.com/product/calv-pindakaas-creamy?tracking=|searchterm:Calv%C3%A9|Pindakaas%20Cream,
516456POT,516456,8722700462958,CALVE PINDAKAAS MIDDEL   ,350,GR     ,POT,POT,A,Broodbel,DG,"1,67","1,66","1,66",,,,http://www.ah.nl/producten/product/wi3579/calve-pindakaas,,,,http://www.hoogvliet.com/product/calv-pindakaas2?tracking=|searchterm:Calv%C3%A9|Pindakaas%20Cream,
516463POT,516463,8722700462989,CALVE PINDAKAAS NOOT     ,350,GR     ,POT,POT,A,Broodbel,DG,"2,18","2,17","2,17",,,,http://www.ah.nl/producten/product/wi32847/,,,,http://www.hoogvliet.com/product/calv-pindakaas-met-stukjes-pinda?tracking=|searchterm:Calv%C3%A9|Pindakaas%20Stukjes%20Noot,
516467POT,516467,8722700463009,CALVE PINDAKAAS LIGHT    ,350,GR     ,POT,POT,A,Broodbel,DG,"2,05","2,05","2,05",,,,http://www.ah.nl/producten/product/wi150888/calve-pindakaas-light,,,,http://www.hoogvliet.com/product/calv-pindakaas-light?tracking=|searchterm:Calv%C3%A9|Pindakaas%20Cream,
665029POT,665029,8710742022391,FRUTES APPEL KANEELSTROOP,330,GR     ,POT,POT,A,Broodbel,DG,"1,17","1,17","1,17",,,,http://www.ah.nl/producten/product/wi164612/frutesse-appel-kaneel-fruitstroop,,,,http://www.hoogvliet.com/product/frutesse-appel-kaneel-fruitstroop1?tracking=|searchterm:Frutesse|Appel-Kaneel%20Fruitstroop,
25972PAK,25972,8710474111967,RIOX CHOC.HAGEL MELK     ,600,GR     ,PAK,PAK,C,Broodbel,DG,"1,49","1,49","1,49",,,,http://www.ah.nl/producten/product/wi220734/ah-basic-hagelslag-melk-chocolade,,,400g,http://www.hoogvliet.com/product/perfekt-chocoladehagel-melk?tracking=|searchterm:Melkchocolade|Hagel,
98159POT,98159,8710532438012,BONGO PINDAKAAS          ,500,GR     ,POT,POT,C,Broodbel,DG,"1,19","1,19","1,19",,,,can't find,,,,can't find,
26290POT,26290,8718449009516,JUMBO PINDAKAAS NOOT 600G,600,GR     ,POT,POT,JZ,Broodbel,DG,"2,15","2,15","2,15",,,,http://www.ah.nl/producten/product/wi123431/ah-pindakaas-met-stukjes-noot,,,,http://www.hoogvliet.com/product/perfekt-pindakaas-met-stukjes-pinda1?tracking=|searchterm:|Pindakaas%20Stukjes%20Noot,
26291POT,26291,8718449009493,JUMBO PINDAKAAS NOOT 350G,350,GR     ,POT,POT,JZ,Broodbel,DG,"1,57","1,57","1,57",,,,http://www.ah.nl/producten/product/wi1581/ah-pindakaas-met-stukjes-noot,,,,http://www.hoogvliet.com/product/perfekt-pindakaas-met-stukjes-pinda?tracking=|searchterm:|Pindakaas%20Stukjes%20Noot,
26292POT,26292,8718449009479,JUMBO PINDAKAAS 600GR    ,600,GR     ,POT,POT,JZ,Broodbel,DG,"1,85","1,85","1,85",,,,http://www.ah.nl/producten/product/wi123432/,,,,http://www.hoogvliet.com/product/perfekt-pindakaas?tracking=|searchterm:PINDAKAAS|,
26293POT,26293,8718449009455,JUMBO PINDAKAAS 350GR    ,350,GR     ,POT,POT,JZ,Broodbel,DG,"1,19","1,19","1,19",,,,http://www.ah.nl/producten/product/wi1589/ah-pindakaas,,,,http://www.hoogvliet.com/product/perfekt-pindakaas1?tracking=|searchterm:PINDAKAAS|,
26294POT,26294,8718449009431,JUMBO PINDAKAAS 210GR    ,210,GR     ,POT,POT,JZ,Broodbel,DG,"0,99","0,99","0,99",,,,can't find,,,,http://www.hoogvliet.com/product/perfekt-pindakaas2?tracking=|searchterm:PINDAKAAS|,
26342PAK,26342,8711715861085,JUMBO VRUCHTENHAGEL      ,400,GR     ,PAK,PAK,JZ,Broodbel,DG,"0,68","0,68","0,68",,,,http://www.ah.nl/producten/product/wi141734/ah-fruithagel,,,,http://www.hoogvliet.com/product/perfekt-vruchtenhagel?tracking=|searchterm:VRUCHTENHAGEL|,
52259POT,52259,8711715854773,JUMBO APPELSTROOP        ,450,GR     ,POT,POT,JZ,Broodbel,DG,"0,85","0,85","0,85",,,,http://www.ah.nl/producten/product/wi1593/ah-rinse-appelstroop,,,,http://www.hoogvliet.com/product/perfekt-rinse-appelstroop?tracking=|searchterm:appelstroop,
64022POT,64022,8711715807915,JUMBO EXTRA JAM ABRIKOOS ,450,GR     ,POT,POT,JZ,Broodbel,DG,"1,49","1,49","1,49",,,,http://www.ah.nl/producten/product/wi132398/ah-extra-jam-abrikozen,,,,http://www.hoogvliet.com/product/perfekt-abrikozen-extra-jam1?tracking=|searchterm:jam,
64078POT,64078,8711715883414,JUMBO EXTRA JAM SINAASAPP,450,GR     ,POT,POT,JZ,Broodbel,DG,"1,09","1,09","1,09",,,,http://www.ah.nl/producten/product/wi194063/ah-oranje-marmelade,,,,no match ,
70868POT,70868,8718449005143,JUMBO PINDAKAAS LIGHT    ,350,GR     ,POT,POT,JZ,Broodbel,DG,"1,45","1,45","1,45",,,,no match ,,,,http://www.hoogvliet.com/product/perfekt-pindakaas-light?tracking=|searchterm:pindakaas,
94186STK,94186,8718449054615,JUMBO HAGELSLAG PUUR     ,600,GR     ,STK,STK,JZ,Broodbel,DG,"1,99","1,99","1,99",,,400g,http://www.ah.nl/producten/product/wi1608/ah-chocolade-hagel-puur,,,400g,http://www.hoogvliet.com/product/perfekt-chocoladehagel-puur?tracking=|searchterm:Hagelslag|Puur,
94187STK,94187,8718449054622,JUMBO HAGELSLAG MELK     ,600,GR     ,STK,STK,JZ,Broodbel,DG,"1,99","1,99","1,99",,,400g,http://www.ah.nl/producten/product/wi1607/ah-chocolade-hagel-melk,,,400g,http://www.hoogvliet.com/product/perfekt-chocoladehagel-melk?tracking=|searchterm:Hagelslag|Melk,
94188STK,94188,8718449054639,JUMBO HAGELSLAG MIX      ,600,GR     ,STK,STK,JZ,Broodbel,DG,"1,99","1,99","1,99",,,,http://www.ah.nl/producten/product/wi220732/ah-basic-hagelslag-mix,Yes,,400g,http://www.hoogvliet.com/product/perfekt-chocoladehagel-mix?tracking=|searchterm:Hagelslag|Mix,
