sku,vendor_partn,vendor,status,title,notes,our_price,kent_url,homedepot_price,homedepot_url
1248,141134,CGC Inc.,Approved,"Sheetrock 1/2"" x 4' x 8' UltraLight Panel",,"$9,83 ",http://www.kent.ca/kbs/en/product.jsp?skuId=1248&navAction=jump&prdId=1248&catalogId=41,"$9,83 ",http://www.homedepot.ca/product/ultralight-drywall-gypsum-panels-tapered-edge-1-2-inch-4-feet-x-8-feet/941645
2660013,None,IKO Industries Ltd.,Approved,Marathon 25 Fibreglass Roofing Shingles,,,,,
2496SDSK,None,Lumber Vendor,Approved,"2"" x 4"" Stud",,,,,
716A1,None,Canwel,Approved,"7/16"" Oriented Strand Board",,,,,
7169400,None,Marwood Ltd,Approved,Wood Pellets,,,,,
5255577,FLEND1290SM,Taiga Forest Products,Approved,Spalted Maple 12.3mm Laminate Flooring,,"$35,12 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255577&navAction=jump&prdId=5255577&catalogId=1191,,
2619002,None,IKO Industries Ltd.,Approved,Cambridge Fibreglass Roof Shingles,,,,,
7055218,A4420,GSW Water Heating,Approved,40 Gallon Water Heater,,"$299,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7055218&navAction=jump&prdId=7055218&catalogId=1496,,
CONR1215,None,Owen's Corning Canada LP,Approved,R-1215 EcoTouch™ PINK™ FIBERGLAS® Insulation,,,,,
6846043,None,Twin-Star International,Approved,Duraflame Infra-Red Quartz Heater,,,,,
R2015,None,Owen's Corning Canada LP,Approved,R-2015 EcoTouch™ PINK™ FIBERGLAS® Insulation,,,,,
2622140,None,Henry Company Canada Inc.,Approved,Eaveguard Shingle Underlayment,,,,,
448PT,None,Lumber Vendor,Approved,"4"" x 4"" Pressure Treated Lumber",,"8,47",http://www.kent.ca/kbs/en/product.jsp?prdId=448PT&skuId=448PT&catalogId=55,"8,6",http://www.homedepot.ca/product/4x4x8-treated-wood/941772
54612PT,None,Lumber Vendor,Approved,"5/4"" x 6"" Pressure Treated Decking",,,,,
1275030,None,Ovrx Manufacturing Inc.,Approved,OVRX Insulated Sub-Floor Panel,,,,,
12412,41260,CGC Inc.,Approved,"Sheetrock 1/2"" x 4' Tapered Edge Panel",,,,,
7688006,None,Envirem Technologies,Approved,Black Cedar Mulch,,,,,
12SSTD,None,Canwel,Approved,"1/2"" Spruce Standard Plywood",,,,,
2660014,None,IKO Industries Ltd.,Approved,Marathon 25 Fibreglass Roofing Shingles,,,,,
166PT,None,Lumber Vendor,Approved,"1"" x 6"" Pressure Treated Fence Board",,,,,
9930113,None,Patio Drummond,Approved,Wavy Pattern Patio Slab,,,,,
7002013,TT-8207-WL,Hebei Machinery Import,Approved,Toilet in a Box,,,,,
248PT,None,Lumber Vendor,Approved,"2"" x 4"" Pressure Treated Lumber",,,,,
5250850,None,Import Vendor,Approved,Pecan Oak Hardwood Flooring,,,,,
6902003,TT-8297-WL,Hebei Machinery Import,Approved,Comfort-Height Toilet in a Box,,"$149,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6902003&navAction=jump&prdId=6902003&catalogId=1200,,
R2023,None,Owen's Corning Canada LP,Approved,R-2023 EcoTouch™ PINK™ FIBERGLAS® Insulation,,,,,
ATTICAT,ATTICAT,Owen's Corning Canada LP,Approved,Atti-Cat Loosefill Fiberglass Insulation,,"$33,75 ",http://www.kent.ca/kbs/en/product.jsp?skuId=ATTICAT&navAction=jump&prdId=ATTICAT&catalogId=1349,"$33,75 ",http://www.homedepot.ca/product/expanding-blown-in-insulation-system/920932
3010013,None,Quickrete,Approved,Quikrete Concrete Mix,,,,,
16PRP,16prp,Lumber Vendor,Approved,"1"" x 6"" T&G Pine",,,,,
2696SDSK,None,Lumber Vendor,Approved,"2"" x 6"" Stud",,,,,
54412PT,None,Lumber Vendor,Approved,"5/4"" x 4"" Pressure Treated Decking",,,,,
268PT,None,Lumber Vendor,Approved,"2"" x 6"" Pressure Treated Lumber",,,,,
