Item Type,Product Name,Category,Brand Name,Price Ex VAT,GTIN,Manufacturer Part Number
Product, Osram Dulux D/E 18W/840 4pin (G24q-2),Compact Fluorescent,Osram,1.4,04050300017617,4050300017617
Product, Philips Master PL-S 9W/827/2Pin (G23),Compact Fluorescent,Philips,1.25,08711500260796,2607996 70
Product, Philips Master PL-S 9W/840/2Pin (G23),Compact Fluorescent,Philips,1.25,08711500260871,260871 70
Product,GE Wattmiser F16W 2D 835 2P - 41745,Compact Fluorescent,GE,2.8,05021731324192,41745
Product,GE Wattmiser F16W 2D 835 4P - 41747,Compact Fluorescent,GE,2.8,05021731324253,41747
Product,GE Wattmiser F28W 2D 827 4P - 10547,Compact Fluorescent,GE,3.17,043168105477,10547
Product,GE Wattmiser F28W 2D 835 4P - 10567,Compact Fluorescent,GE,3.17,043168105675,10567
Product,OSRAM 16w 2pin 827 2D Lamp ,Compact Fluorescent,Osram,3.19,04050300816852,4050300816852
Product,OSRAM 16w 4pin 827 2D Lamp,Compact Fluorescent,Osram,3.19,04050300816890,4050300816890
Product,OSRAM 16w 4pin 835 2D Lamp,Compact Fluorescent,Osram,3.69,04050300816876,4050300816876
Product,OSRAM 28w 2pin 827 2D Lamp ,Compact Fluorescent,Osram,3.8,04050300816913,4050300816913
Product,OSRAM 28w 2pin 835 2D Lamp,Compact Fluorescent,Osram,4.1,04050300816937,4050300816937
Product,OSRAM 28w 4pin 827 2D Lamp,Compact Fluorescent,Osram,4.1,04050300816951,4050300816951
Product,OSRAM 28w 4pin 835 2D Lamp,Compact Fluorescent,Osram,4.1,04050300816982,4050300816982
Product,OSRAM 38w 4pin 827 2D Lamp,Compact Fluorescent,Osram,4.5,04050300817002,4050300817002
Product,Osram Dulux D 26W/840 2pin (G24d-3),Compact Fluorescent,Osram,1.4,04050300012049,4050300012049
Product,Osram Dulux D/E 13W/840 4pin (G24q-1),Compact Fluorescent,Osram,1.67,04050300017594,4050300017594
Product,Osram Dulux D/E 26W/840 4pin (G24q-3),Compact Fluorescent,Osram,1.4,04050300020303,4050300020303
Product,Philips Master PL-C 13W/840/4P (G24q-1),Compact Fluorescent,Philips,1.29,08711500623324,623324 70
Product,Philips Master PL-C 18W/840/4P (G24q-2),Compact Fluorescent,Philips,1.29,08711500623348,623348 70
Product,Philips Master PL-C 26W/840/2P (G24d-3),Compact Fluorescent,Philips,1.29,08711500621009,621009 70
Product,Philips Master PL-C 26W/840/4P (G24q-3),Compact Fluorescent,Philips,1.29,08711500623362,623362 70
Product,Philips Master PL-L 24W/840/4Pin (2G11),Compact Fluorescent,Philips,1.9,08711500706720,927903208472
Product,Philips Master PL-L 40W/840/4Pin (2G11),Compact Fluorescent,Philips,2.05,08711500610973,927908208470
Product,Philips Master PL-L 55W/840/4Pin (2G11),Compact Fluorescent,Philips,2,08711500615428,927908708470
Product,Philips Master PL-L 55W/865/4Pin (2G11),Compact Fluorescent,Philips,2.05,08711500261700,927908786570
Product,Philips Master PL-S 11W/827/2Pin (G23),Compact Fluorescent,Philips,1.25,08711500261014,261014 70
Product,Philips Master PL-S 11W/840/2Pin (G23),Compact Fluorescent,Philips,1.25,08711500261090,261090 70
Product,Philips Master PL-S 9W/840/4Pin (2G7),Compact Fluorescent,Philips,1.25,08711500705266,260963 70
Product,GE Biax L 55W 830 F55BX/830 (2G11) - GE 41174,Compact Fluorescent,GE,2.8,5021731319518,41174
Product,GE Biax L 55W 835 F55BX/835 (2G11) - GE 41260,Compact Fluorescent,GE,2.8,5021731319525,41260
Product,GE Biax L 55W 840 F55BX/840 (2G11) - GE 41298,Compact Fluorescent,GE,2.1,5021731319532,41298
Product,GE Biax L 55W 865 F55BX/865 (2G11) - GE 75695,Compact Fluorescent,GE,2.57,43168756952,75695
Product,Philips Master TL-D 18W/835,Fluorescent Tubes,Philips,1.03,08711500631688,631688 40
Product,Philips Master TL-D 18W/840,Fluorescent Tubes,Philips,1.03,08711500631718,631718 40
Product,Philips Master TL-D 36W/840,Fluorescent Tubes,Philips,1.25,08711500632012,632012 40
Product,Philips Master TL-D 58W/840,Fluorescent Tubes,Philips,1.35,08711500632197,632197 40
Product,Philips Master TL-D 70W/835,Fluorescent Tubes,Philips,2.45,0603253890833,642738 40
Product,Philips Master TL-D 70W/840,Fluorescent Tubes,Philips,2.45,0603253890864,615923 40
Product,Osram 20w Eco G9 Capsule,halogen lamps,Osram,1.49,04008321945556,"4008321945273, 66720"
Product,Osram 33w Eco G9 Capsule,halogen lamps,Osram,1.49,04008321226341,66733
Product,Osram 48w Eco G9 Capsule,halogen lamps,Osram,1.49,04008321945334,66748
Product,Philips 6.5w LED PL-C 2P CorePro 4000K,led lamps (compact fluorescent replacements),Philips,12.47,08718696541296,929001201502
Product,Philips 6.5w LED PL-C 4P CorePro 3000K,led lamps (compact fluorescent replacements),Philips,12.47,08718696541197,929001201002
Product,Philips 6.5w LED PL-C 4P CorePro 4000K,led lamps (compact fluorescent replacements),Philips,12.47,08718696541210,929001201102
Product,Philips 8.5w LED PL-C 2P CorePro 3000K,led lamps (compact fluorescent replacements),Philips,13.27,08718696541234,929001201202
Product,Philips 8.5w LED PL-C 2P CorePro 4000K,led lamps (compact fluorescent replacements),Philips,13.27,08718696541258,929001201302
Product,Philips 9w LED PL-C 4P CorePro 3000K,led lamps (compact fluorescent replacements),Philips,9.32,08718696541159,corepro9wledplc
Product,Philips 9w LED PL-C 4P CorePro 4000K,led lamps (compact fluorescent replacements),Philips,9.32,08718696541173,929001200902
