Sku Number,EAN,Title,URL,Selling Price,Category
20EY000XUK,0889955854919,"Lenovo ThinkPad E565 20EY 15.6"" Laptop AMD A8-8600P 1.6GHz (3.0GHz Turbo) Processor, 4GB RAM - 500GB HDD - Integrated Intel HD 4400 - 720p HD Camera - Windows 10 - 20EY000XUK",http://www.laptopoutlet.co.uk/lenovo-thinkpad-e565-20ey-15-6-business-laptop-amd-a8-8600p-4gb-ram-500gb-hdd.html,254.99,Laptop
T100CHI-FG007B,4712900001341,"ASUS Transformer Book T100CHI-FG007B 10.1-Inch Laptop Tablet PC (Intel Atom Z3775 GHz, 2 GB RAM, 64 GB SSD, Integrated Graphics, Windows 8.1 with Bing",http://www.laptopoutlet.co.uk/asus-transformer-book-10-1-quad-core-laptop-tablet-intel-z3775-2gb-ram-64gb-ssd.html,179.99,Laptop
P5R50ES#ABU,0889899460009,"HP 250 G4 15.6"" Best Selling HP Laptop Intel Core i3-5005U 2.0GHz, 8GB RAM, 1TB ",http://www.laptopoutlet.co.uk/hp-250-g4-15-6-best-value-laptop-intel-core-i5-5005u-2-0ghz-8gb-ram-1tb-hdd.html,284.99,Laptop
80QR0016UK,0889800946851,"Lenovo B50-10 15.6"" Multimedia Laptop Intel Pentium N3540 4GB, 128GB SSD, Win 10",http://www.laptopoutlet.co.uk/lenovo-b50-10-15-6-quad-core-laptop-intel-pentium-n3540-4gb-ram-128gb-ssd-w10.html,214.99,Laptop
80NT00E8UK,0190151026124,"Lenovo IdeaPad 500 15.6"" Full HD Gaming Laptop Core i7-6500U, 12GB RAM, 2TB HDD",http://www.laptopoutlet.co.uk/lenovo-ideapad-500-15-6-gaming-laptop-intel-core-i7-6500u-12gb-ram-2tb-hdd.html,589.99,Laptop
X553SA-XX166T,4712900231731,"Asus X553SA 15.6"" Best Value Laptop Intel Celeron N3050 2.1GHz 4GB RAM 1TB HDD  ",http://www.laptopoutlet.co.uk/asus-x553sa-15-6-best-value-laptop-intel-celeron-n3050-2-1ghz-4gb-ram-1tb-hdd.html,233.99,Laptop
F0AT001FUK,0889955315052,"Lenovo Horizon 2s 19.5"" All in One Tablet PC Core i5-4210U 8GB, 500+8GB SSHD, W8",http://www.laptopoutlet.co.uk/lenovo-19-5-horizon-2s-19-5-tablet-pc-core-i5-4210u-8gb-ram-500gb-8gb-sshd.html,439.99,Tablet
59435842,0888965594549,"Lenovo A7-30 TAB 2 - 7-inch Quad Core Tablet IPS Display, MTK 8127, 16GB Storage",http://www.laptopoutlet.co.uk/lenovo-a7-30-tab-2-quad-core-7-inch-tablet-mtk-8127-1-3ghz-1gb-ram-16gb-emmc.html,68.99,Tablet
Linx1010B,"5055792311693
5055792315448","Linx 1010B 10.1""  Windows 10 Tablet Intel Atom Quad Core Z3735F, 2GB, 32GB eMMC ",http://www.laptopoutlet.co.uk/linx-1010b-10-1-touchscreen-quad-core-tablet-atom-z3735f-1-8ghz-2gb-ram-32gb-s.html,139.97,Tablet
N8W37EA#ABU,889894419699,"HP 22-3100na  21.5"" Full HD All-in-One PC Intel Celeron G1840T 4GB RAM, 1TB HDD ",http://www.laptopoutlet.co.uk/hp-22-3100na-21-5-full-hd-all-in-one-pc-intel-celeron-g1840t-4gb-ram-1tb-hdd.html,274.99,Desktop PC
F0AV002BUK,889561581018,"Lenovo B50-35 23.8"" Full HD Touchscreen All-In-One PC AMD A10-7800 8GB RAM, 1TB ",http://www.laptopoutlet.co.uk/lenovo-b50-35-23-8-fhd-touchscreen-all-in-one-pc-amd-a10-7800-8gb-ram-1tb-hdd.html,439.99,Desktop PC
DQ.SZXEK.001,04713392107177 ,"Acer Aspire Z1-623 21.5"" Full HD All-in-One PC Intel Core i3-4005U 6GB RAM, 1TB",http://www.laptopoutlet.co.uk/acer-aspire-z1-623-21-5-full-hd-all-in-one-pc-intel-core-i3-4005u-6gb-ram-1tb.html,374.99,Desktop PC
P5K24ES#ABU,0600649330447,"HP ProOne 400 G1-19.5"" Core i5 All In One PC  Intel Core i5-4590T 8GB, 180GB SSD",http://www.laptopoutlet.co.uk/hp-proone-400-g1-all-in-one-pc-19-5-inch-intel-core-i5-4590t-8gb-ram-180gb-ssd.html,489.99,Desktop PC
DELLKP3KJ-SP1,5397063640720,Dell OptiPlex 3020 Micro PC Intel Pentium G3250T 4GB RAM 500GB HDD Windows 7 Pro,http://www.laptopoutlet.co.uk/dell-optiplex-3020-micro-pc-intel-pentium-g3250t-4gb-ram-500gb-hdd-windows-7-pro.html,224.99,Desktop PC
A6420-BC004E,4712900097931,"ASUS A6420-BC004E 21.5"" Core i5 All in One PC 2.9GHz 4GB RAM 500GB HDD, Win7 Pro",http://www.laptopoutlet.co.uk/asus-a6420-21-5-inch-all-in-one-pc-core-i5-4460s-quad-core-4gb-ram-500gb-hdd.html,599.99,Desktop PC
80EW03DCUK+AV,0889955317728,"Lenovo B50-80 15.6"" Student Laptop Intel Core i3-5005U, 4GB RAM, 500GB HDD DVDRW",http://www.laptopoutlet.co.uk/lenovo-b50-80-15-6-windows-7-pro-laptop-intel-core-i3-5005u-4gb-ram-500gb-hdd.html,299.99,Laptop
T6N53EA#ABU,0889894910721,"HP 250 G4 15.6"" 6th Gen. Core i5 Laptop Intel-6200U 4GB RAM 500GB HDD, Win 7 Pro",http://www.laptopoutlet.co.uk/hp-250-g4-15-6-6th-gen-core-i5-laptop-intel-6200u-4gb-ram-500gb-hdd-win-7-pro.html,349.99,Laptop
80E502VVUK,0889955105646,"Lenovo G50-80 15.6"" Multimedia Laptop Intel Core i3-5005U 4GB RAM 1TB HDD Win10 ",http://www.laptopoutlet.co.uk/lenovo-g50-80-15-6-multimedia-laptop-intel-core-i3-5005u-4gb-ram-1tb-hdd-win10.html,279.99,Laptop
CT2KIT102464BF160B,0012303270813,"Crucial 16GB DDR3 RAM Kit for Laptop (2x 8GB 1600MHz, SO-DIMM 204-pin, Non-ECC",http://http://www.laptopoutlet.co.uk/crucial-16gb-ddr3-ram-kit-for-laptop-2x-8gb-1600mhz-so-dimm-204-pin-non-ecc.html,56.99,Components & Parts
RFB-X453MA-BING-WX315B,5055792306811,"ASUS X453MA 14"" Cheap Laptop Intel Celeron N2840 2.58GHz Turbo 2GB RAM 500GB HDD",http://www.laptopoutlet.co.uk/asus-x453ma-14-cheap-laptop-intel-celeron-n2840-2-58ghz-turbo-2gb-ram-500gb-hdd-23068.html,134.97,Refurbished Laptop
SM3926AE7B1-AG,6947681519350,"Motorola Moto G XT1068 2nd Gen 5-inch 3G Dual Sim Smartphone 1GB RAM, 8GB eMMC ",http://www.laptopoutlet.co.uk/motorola-moto-g-xt1068-5-inch-3g-smartphone-qualcomm-snapdragon-400-1gb-ram-8gb.html,87.99,Smartphone
20EY000XUK-16GB,0889955854919,"Lenovo ThinkPad E565 15.6"" Multimedia Laptop AMD A8-8600P QC 16GB RAM, 500GB HDD",http://www.laptopoutlet.co.uk/lenovo-thinkpad-e565-20ey-15-6-ideal-laptop-amd-a8-8600p-16gb-ram-500gb-hdd-dvd.html,329.99,Laptop
TR4L4044044-01,5060370511877,"KAZAM Trooper 440L 4-inch Unlocked 4G Smartphone Quad-Core 1.3GHz, 4GB Storage",http://www.laptopoutlet.co.uk/kazam-440l-trooper-4-inch-unlocked-4g-smartphone-quad-core-1-3ghz-4gb-storage.html,54.99,Smartphone
