1,Chima,70000,Razcal’s Glider, $11.99 ,0.0,
2,Chima,70006,Cragger’s Command Ship, $79.99 ,,
3,Chima,70001,Crawley’s Claw Ripper, $14.99 ,0.0,
4,Chima,70002,Lennox' Lion Attack, $24.99 ,0.0,
5,Chima,70003,Eris’ Eagle Interceptor, $34.99 ,0.0,
6,Chima,70004,Wakz' Pack Tracker, $29.99 ,0.0,
7,Chima,70005,Laval’s Royal Fighter, $39.99 ,0.0,
8,Chima,70100,Ring of Fire, $14.99 ,0.0,
9,Chima,70101,Target Practice, $14.99 ,0.0,
10,Chima,70102,CHI Waterfall, $14.99 ,0.0,
11,Chima,70103,Boulder Bowling, $14.99 ,0.0,
12,Chima,70115,Ultimate Speedor Tournament, $29.99 ,0.0,
13,Bricks & More LEGO,6166,Ultimate LEGO® Building Set, $29.99 ,94.9,
14,Bricks & More LEGO,10659,LEGO® Blue Suitcase, $24.99 ,0.0,
15,DUPLO Princess ,10516,Ariel's Magical Boat Ride, $14.99 ,0.0,
16,City Fire,60001,Fire Chief Car, $11.99 ,0.0,
17,City Fire,60002,Fire Truck, $19.99 ,0.0,
18,City Fire,60003,Fire Emergency, $39.99 ,0.0,
19,City Fire,60004,Fire Station, $99.99 ,0.0,
20,City Police,4437,Police Pursuit, $17.99 ,99.3,
21,City Police,60007,High Speed Chase, $29.99 ,0.0,
22,City Police,60008,Museum Break-in, $69.99 ,0.0,
23,City Town,60017,Flatbed Truck, $19.99 ,0.0,
24,City Town,60018,Cement Mixer, $19.99 ,0.0,
25,City Town,60016,Tanker Truck, $19.99 ,0.0,
26,LEGO Creator,31009,Small Cottage, $24.99 ,0.0,
27,LEGO Creator,31006,Highway Speedster, $24.99 ,0.0,
28,LEGO Creator,31008,Thunder Wings, $19.99 ,0.0,
29,LEGO Creator,7346,Seaside House, $49.99 ,,possible add per Cara
30,DUPLO Creative Play,4624,LEGO® DUPLO® Brick Box, $14.99 ,,added per Keith
31,DUPLO Brick Themes,10517,My First Garden, $12.99 ,0.0,
32,DUPLO Creative Play,10552,Creative Cars, $19.99 ,0.0,
33,DUPLO Learning Play,10558,Number Train, $19.99 ,0.0,
34,Space,70701,Swarm Interceptor, $19.99 ,0.0,
35,Space,70702,Warp Stinger, $29.99 ,0.0,
36,Space,70704,Vermin Vaporizer, $59.99 ,,
37,Space,70705,Bug Obliterator, $79.99 ,,
38,Ninjago,70501,Warrior Bike, $19.99 ,0.0,
39,Ninjago,70502,Cole's Earth Driller, $19.99 ,0.0,
40,Ninjago,70503,The Golden Dragon, $29.99 ,0.0,
41,Ninjago,70504,Garmatron, $39.99 ,0.0,
42,Star Wars TM,9496,Desert Skiff[TM], $24.99 ,99.3,
43,Star Wars TM,9488,Elite Clone Trooper[TM] & Commando Droid, $12.99 ,99.8,
44,Star Wars TM,9497,Republic Striker-class Starfighter[TM], $44.99 ,86.8,
45,Star Wars TM,9498,Saesee Tiin's Jedi Starfighter[TM], $29.99 ,99.3,
46,Star Wars TM,75007,Republic Assault Ship[TM] & Coruscant[TM, $9.99 ,0.0,
47,Star Wars TM,75005,Rancor[TM] Pit, $59.99 ,0.0,
48,Star Wars TM,75004,Z-95 Headhunter[TM], $49.99 ,0.0,
49,Star Wars TM,75002,AT-RT[TM], $19.99 ,0.0,
50,Star Wars TM,75001,Republic Troopers[TM] vs Sith[TM] Troope, $12.99 ,0.0,
51,Star Wars TM,75000,Clone Troopers[TM] vs. Droidekas[TM], $12.99 ,0.0,
52,Super Heroes,6868,Hulk's[TM] Helicarrier Breakout, $49.99 ,93.2,
53,Super Heroes,6863,Batwing Battle Over Gotham City, $34.99 ,99.3,
54,Super Heroes,76000,Arctic Batman[TM] vs. Mr. Freeze[TM]: Aq, $19.99 ,0.0,
55,Super Heroes,76001,The Bat vs. Bane[TM]: Tumbler Chase, $39.99 ,0.0,
56,Super Heroes,76004,Spider-Man[TM]: Spider-Cycle Chase, $19.99 ,0.0,
57,Super Heroes,76005,Spider-Man[TM]: Daily Bugle Showdown, $49.99 ,0.0,
58,Ninja Turtles TM,79101,Shredder's Dragon Bike, $24.99 ,0.0,
59,Ninja Turtles TM,79102,Stealth Shell in Pursuit, $19.99 ,0.0,
60,Ninja Turtles TM,79103,Turtle Lair Attack, $49.99 ,0.0,
61,Ninja Turtles TM,79104,The Shellraiser Street Chase, $59.99 ,0.0,
62,Ninja Turtles TM,79100,Kraang Lab Escape, $12.99 ,0.0,
63,LofTR/Hobbit,79001,Escape from Mirkwood[TM] Spiders, $29.99 ,53.5,
64,LofTR/Hobbit,79002,Attack of the Wargs, $49.99 ,53.5,
65,LofTR/Hobbit,79003,An Unexpected Gathering, $69.99 ,53.5,
66,LEGO Games,3844,Creationary, $34.99 ,,
67,LEGO Games,3920,The Hobbit: An Unexpected Journey, $34.99 ,,
68,LEGO Friends,3065,Olivia's Tree House, $19.99 ,,
69,LEGO Friends,3315,Olivia's House, $74.99 ,,
70,LEGO Friends,41004,Rehearsal Stage, $19.99 ,,
71,LEGO Friends,41008,Heartlake City Pool, $39.99 ,,
72,LEGO Friends,41007,Heartlake Pet Salon, $29.99 ,,
73,Hard to Find / D2C,10225,R2-D2[TM], $179.99 ,,
74,Hard to Find / D2C,10226,Sopwith Camel, $99.99 ,,
75,Hard to Find / D2C,10224,Town Hall, $199.99 ,,
76,D2C Exclusive,10223,Kingdoms Joust, $119.99 ,,
77,D2C Exclusive,10226,Sopwith Camel, $99.99 ,,
78,D2C Exclusive,10224,Town Hall, $199.99 ,,
79,D2C Exclusive,10220,Volkswagen T1 Camper Van, $119.99 ,,
80,D2C Exclusive,10218,Pet Shop, $149.99 ,,
81,D2C Exclusive,10214,Tower Bridge, $239.99 ,,
82,D2C Exclusive,10211,Grand Emporium, $149.99 ,,
83,D2C Exclusive,10197,Fire Brigade, $149.99 ,,
84,D2C Exclusive,10228,Haunted House, $179.99 ,,
85,D2C Exclusive,10227,B-Wing Starfighter™, $199.99 ,,
86,D2C Exclusive,10188,Death Star™, $399.99 ,,
