Product No.,Item Description English,Item Description Local (French),Item Description Local (Dutch),Theme,RRP Price EUR
71300,Uxar Creature of Jungle,Uxar Creature of Jungle,Uxar Creature of Jungle,Bionicle,9.99
71301,Ketar Creature of Stone,Ketar Creature of Stone,Ketar Creature of Stone,Bionicle,9.99
71302,Akida Creature of Water,Akida Creature of Water,Akida Creature of Water,Bionicle,9.99
71303,Ikir Creature of Fire,Ikir Creature of Fire,Ikir Creature of Fire,Bionicle,9.99
71304,Terak Creature of Earth,Terak Creature of Earth,Terak Creature of Earth,Bionicle,9.99
71305,Lewa Uniter of Jungle,Lewa Uniter of Jungle,Lewa Uniter of Jungle,Bionicle,17.99
71306,Pohatu Uniter of Stone,Pohatu Uniter of Stone,Pohatu Uniter of Stone,Bionicle,17.99
71307,Gali Uniter of Water,Gali Uniter of Water,Gali Uniter of Water,Bionicle,17.99
71308,Tahu Uniter of Fire,Tahu Uniter of Fire,Tahu Uniter of Fire,Bionicle,19.99
71309,Onua Uniter of Earth,Onua Uniter of Earth,Onua Uniter of Earth,Bionicle,19.99
71310,Umarak the Hunter,Umarak the Hunter,Umarak the Hunter,Bionicle,19.99
71311,Kopaka and Melum - Unity set,Kopaka and Melum - Unity set,Kopaka and Melum - Unity set,Bionicle,29.99
71312,Ekimu the Mask Maker,Ekimu the Mask Maker,Ekimu the Mask Maker,Bionicle,17.99
71313,Lava Beast,Lava Beast,Lava Beast,Bionicle,17.99
71314,Storm Beast,Storm Beast,Storm Beast,Bionicle,17.99
71315,Quake Beast,Quake Beast,Quake Beast,Bionicle,17.99
71316,Umarak the Destroyer,Umarak the Destroyer,Umarak the Destroyer,Bionicle,29.99
75113,Rey,Rey,Rey,Constraction Star Wars,19.99
75114,First Order Stormtrooper™,First Order Stormtrooper™,First Order Stormtrooper™,Constraction Star Wars,19.99
75115,Poe Dameron™,Poe Dameron™,Poe Dameron™,Constraction Star Wars,29.99
75116,Finn,Finn,Finn,Constraction Star Wars,29.99
75117,Kylo Ren™,Kylo Ren™,Kylo Ren™,Constraction Star Wars,29.99
75118,Captain Phasma™,Captain Phasma™,Captain Phasma™,Constraction Star Wars,29.99
75119,Constraction 2016_7,Constraction 2016_7,Constraction 2016_7,Constraction Star Wars,29.99
75120,Constraction 2016_8,Constraction 2016_8,Constraction 2016_8,Constraction Star Wars,29.99
75121,Constraction 2016_9,Constraction 2016_9,Constraction 2016_9,Constraction Star Wars,29.99
10720,Police Helicopter Chase,Police Helicopter Chase,Police Helicopter Chase,Juniors,9.99
10721,Iron Man vs. Loki,Iron Man vs. Loki,Iron Man vs. Loki,Juniors,12.99
10722,Snake Showdown,Snake Showdown,Snake Showdown,Juniors,17.99
10723,Ariel’s Dolphin Carriage,Ariel’s Dolphin Carriage,Ariel’s Dolphin Carriage,Juniors,17.99
10724,Batman™ & Superman™ vs. Lex Luthor™,Batman™ & Superman™ vs. Lex Luthor™,Batman™ & Superman™ vs. Lex Luthor™,Juniors,19.99
