Exit Date,Product Number,Launch Date,Product Description,ACV Fall,Future Product Policy,ACV Spg,Present Product Policy,Theme,NIP ($),On Shelf,Item ID,Margin,Case Pack,RRP
7/31/2016,70791,8/1/2015,Skull Warrior,0,C,0,,LEGO® BIONICLE,11.87,August,6100294,34%,4,17.99
7/31/2016,70792,8/1/2015,Skull Slicer,0,C,0,,LEGO® BIONICLE,11.87,August,6100292,34%,4,17.99
7/31/2016,70793,8/1/2015,Skull Basher,0,C,0,,LEGO® BIONICLE,11.87,August,6100277,34%,4,17.99
7/31/2016,70794,8/1/2015,Skull Scorpio,0,C,0,,LEGO® BIONICLE,11.87,August,6100274,34%,4,17.99
7/31/2016,70795,8/1/2015,Mask Maker vs. Skull Grinder,0,C,0,,LEGO® BIONICLE,24.79,August,6099889,38%,5,39.99
,71300,,Uxar Creature of Jungle,,,,,Bionicle,,,,,,12.99
,71301,,Ketar Creature of Stone,,,,,Bionicle,,,,,,12.99
,71302,,Akida Creature of Water,,,,,Bionicle,,,,,,12.99
,71303,,Ikir Creature of Fire,,,,,Bionicle,,,,,,12.99
,71304,,Terak Creature of Earth,,,,,Bionicle,,,,,,12.99
,71305,,Lewa Uniter of Jungle,,,,,Bionicle,,,,,,17.99
,71306,,Pohatu Uniter of Stone,,,,,Bionicle,,,,,,17.99
,71307,,Gali Uniter of Water,,,,,Bionicle,,,,,,17.99
,71308,,Tahu Uniter of Fire,,,,,Bionicle,,,,,,24.99
,71309,,Onua Uniter of Earth,,,,,Bionicle,,,,,,24.99
,71310,,Umarak the Hunter,,,,,Bionicle,,,,,,24.99
,71311,,Kopaka and Melum - Unity set,,,,,Bionicle,,,,,,29.99
,71312,,Ekimu the Mask Maker,,,,,Bionicle,,,,,,17.99
,71313,,Lava Beast,,,,,Bionicle,,,,,,17.99
,71314,,Storm Beast,,,,,Bionicle,,,,,,17.99
,71315,,Quake Beast,,,,,Bionicle,,,,,,17.99
,71316,,Umarak the Destroyer,,,,,Bionicle,,,,,,29.99
12/31/2017,75107,9/4/2015,Jango Fett™,0,B,0,,LEGO® Star Wars™ Constraction,17.49,September,6117501,30%,5,24.99
12/31/2017,75108,9/4/2015,Clone Commander Cody™,0,B,0,,LEGO® Star Wars™ Constraction,17.49,September,6117504,30%,5,24.99
12/31/2017,75109,9/4/2015,Obi-Wan Kenobi™,0,C,0,,LEGO® Star Wars™ Constraction,20.99,September,6117506,30%,6,29.99
12/31/2017,75110,9/4/2015,Luke Skywalker™,0,B,0,,LEGO® Star Wars™ Constraction,17.49,September,6117512,30%,5,24.99
12/31/2017,75111,9/4/2015,Darth Vader™,0,B,0,,LEGO® Star Wars™ Constraction,27.99,September,6117516,30%,3,39.99
12/31/2017,75112,9/4/2015,General Grievous™,0,B,0,,LEGO® Star Wars™ Constraction,31.49,September,6117518,30%,5,44.99
,75113,,Rey,,,,,Constraction Star Wars,,,,,,24.99
,75114,,First Order Stormtrooper™,,,,,Constraction Star Wars,,,,,,24.99
,75115,,Poe Dameron™,,,,,Constraction Star Wars,,,,,,29.99
,75116,,Finn,,,,,Constraction Star Wars,,,,,,29.99
,75117,,Kylo Ren™,,,,,Constraction Star Wars,,,,,,29.99
,75118,,Captain Phasma™,,,,,Constraction Star Wars,,,,,,29.99
,75119,,Constraction 2016_7,,,,,Constraction Star Wars,,,,,,29.99
,75120,,Constraction 2016_8,,,,,Constraction Star Wars,,,,,,29.99
,75121,,Constraction 2016_9,,,,,Constraction Star Wars,,,,,,29.99
12/31/2016,10667,3/1/2014,LEGO® Juniors Construction,0,B,0,B,LEGO® Juniors,11.69,Full Year,6061876,35%,4,17.99
