Product No.,Item no,Item Description English, Local Launch, Local          Exit,Product Category,Theme,RRP price DKK,RRP price SEK
70791,70791,Skull Warrior,,,Bionicle,Bionicle,129.95,
70792,70792,Skull Slicer,,,Bionicle,Bionicle,129.95,
70793,70793,Skull Basher,,,Bionicle,Bionicle,129.95,
70794,70794,Skull Scorpio,,,Bionicle,Bionicle,129.95,
70795,70795,Mask Maker vs. Skull Grinder,,,Bionicle,Bionicle,249.95,
71300,71300,Uxar Creature of Jungle,,,,Bionicle,99.95,
71301,71301,Ketar Creature of Stone,,,,Bionicle,99.95,
71302,71302,Akida Creature of Water,,,,Bionicle,99.95,
71303,71303,Ikir Creature of Fire,,,,Bionicle,99.95,
71304,71304,Terak Creature of Earth,,,,Bionicle,99.95,
71305,71305,Lewa Uniter of Jungle,,,,Bionicle,129.95,
71306,71306,Pohatu Uniter of Stone,,,,Bionicle,129.95,
71307,71307,Gali Uniter of Water,,,,Bionicle,129.95,
71308,71308,Tahu Uniter of Fire,,,,Bionicle,179.95,
71309,71309,Onua Uniter of Earth,,,,Bionicle,179.95,
71310,71310,Umarak the Hunter,,,,Bionicle,179.95,
71311,71311,Kopaka and Melum - Unity set,,,,Bionicle,229.95,
71312,71312,Ekimu the Mask Maker,,,,Bionicle,129.95,
71313,71313,Lava Beast,,,,Bionicle,129.95,
71314,71314,Storm Beast,,,,Bionicle,129.95,
71315,71315,Quake Beast,,,,Bionicle,129.95,
71316,71316,Umarak the Destroyer,,,,Bionicle,229.95,
75107,75107,Jango Fett™,,,Constraction Star Wars,Constraction Star Wars,179.95,
75108,75108,Clone Commander Cody™,,,Constraction Star Wars,Constraction Star Wars,179.95,
75109,75109,Obi-Wan Kenobi™,,,Constraction Star Wars,Constraction Star Wars,229.95,
75110,75110,Luke Skywalker™,,,Constraction Star Wars,Constraction Star Wars,179.95,
75111,75111,Darth Vader™,,,Constraction Star Wars,Constraction Star Wars,249.95,
75112,75112,General Grievous™,,,Constraction Star Wars,Constraction Star Wars,299.95,
75113,75113,Rey,,,,Constraction Star Wars,179.95,
75114,75114,First Order Stormtrooper™,,,,Constraction Star Wars,179.95,
75115,75115,Poe Dameron™,,,,Constraction Star Wars,229.95,
75116,75116,Finn,,,,Constraction Star Wars,229.95,
75117,75117,Kylo Ren™,,,,Constraction Star Wars,229.95,
75118,75118,Captain Phasma™,,,,Constraction Star Wars,229.95,
75119,75119,Constraction 2016_7,,,,Constraction Star Wars,229.95,
75120,75120,Constraction 2016_8,,,,Constraction Star Wars,229.95,
75121,75121,Constraction 2016_9,,,,Constraction Star Wars,229.95,
10667,10667,LEGO® Juniors Construction,,,,Juniors,149.95,
10673,10673,Race Car Rally,,,,Juniors,249.95,
10674,10674,Pony Farm,,,,Juniors,249.95,
10680,10680,Garbage Truck,,,Juniors,Juniors,179.95,
10683,10683,Road Work Truck,,,Juniors,Juniors,179.95,
10684,10684,Supermarket Suitcase,,,Juniors,Juniors,229.95,
10685,10685,Fire Suitcase,,,Juniors,Juniors,229.95,
10686,10686,Family House,,,Juniors,Juniors,299.95,
10687,10687,Spider-Man™ Hideout,,,Juniors,Juniors,299.95,
10720,10720,Police Helicopter Chase,,,,Juniors,99.95,
10721,10721,Iron Man vs. Loki,,,,Juniors,129.95,
10722,10722,Snake Showdown,,,,Juniors,129.95,
10723,10723,Ariel’s Dolphin Carriage,,,,Juniors,129.95,
10724,10724,Batman™ & Superman™ vs. Lex Luthor™,,,,Juniors,179.95,
10725,10725,Lost Temple,,,,Juniors,299.95,
10726,10726,Stephanie’s Horse Carriage,,,,Juniors,129.95,
10727,10727,Emma’s Ice Cream Truck,,,,Juniors,179.95,
10728,10728,Mia’s Vet Clinic,,,,Juniors,269.95,
10729,10729,Cinderella’s Carriage,,,,Juniors,229.95,
10654,10654,TRU Exclusive,,,,LEGO Classic,0,
10682,10682,LEGO® Creative Suitcase,,,,Bricks & More LEGO,349,499
10692,10692,LEGO® Creative Bricks,,,LEGO Classic,LEGO Classic,129.95,
10693,10693,LEGO® Creative Supplement,,,LEGO Classic,LEGO Classic,179.95,
10694,10694,LEGO® Creative Supplement Bright,,,LEGO Classic,LEGO Classic,179.95,
10695,10695,LEGO® Creative Building Box,,,LEGO Classic,LEGO Classic,229.95,
10696,10696,LEGO® Medium Creative Brick Box,,,LEGO Classic,LEGO Classic,249.95,
10697,10697,LEGO® Large Creative Box,,,LEGO Classic,LEGO Classic,549,
10698,10698,LEGO® Large Creative Brick Box,,,LEGO Classic,LEGO Classic,399,
10699,10699,Sand Baseplate,,,LEGO Classic,LEGO Classic,69.95,
10700,10700,Green Baseplate,,,LEGO Classic,LEGO Classic,69.95,
10701,10701,Gray Baseplate,,,LEGO Classic,LEGO Classic,129.95,
10702,10702,LEGO® Creative Building Set,,,,LEGO Classic,229.95,
10705,10705,LEGO® Creative Building Basket,,,,LEGO Classic,349,
630,630,Brick Separator,,,,Bricks & More LEGO,19.95,25
41055,41055,Cinderella's Romantic Castle,,,,Disney Princess,649,
