"Product No.","Item no","Item Description English"," Local Launch"," Local          Exit","Product Category","Theme","RRP price EUR","RRP price EUR 2"
10519,6033094,"Garbage Truck","1/1/2013","12/31/2014","Standard Retail","DUPLO LEGO Ville","19.99","19.99"
10520,6033097,"Big Front Loader","1/1/2013","12/31/2014","Standard Retail","DUPLO LEGO Ville","19.99","19.99"
10501,6024832,"Zoo Friends","1/1/2013","12/31/2013","Standard Retail","DUPLO LEGO Ville","4.99","4.99"
10502,6024834,"Zoo Bus","1/1/2013","12/31/2013","Standard Retail","DUPLO LEGO Ville","26.99","26.99"
10506,6024826,"Train Accessory Set","6/1/2013","12/31/2017","Standard Retail","DUPLO LEGO Ville","19.99","19.99"
10507,6024828,"My First Train Set","6/1/2013","12/31/2017","Standard Retail","DUPLO LEGO Ville","54.99","54.99"
10508,6024830,"Deluxe Train Set","6/1/2013","12/31/2017","Standard Retail","DUPLO LEGO Ville","119.99","119.99"
10500,6024818,"Horse Stable","1/1/2013","12/31/2015","Standard Retail","DUPLO LEGO Ville","29.99","29.99"
10503,6024819,"Circus Show","1/1/2013","12/31/2013","Standard Retail","DUPLO LEGO Ville","9.99","9.99"
10504,6024821,"My First Circus","1/1/2013","12/31/2015","Standard Retail","DUPLO LEGO Ville","39.99","39.99"
10505,6024823,"Play House","1/1/2013","12/31/2015","Standard Retail","DUPLO LEGO Ville","59.99","59.99"
10550,6024824,"Circus Transport","1/1/2013","12/31/2015","Standard Retail","DUPLO LEGO Ville","19.99","19.99"
10558,6024812,"Number Train","1/1/2013","12/31/2015","Standard Retail","DUPLO Learning Play","19.99","19.99"
10552,6024770,"Creative Cars","1/1/2013","12/31/2015","Standard Retail","DUPLO Creative Play","19.99","19.99"
10553,6024773,"Toddler Build and Play Cubes","1/1/2013","12/31/2015","Standard Retail","DUPLO Creative Play","14.99","14.99"
10554,6024779,"Toddler Build and Pull Along","1/1/2013","12/31/2015","Standard Retail","DUPLO Creative Play","19.99","19.99"
10561,6024836,"Toddler Starter Building Set","1/1/2013","12/31/2015","Standard Retail","DUPLO Creative Play","17.99","19.99"
10516,6024874,"Ariel's Magical Boat Ride","1/1/2013","12/31/2013","Standard Retail","DUPLO Princess TM","19.99","19.99"
10515,6024870,"Ariel's Undersea Castle","1/1/2013","12/31/2015","Standard Retail","DUPLO Princess TM","29.99","29.99"
10509,6024860,"Dusty and Chug","8/1/2013","12/31/2015","Standard Retail","DUPLO Planes TM","17.99","17.99"
10510,6024864,"Ripslinger's Air Race","8/1/2013","12/31/2015","Standard Retail","DUPLO Planes TM","29.99","29.99"
10511,6024868,"Skipper's Flight School","8/1/2013","12/31/2015","Standard Retail","DUPLO Planes TM","39.99","39.99"
10512,6024838,"Jake's Treasure Hunt","6/1/2013","12/31/2015","Standard Retail","DUPLO Jake","14.99","14.99"
10513,6024854,"Never Land Hideout","6/1/2013","12/31/2015","Standard Retail","DUPLO Jake","24.99","24.99"
10514,6024857,"Jake's Pirate Ship Bucky","6/1/2013","12/31/2015","Standard Retail","DUPLO Jake","54.99","54.99"
10655,6024630,"LEGO® Monster Trucks","1/1/2013","12/31/2013","Standard Retail","Bricks & More LEGO","19.99","19.99"
10656,6024633,"My First LEGO® Princess","1/1/2013","12/31/2013","Standard Retail","Bricks & More LEGO","7.99","7.99"
10657,6024636,"My First LEGO® Set","1/1/2013","12/31/2013","Standard Retail","Bricks & More LEGO","13.99","13.99"
10661,6024654,"My First LEGO® Fire Station","1/1/2013","12/31/2013","Standard Retail","Bricks & More LEGO","7.99","7.99"
10659,6024642,"Vehicle Suitcase","1/1/2013","12/31/2015","Standard Retail","Juniors","27.99","27.99"
10660,6024645,"House Suitcase","1/1/2013","12/31/2015","Standard Retail","Juniors","27.99","27.99"
31009,6024452,"Small Cottage","1/1/2013","12/31/2014","Standard Retail","LEGO Creator","27.99","27.99"
31010,6024461,"Treehouse","6/1/2013","12/31/2014","Standard Retail","LEGO Creator","32.99","32.99"
31012,6024465,"Family House","6/1/2013","12/31/2014","Standard Retail","LEGO Creator","69.99","69.99"
31002,6024487,"Super Racer","1/1/2013","12/31/2014","Standard Retail","LEGO Creator","11.99","11.99"
31003,6024489,"Red Rotors","1/1/2013","12/31/2014","Standard Retail","LEGO Creator","11.99","11.99"
31005,6024491,"Construction Hauler","1/1/2013","12/31/2014","Standard Retail","LEGO Creator","15.99","15.99"
31006,6024493,"Highway Speedster","1/1/2013","12/31/2014","Standard Retail","LEGO Creator","19.99","19.99"
31007,6024509,"Power Mech","1/1/2013","12/31/2014","Standard Retail","LEGO Creator","19.99","19.99"
31008,6024512,"Thunder Wings","1/1/2013","12/31/2014","Standard Retail","LEGO Creator","19.99","19.99"
31011,6024514,"Aviation Adventures","6/1/2013","12/31/2014","Standard Retail","LEGO Creator","54.99","54.99"
31000,6024521,"Mini Speeder","1/1/2013","12/31/2013","Standard Retail","LEGO Creator","5.99","5.99"
31001,6024529,"Mini Skyflyer","1/1/2013","12/31/2013","Standard Retail","LEGO Creator","5.99","5.99"
31004,6024468,"Fierce Flyer","1/1/2013","12/31/2014","Standard Retail","LEGO Creator","11.99","11.99"
31313,6029287,"LEGO® MINDSTORMS® EV3","9/1/2013","12/31/2016","Standard Retail","MINDSTORMS","399.99","399.99"
41000,6024543,"Water Scooter Fun","1/1/2013","12/31/2014","Standard Retail","LEGO Friends","5.99","5.99"
41001,6024546,"Mia's Magic Tricks","1/1/2013","12/31/2013","Standard Retail","LEGO Friends","9.99","9.99"
41002,6024564,"Emma's Karate Class","1/1/2013","12/31/2013","Standard Retail","LEGO Friends","9.99","9.99"
41003,6024519,"Olivia's Newborn Foal","1/1/2013","5/31/2014","Standard Retail","LEGO Friends","9.99","9.99"
41004,6024522,"Rehearsal Stage","1/1/2013","12/31/2014","Standard Retail","LEGO Friends","19.99","19.99"
41005,6024532,"Heartlake High","8/1/2013","12/31/2014","Standard Retail","LEGO Friends","54.99","54.99"
41006,6024526,"Downtown Bakery","8/1/2013","12/31/2014","Standard Retail","LEGO Friends","24.99","24.99"
41007,6024560,"Heartlake Pet Salon","1/1/2013","12/31/2014","Standard Retail","LEGO Friends","32.99","32.99"
41008,6024534,"Heartlake City Pool","1/1/2013","12/31/2014","Standard Retail","LEGO Friends","39.99","39.99"
41009,6024515,"Andrea's Bedroom","8/1/2013","5/31/2014","Standard Retail","LEGO Friends","9.99","9.99"
41010,6024506,"Olivia's Beach Buggy","8/1/2013","5/31/2014","Standard Retail","LEGO Friends","9.99","9.99"
41011,6024562,"Stephanie's Soccer Practice","1/1/2013","12/31/2013","Standard Retail","LEGO Friends","9.99","9.99"
41013,6024536,"Emma's Sports Car","8/1/2013","12/31/2014","Standard Retail","LEGO Friends","14.99","14.99"
