Product No.,Item no,Item Description English, Local Launch, Local          Exit,Product Category,Theme,RRP price DKK,RRP price SEK
60001,6021676,Fire Chief Car,01/01/2013,31/12/2014,Standard Retail,City Fire,,
60017,6021681,Flatbed Truck,01/03/2013,31/12/2014,Standard Retail,City Great Vehicles,,
60000,6021696,Fire Motorcycle,01/01/2013,31/12/2014,Standard Retail,City Fire,,
60006,6021698,Police ATV,01/01/2013,31/12/2014,Standard Retail,City Police,,
60002,6021707,Fire Truck,01/01/2013,31/12/2015,Standard Retail,City Fire,179.95,249
60003,6021709,Fire Emergency,01/01/2013,31/12/2015,Standard Retail,City Fire,249.95,349
60004,6021713,Fire Station,01/01/2013,31/12/2015,Standard Retail,City Fire,699,899
60007,6021721,High Speed Chase,01/01/2013,31/12/2016,Standard Retail,City Police,249.95,349
60008,6021723,Museum Break-in,01/01/2013,31/12/2014,Standard Retail,City Police,,
42005,6023341,Monster Truck,01/08/2013,31/12/2014,Standard Retail,Technic,,
76000,6023819,Arctic Batman™ vs. Mr. Freeze™: Aquaman™,01/01/2013,31/12/2014,Standard Retail,Super Heroes,,
70005,6024421,Laval's Royal Fighter,01/01/2013,31/05/2014,Standard Retail,Chima,,
70006,6024426,Cragger's Command Ship,01/01/2013,31/05/2014,Standard Retail,Chima,,
70007,6024436,Eglor's Twin Bike,01/08/2013,31/05/2014,Standard Retail,Chima,,
31009,6024452,Small Cottage,01/01/2013,31/12/2014,Standard Retail,LEGO Creator,,
70008,6024453,Gorzan's Gorilla Striker,01/08/2013,31/05/2014,Standard Retail,Chima,,
70009,6024458,Worriz' Combat Lair,01/08/2013,31/05/2014,Standard Retail,Chima,,
31010,6024461,Treehouse,01/06/2013,31/12/2015,Standard Retail,LEGO Creator,249.95,349
70010,6024462,The Lion CHI Temple,01/08/2013,31/05/2014,Standard Retail,Chima,,
31012,6024465,Family House,01/06/2013,31/12/2014,Standard Retail,LEGO Creator,,
31004,6024468,Fierce Flyer,01/01/2013,31/12/2014,Standard Retail,LEGO Creator,,
31002,6024487,Super Racer,01/01/2013,31/12/2014,Standard Retail,LEGO Creator,,
31003,6024489,Red Rotors,01/01/2013,31/12/2014,Standard Retail,LEGO Creator,,
31005,6024491,Construction Hauler,01/01/2013,31/12/2014,Standard Retail,LEGO Creator,,
31006,6024493,Highway Speedster,01/01/2013,31/12/2014,Standard Retail,LEGO Creator,,
41010,6024506,Olivia's Beach Buggy,01/08/2013,31/05/2014,Standard Retail,LEGO Friends,,
31007,6024509,Power Mech,01/01/2013,31/12/2014,Standard Retail,LEGO Creator,,
31008,6024512,Thunder Wings,01/01/2013,31/12/2014,Standard Retail,LEGO Creator,,
31011,6024514,Aviation Adventures,01/06/2013,31/12/2014,Standard Retail,LEGO Creator,,
41009,6024515,Andrea's Bedroom,01/08/2013,31/05/2014,Standard Retail,LEGO Friends,,
41003,6024519,Olivia's Newborn Foal,01/01/2013,31/05/2014,Standard Retail,LEGO Friends,,
41004,6024522,Rehearsal Stage,01/01/2013,31/12/2014,Standard Retail,LEGO Friends,,
41006,6024526,Downtown Bakery,01/08/2013,31/12/2014,Standard Retail,LEGO Friends,,
41005,6024532,Heartlake High,01/08/2013,31/12/2014,Standard Retail,LEGO Friends,,
41008,6024534,Heartlake City Pool,01/01/2013,31/12/2014,Standard Retail,LEGO Friends,,
41013,6024536,Emma's Sports Car,01/08/2013,31/12/2014,Standard Retail,LEGO Friends,,
41000,6024543,Water Scooter Fun,01/01/2013,31/12/2014,Standard Retail,LEGO Friends,,
41015,6024549,Dolphin Cruiser,01/08/2013,31/12/2015,Standard Retail,LEGO Friends,649,799
41007,6024560,Heartlake Pet Salon,01/01/2013,31/12/2014,Standard Retail,LEGO Friends,,
79103,6024594,Turtle Lair Attack,01/06/2013,30/04/2014,Standard Retail,Ninja Turtles TM,,
10659,6024642,Vehicle Suitcase,01/01/2013,31/12/2014,Standard Retail,Juniors,,
10660,6024645,House Suitcase,01/01/2013,31/12/2014,Standard Retail,Juniors,,
79100,6024693,Kraang Lab Escape,01/06/2013,30/04/2014,Standard Retail,Ninja Turtles TM,,
76001,6024698,The Bat vs. Bane™: Tumbler Chase,01/01/2013,31/12/2014,Standard Retail,Super Heroes,,
76002,6024700,Superman™: Metropolis Showdown,01/06/2013,30/04/2014,Standard Retail,Super Heroes,,
76003,6024702,Superman™: Battle of Smallville,01/06/2013,30/04/2014,Standard Retail,Super Heroes,,
76004,6024704,Spider-Man™: Spider-Cycle Chase,01/01/2013,31/12/2014,Standard Retail,Super Heroes,,
76005,6024706,Spider-Man™: Daily Bugle Showdown,01/01/2013,31/12/2014,Standard Retail,Super Heroes,,
76006,6024708,Iron Man™: Extremis™ Sea Port Battle,01/06/2013,30/04/2014,Standard Retail,Super Heroes,,
76007,6024710,Iron Man™: Malibu Mansion Attack,01/06/2013,30/04/2014,Standard Retail,Super Heroes,,
70503,6024737,The Golden Dragon,01/01/2013,31/12/2014,Standard Retail,Ninjago,,
70505,6024741,Temple of Light,01/01/2013,31/12/2014,Standard Retail,Ninjago,,
42000,6024750,Grand Prix Racer,01/03/2013,31/12/2014,Standard Retail,Technic,,
42001,6024752,Mini Off-Roader,01/08/2013,31/12/2014,Standard Retail,Technic,,
42002,6024754,Hovercraft,01/01/2013,31/12/2014,Standard Retail,Technic,,
42004,6024756,Mini Backhoe Loader,01/01/2013,31/12/2014,Standard Retail,Technic,,
70400,6024761,Forest Ambush,01/08/2013,31/12/2014,Standard Retail,Castle,,
70401,6024764,Gold Getaway,01/08/2013,31/12/2014,Standard Retail,Castle,,
70402,6024769,The Gatehouse Raid,01/08/2013,31/12/2014,Standard Retail,Castle,,
10552,6024770,Creative Cars,01/01/2013,31/12/2015,Standard Retail,DUPLO My First,179.95,249
10553,6024773,Toddler Build and Play Cubes,01/01/2013,31/12/2014,Standard Retail,DUPLO My First,,
70403,6024774,Dragon Mountain,01/08/2013,31/12/2014,Standard Retail,Castle,,
70404,6024776,King's Castle,01/08/2013,31/12/2014,Standard Retail,Castle,,
10554,6024779,Toddler Build and Pull Along,01/01/2013,31/12/2015,Standard Retail,DUPLO My First,149.95,199
10558,6024812,Number Train,01/01/2013,31/12/2015,Standard Retail,DUPLO My First,179.95,249
