"Product No.","Item no","Item Description English"," Local Launch"," Local          Exit","Product Category","Theme","RRP price DKK","RRP price SEK"
10519,6033094,"Garbage Truck","01/01/2013","31/12/2014","Standard Retail","DUPLO LEGO Ville","179.95","249.00"
10520,6033097,"Big Front Loader","01/01/2013","31/12/2014","Standard Retail","DUPLO LEGO Ville","179.95","249.00"
10501,6024832,"Zoo Friends","01/01/2013","31/12/2013","Standard Retail","DUPLO LEGO Ville","39.95","49.00"
10502,6024834,"Zoo Bus","01/01/2013","31/12/2013","Standard Retail","DUPLO LEGO Ville","249.95","349.00"
10506,6024826,"Train Accessory Set","01/06/2013","31/12/2017","Standard Retail","DUPLO LEGO Ville","179.95","249.00"
10507,6024828,"My First Train Set","01/06/2013","31/12/2017","Standard Retail","DUPLO LEGO Ville","449.00","599.00"
10508,6024830,"Deluxe Train Set","01/06/2013","31/12/2017","Standard Retail","DUPLO LEGO Ville","999.00","1299.00"
10500,6024818,"Horse Stable","01/01/2013","31/12/2015","Standard Retail","DUPLO LEGO Ville","249.95","349.00"
10503,6024819,"Circus Show","01/01/2013","31/12/2013","Standard Retail","DUPLO LEGO Ville","99.95","99.00"
10504,6024821,"My First Circus","01/01/2013","31/12/2015","Standard Retail","DUPLO LEGO Ville","349.00","499.00"
10505,6024823,"Play House","01/01/2013","31/12/2015","Standard Retail","DUPLO LEGO Ville","549.00","699.00"
10550,6024824,"Circus Transport","01/01/2013","31/12/2015","Standard Retail","DUPLO LEGO Ville","179.95","249.00"
10558,6024812,"Number Train","01/01/2013","31/12/2015","Standard Retail","DUPLO Learning Play","179.95","249.00"
10552,6024770,"Creative Cars","01/01/2013","31/12/2015","Standard Retail","DUPLO Creative Play","179.95","249.00"
10553,6024773,"Toddler Build and Play Cubes","01/01/2013","31/12/2015","Standard Retail","DUPLO Creative Play","129.95","149.00"
10554,6024779,"Toddler Build and Pull Along","01/01/2013","31/12/2015","Standard Retail","DUPLO Creative Play","149.95","199.00"
10561,6024836,"Toddler Starter Building Set","01/01/2013","31/12/2015","Standard Retail","DUPLO Creative Play","149.95","199.00"
10516,6024874,"Ariel's Magical Boat Ride","01/01/2013","31/12/2013","Standard Retail","DUPLO Princess TM","179.95","249.00"
10515,6024870,"Ariel's Undersea Castle","01/01/2013","31/12/2015","Standard Retail","DUPLO Princess TM","249.95","349.00"
10509,6024860,"Dusty and Chug","01/08/2013","31/12/2015","Standard Retail","DUPLO Planes TM","149.95","199.00"
10510,6024864,"Ripslinger's Air Race","01/08/2013","31/12/2015","Standard Retail","DUPLO Planes TM","249.95","349.00"
10511,6024868,"Skipper's Flight School","01/08/2013","31/12/2015","Standard Retail","DUPLO Planes TM","349.00","499.00"
10512,6024838,"Jake's Treasure Hunt","01/06/2013","31/12/2015","Standard Retail","DUPLO Jake","129.95","149.00"
10513,6024854,"Never Land Hideout","01/06/2013","31/12/2015","Standard Retail","DUPLO Jake","229.95","299.00"
10514,6024857,"Jake's Pirate Ship Bucky","01/06/2013","31/12/2015","Standard Retail","DUPLO Jake","449.00","599.00"
10655,6024630,"LEGO® Monster Trucks","01/01/2013","31/12/2013","Standard Retail","Bricks & More LEGO","179.95","249.00"
10656,6024633,"My First LEGO® Princess","01/01/2013","31/12/2013","Standard Retail","Bricks & More LEGO","79.95","99.00"
10657,6024636,"My First LEGO® Set","01/01/2013","31/12/2013","Standard Retail","Bricks & More LEGO","99.95","129.00"
10661,6024654,"My First LEGO® Fire Station","01/01/2013","31/12/2013","Standard Retail","Bricks & More LEGO","79.95","99.00"
10659,6024642,"Vehicle Suitcase","01/01/2013","31/12/2015","Standard Retail","Juniors","229.95","299.00"
10660,6024645,"House Suitcase","01/01/2013","31/12/2015","Standard Retail","Juniors","229.95","299.00"
31009,6024452,"Small Cottage","01/01/2013","31/12/2014","Standard Retail","LEGO Creator","229.95","299.00"
31010,6024461,"Treehouse","01/06/2013","31/12/2014","Standard Retail","LEGO Creator","249.95","349.00"
31012,6024465,"Family House","01/06/2013","31/12/2014","Standard Retail","LEGO Creator","549.00","699.00"
31002,6024487,"Super Racer","01/01/2013","31/12/2014","Standard Retail","LEGO Creator","99.95","129.00"
31003,6024489,"Red Rotors","01/01/2013","31/12/2014","Standard Retail","LEGO Creator","99.95","129.00"
31005,6024491,"Construction Hauler","01/01/2013","31/12/2014","Standard Retail","LEGO Creator","129.95","179.00"
31006,6024493,"Highway Speedster","01/01/2013","31/12/2014","Standard Retail","LEGO Creator","179.95","249.00"
31007,6024509,"Power Mech","01/01/2013","31/12/2014","Standard Retail","LEGO Creator","179.95","249.00"
31008,6024512,"Thunder Wings","01/01/2013","31/12/2014","Standard Retail","LEGO Creator","179.95","249.00"
31011,6024514,"Aviation Adventures","01/06/2013","31/12/2014","Standard Retail","LEGO Creator","449.00","599.00"
31000,6024521,"Mini Speeder","01/01/2013","31/12/2013","Standard Retail","LEGO Creator","49.95","59.00"
31001,6024529,"Mini Skyflyer","01/01/2013","31/12/2013","Standard Retail","LEGO Creator","49.95","59.00"
