identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock,dealer
SPM7621215623,3930,LEGO Friends Stephanie's Outdoor Bakery (3930),26.31,http://www.sears.com/lego-friends-stephanie-s-outdoor-bakery-3930/p-SPM11431652519,Dollhouses & Playsets > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/10141355/prod_9477510619?src=http%3A%2F%2Fwww.toysrus.com%2Fgraphics%2Fproduct_images%2FpTRU1-11789902dt.jpg&d=ac5375a8b0610a59f2ad6a391133033a63f7897f,6.99,,Sears - Edealszone LLC
SPM8147444729,3930,LEGO Friends Stephanie's Outdoor Bakery (3930),24.19,http://www.sears.com/lego-friends-stephanie-s-outdoor-bakery-3930/p-SPM11431652519,Dollhouses & Playsets > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/10141355/prod_9477510619?src=http%3A%2F%2Fwww.toysrus.com%2Fgraphics%2Fproduct_images%2FpTRU1-11789902dt.jpg&d=ac5375a8b0610a59f2ad6a391133033a63f7897f,9.99,,Sears - Amazonlot
SPM7730902423,30070,LEGO Disney / Pixar Toy Story Exclusive Mini Figure Set #30070 Green Alien with Space Vehicle Bagged,13.82,http://www.sears.com/lego-disney-pixar-toy-story-exclusive-mini/p-SPM6677943907,Collectible Figurines > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/16843/prod_1021692907?src=http%3A%2F%2Fmediabargains.net%2FProductImages%2F41iB8ewI-LL._SL160_.jpg&d=1fe7b46c7cae636a0cd067675024c519dd0a6792,6.99,,Sears - Edealszone LLC
SPM8143346229,30070,LEGO Disney / Pixar Toy Story Exclusive Mini Figure Set #30070 Green Alien with Space Vehicle Bagged,20.74,http://www.sears.com/lego-disney-pixar-toy-story-exclusive-mini/p-SPM6677943907,Collectible Figurines > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/16843/prod_1021692907?src=http%3A%2F%2Fmediabargains.net%2FProductImages%2F41iB8ewI-LL._SL160_.jpg&d=1fe7b46c7cae636a0cd067675024c519dd0a6792,7.99,,Sears - Amazonlot
SPM7740014523,ev_0095115,Pig (Printed Eyes) - LEGO Animal Piece,13.31,http://www.sears.com/lego-city-farmer-7566/p-SPM6677822307,Collectible Figurines > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/16843/prod_1021571307?src=http%3A%2F%2Fmediabargains.net%2FProductImages%2F31YUU4ewQiL._SL160_.jpg&d=4d359f9bc23330bc50656e70078a2964e00dfe2d,6.99,,Sears - Edealszone LLC
SPM8145788529,ev_0095115,Pig (Printed Eyes) - LEGO Animal Piece,13.19,http://www.sears.com/lego-city-farmer-7566/p-SPM6677822307,Collectible Figurines > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/16843/prod_1021571307?src=http%3A%2F%2Fmediabargains.net%2FProductImages%2F31YUU4ewQiL._SL160_.jpg&d=4d359f9bc23330bc50656e70078a2964e00dfe2d,8.99,,Sears - Amazonlot
SPM8141776429,e63rxmy021,Lego Minifigures Series 6 - Genie,6.69,http://www.sears.com/lego-minifigures-series-6-genie/p-SPM7491279708,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/24348/3675046608?src=http%3A%2F%2Fimg.reversede.com%2Fimages%2FI%2F31T9tdubJuL.jpg&d=72d3dc45fc3bdaa6bd569b3261d9e7439eff8ccd,7.65,,Sears - Amazonlot
SPM7606208828,e63rxmy021,Lego Minifigures Series 6 - Genie,3.78,http://www.sears.com/lego-minifigures-series-6-genie/p-SPM7491279708,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/24348/3675046608?src=http%3A%2F%2Fimg.reversede.com%2Fimages%2FI%2F31T9tdubJuL.jpg&d=72d3dc45fc3bdaa6bd569b3261d9e7439eff8ccd,11.65,,Sears - Online Products
SPM7732271723,e63rxmy021,Lego Minifigures Series 6 - Genie,9.25,http://www.sears.com/lego-minifigures-series-6-genie/p-SPM7491279708,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/24348/3675046608?src=http%3A%2F%2Fimg.reversede.com%2Fimages%2FI%2F31T9tdubJuL.jpg&d=72d3dc45fc3bdaa6bd569b3261d9e7439eff8ccd,7.99,,Sears - Edealszone LLC
SPM8142550829,ev_0095831,lego hazmat,10.74,http://www.sears.com/lego-werewolf-minifigure-series-4/p-SPM6677829007,Collectible Figurines > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/16843/prod_1021578007?src=http%3A%2F%2Fmediabargains.net%2FProductImages%2F41xqB8BHs4L._SL160_.jpg&d=6db209b5c176d8c873ea0e656657042a22aa737f,9.65,,Sears - Amazonlot
