identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock,dealer
12131496,4439,LEGO City Heavy-Duty Helicopter (4439),49.99,http://www.toysrus.com/product/index.jsp?productId=12131496,LEGO City,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-11235750reg.jpg,,,
15546156,79002,LEGO The Hobbit Attack of the Wargs (79002),49.99,http://www.toysrus.com/product/index.jsp?productId=15546156,Model Kits & Games,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-13931386reg.jpg,,,
19730756,,LEGO The Hobbit Battle at the Black Gate,69.99,http://www.toysrus.com/product/index.jsp?productId=19730756,LEGO Lord of the Rings,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-15317595reg.jpg,,,
17328426,70704,LEGO Galaxy Squad Vermin Vaporizer (70704),59.99,http://www.toysrus.com/product/index.jsp?productId=17328426,LEGO Galaxy Squad,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-14652044reg.jpg,,,
12710097,10223,LEGO Kingdoms Joust (10223),129.99,http://www.toysrus.com/product/index.jsp?productId=12710097,LEGO Hard to Find,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-12444518reg.jpg,,,
3498758,5632,LEGO Duplo LEGOVille Animal Care (5632),9.99,http://www.toysrus.com/product/index.jsp?productId=3498758,"LEGO Exclusives - Only at Toys ""R"" Us",LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-5739907reg.jpg,,,
12326423,9093,LEGO Racers Bone Cruncher (9093),9.99,http://www.toysrus.com/product/index.jsp?productId=12326423,LEGO Racers,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-11688398reg.jpg,,,
17328456,10661,LEGO Bricks & More (10661),9.99,http://www.toysrus.com/product/index.jsp?productId=17328456,Building Sets & Blocks,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-14652047reg.jpg,,,
11486129,7065,LEGO Alien Conquest Alien Mothership (7065),39.98,http://www.toysrus.com/product/index.jsp?productId=11486129,LEGO Alien Conquest,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-10021879reg.jpg,,,
11495736,8206,LEGO Disney Pixar Cars 2 - Tokyo Pit Stop (8206),17.99,http://www.toysrus.com/product/index.jsp?productId=11495736,Disney/Pixar Cars from LEGO,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-10043220reg.jpg,,,
2330937,0628,LEGO Make & Create: Basic Extra Large Grey Baseplate Accessory (0628),14.99,http://www.toysrus.com/product/index.jsp?productId=2330937,LEGO Storage & Accessories,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-2907164reg.gif,,,
11537902,4867,LEGO Harry Potter Hogwarts (4867),49.99,http://www.toysrus.com/product/index.jsp?productId=11537902,LEGO Harry Potter,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-10142282reg.jpg,,,
11807193,3816,LEGO SpongeBob SquarePants Glove World (3816),19.99,http://www.toysrus.com/product/index.jsp?productId=11807193,LEGO SpongeBob,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-10669717reg.jpg,,,
18469106,44007,LEGO Hero Factory Ogrum (44007),12.99,http://www.toysrus.com/product/index.jsp?productId=18469106,LEGO Hero Factory,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-14927121reg.jpg,,,
20876526,,LEGO The Lone Ranger Poster - Gift With Purchase,4.99,http://www.toysrus.com/product/index.jsp?productId=20876526,LEGO the Lone Ranger,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-15754416reg.jpg,,,
20047966,,LEGO Lone Ranger Silver Mine Shootout,69.99,http://www.toysrus.com/product/index.jsp?productId=20047966,LEGO the Lone Ranger,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-15453920reg.jpg,,,
20541086,30261,LEGO Lone Ranger Tonto's Campfire (30261),4.99,http://www.toysrus.com/product/index.jsp?productId=20541086,LEGO the Lone Ranger,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-15623967reg.jpg,,,
20047986,,LEGO The Lone Ranger Colby City Showdown,44.99,http://www.toysrus.com/product/index.jsp?productId=20047986,LEGO the Lone Ranger,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-15454117reg.jpg,,,
20274096,,LEGO The Lone Ranger Comanche Camp,19.99,http://www.toysrus.com/product/index.jsp?productId=20274096,LEGO the Lone Ranger,LEGO,http://www.toysrus.com/images/tru_hdrLogo.gif/graphics/product_images/pTRU1-15534162reg.jpg,,,
