identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock,dealer
24501977,60012,LEGO City Coast Guard 4x4 & Diving Boat Play Set,17.79,http://www.walmart.com/ip/LEGO-City-Coast-Guard-4x4-Diving-Boat-Play-Set/24501977,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-3298/k2-_6b634e4f-e4e5-437b-acbd-38393af3f28e.v1.jpg,,0,
22018289,70115,LEGO Chima Ultimate Speedor Tournament Play Set,26.65,http://www.walmart.com/ip/LEGO-Chima-Ultimate-Speedor-Tournament-Play-Set/22018289,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-3236/k2-_bb5ae105-8975-49f8-adb5-7a3701f68865.v1.jpg,,0,
25634554,41005,LEGO Friends Heartlake High Play Set,42.99,http://www.walmart.com/ip/LEGO-Friends-Heartlake-High-Play-Set/25634554,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-35e1/k2-_7753226f-c6b6-4644-af78-1cf91c2ce4ed.v1.jpg,,0,
22881102,79110,LEGO Lone Ranger Silver Mine Shootout Play Set,64.99,http://www.walmart.com/ip/LEGO-Lone-Ranger-Silver-Mine-Shootout-Play-Set/22881102,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-bab2/k2-_dfebf1be-ac5e-467d-bdca-84d5c87586e0.v1.jpg,,,
17767361,4625,LEGO Bricks and More LEGO Pink Brick Box,10.53,http://www.walmart.com/ip/LEGO-Bricks-and-More-LEGO-Pink-Brick-Box/17767361,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-db4d/k2-_aeb22e03-e8bf-4373-9715-0dd774a6ceeb.v1.jpg,,0,
36246176,60052,LEGO City Trains Cargo Train,189.99,http://www.walmart.com/ip/LEGO-City-Trains-Cargo-Train/36246176,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-c01e/k2-_6901c857-99aa-46e9-aa3d-4fdd9290f1d8.v1.jpg,,0,
24501961,60014,LEGO City Coast Guard Patrol Play Set,74.69,http://www.walmart.com/ip/LEGO-City-Coast-Guard-Patrol-Play-Set/24501961,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-d120/k2-_a5f7d6f5-b415-423a-a553-05692d98252c.v1.jpg,,0,
22018282,75005,LEGO Star Wars Rancor Pit Play Set,53.15,http://www.walmart.com/ip/LEGO-Star-Wars-Rancor-Pit-Play-Set/22018282,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-dcaf/k2-_58e8aabb-82bb-4eba-b26b-2f7613f72d69.v1.jpg,,0,
36246202,75055,LEGO Star Wars Imperial Star Destroyer,119.97,http://www.walmart.com/ip/LEGO-Star-Wars-Imperial-Star-Destroyer/36246202,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-6049/k2-_70986f23-53b4-44fc-8764-9deb88d9580e.v1.jpg,,0,
22018312,60004,LEGO City Fire Station Play Set,99.93,http://www.walmart.com/ip/LEGO-City-Fire-Station-Play-Set/22018312,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-7ebc/k2-_b24a60bc-aa54-4d68-800c-df251264a528.v1.jpg,,0,
31196223,76015,LEGO Super Heroes Doc Ock Truck Heist Play Set,17.99,http://www.walmart.com/ip/LEGO-Super-Heroes-Doc-Ock-Truck-Heist-Play-Set/31196223,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-ab61/k2-_57f3004c-50bb-417d-b039-67dfa4f654e9.v1.jpg,,0,
36246184,75052,LEGO Star Wars Mos Eisley Cantina,62.99,http://www.walmart.com/ip/LEGO-Star-Wars-Mos-Eisley-Cantina/36246184,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-8b29/k2-_f12a664b-625f-48c3-a05f-9d701b988ef8.v1.jpg,,0,
36246200,75048,LEGO Star Wars The Phantom,19.88,http://www.walmart.com/ip/LEGO-Star-Wars-The-Phantom/36246200,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-a733/k2-_e8e9e444-d8ac-4d4a-a3b5-94227542de90.v1.jpg,,0,
36246190,75053,LEGO Star Wars The Ghost,79.99,http://www.walmart.com/ip/LEGO-Star-Wars-The-Ghost/36246190,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-726e/k2-_0a3dd690-a39d-43ab-b165-cfcc9f881c82.v1.jpg,,0,
31196217,41026,LEGO Friends Sunshine Harvest Play Set,15.99,http://www.walmart.com/ip/LEGO-Friends-Sunshine-Harvest-Play-Set/31196217,Building Sets,LEGO,http://i5.walmartimages.com/dfw/dce07b8c-87d8/k2-_9ccf2c45-acc7-4dcb-8ba9-ee6071547125.v1.jpg,,0,
