sku,category,id,ean,name,launch,available,price
70791,LEGO® Bionicle,,,Le Crâne guerrier,,,14.99
70792,LEGO® Bionicle,,,Le Crâne trancheur,,,14.99
70793,LEGO® Bionicle,,,Le Crâne découpeur,,,14.99
70794,LEGO® Bionicle,,,Le Crâne scorpion,,,14.99
70795,LEGO® Bionicle,,,Le Créateur de masque contre le Crâne broyeur,,,29.99
71300,Bionicle,,,Uxar Creature of Jungle,,,9.99
71301,Bionicle,,,Ketar Creature of Stone,,,9.99
71302,Bionicle,,,Akida Creature of Water,,,9.99
71303,Bionicle,,,Ikir Creature of Fire,,,9.99
71304,Bionicle,,,Terak Creature of Earth,,,9.99
71305,Bionicle,,,Lewa Uniter of Jungle,,,14.99
71306,Bionicle,,,Pohatu Uniter of Stone,,,14.99
71307,Bionicle,,,Gali Uniter of Water,,,14.99
71308,Bionicle,,,Tahu Uniter of Fire,,,19.99
71309,Bionicle,,,Onua Uniter of Earth,,,19.99
71310,Bionicle,,,Umarak the Hunter,,,19.99
71311,Bionicle,,,Kopaka and Melum - Unity set,,,24.99
71312,Bionicle,,,Ekimu the Mask Maker,,,14.99
71313,Bionicle,,,Lava Beast,,,14.99
71314,Bionicle,,,Storm Beast,,,14.99
71315,Bionicle,,,Quake Beast,,,14.99
71316,Bionicle,,,Umarak the Destroyer,,,24.99
75107,LEGO® Star WarsTM,,,Jango Fett™,,,19.99
75108,LEGO® Star WarsTM,,,Commandant Clone Cody™,,,19.99
75109,LEGO® Star WarsTM,,,Obi-Wan Kenobi™,,,24.99
75110,LEGO® Star WarsTM,,,Luke Skywalker™,,,19.99
75111,LEGO® Star WarsTM,,,Darth Vader™,,,29.99
75112,LEGO® Star WarsTM,,,Général Grievous™,,,34.99
75113,Constraction Star Wars,,,Rey,,,19.99
75114,Constraction Star Wars,,,First Order Stormtrooper™,,,19.99
75115,Constraction Star Wars,,,Poe Dameron™,,,24.99
75116,Constraction Star Wars,,,Finn,,,24.99
75117,Constraction Star Wars,,,Kylo Ren™,,,24.99
75118,Constraction Star Wars,,,Captain Phasma™,,,24.99
75119,Constraction Star Wars,,,Constraction 2016_7,,,24.99
