category,mpn,ean13,scc14,name,msrp,map
MUSIC,980-000737,5099206043190,50992060431915,Ultimate Ears BOOM(Green),199.00,169
MUSIC,980-000735,5099206043176,50992060431717,Ultimate Ears BOOM (Black),199.00,169
MUSIC,980-000738,5099206043206,50992060432011,Ultimate Ears BOOM (CyanBlue),199.00,169
MUSIC,980-000739,5099206043213,50992060432110,Ultimate Ears BOOM (Red),199.00,169
MUSIC,984-000452,5099206053885,50992060538812,Ultimate Ears BOOM -Aqua,199.00,169
MUSIC,984-000454,5099206053908,50992060539017,Ultimate Ears BOOM -Citrus,199.00,169
MUSIC,984-000451,5099206053878,50992060538713,Ultimate Ears BOOM -Superhero,199.00,169
MUSIC,984-000453,5099206053892,50992060538911,Ultimate Ears BOOM -Orchid,199.00,169
MUSIC,984-000450,5099206053861,50992060538614,Ultimate Ears BOOM -SteelBlue,199.00,169
MUSIC,984-000348,5099206049796,50992060497911,Mini Boom (Black),99.99,79
MUSIC,984-000324,5099206049758,50992060497515,Mini Boom (Purple/Green),99.99,79
MUSIC,984-000330,5099206049765,50992060497614,Mini Boom (Black/Red),99.99,79
MUSIC,984-000336,5099206049772,50992060497713,Mini Boom (Orange/White),99.99,79
MUSIC,984-000342,5099206049789,50992060497812,Mini Boom (Black/Green),99.99,79
