CATEGORY,Brand,PRODUCT IMAGE URL's,MPN,EAN13,SCC14,Marketing name,MSRP in euros 
Keyboard and Combos,Logitech,http://www.logitech.com/assets/46528/wireless-touch-keyboard-k400r-glamour-sm.png,920-003100,5099206028111,50992060281114,"Wireless Touch Keyboard K400, German layout"," € 39,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/32001/2/logitech-wireless-combo-mk520.png,920-002554,5099206022522,50992060225217,"Wireless Combo MK520, German Layout"," € 49,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/41164/2/logitech-wireless-combo-mk330-glamour-image-sm.png,920-003967,5099206033481,50992060334810,MK330   Logitech MK330 schnurlose Tastatur schwarz," € 39,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/38605/2/wireless-combo-mk270-glamour-images.png,920-004511,5099206039179,50992060391714,Wireless Desktop MK270 German layout," € 29,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/35324/wireless-desktop-mk71026246.png,920-002420,5099206020948,50992060209415,"Wireless Desktop MK710, German layout"," € 99,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/49121/wireless-all-in-one-keyboard-tk820.png,920-005131,5099206047150,50992060471515,Wireless All in One Keyboard TK820 German layout," € 99,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/51040/4/wireless-performance-combo-mx800.jpg,920-006239,5099206051393,50992060513918,Wireless Performance Combo MX800," € 149,00 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/32379/2/wireless-illuminated-keyboard-k800-amr-glamour-images.png,920-002360,5099206020092,50992060200917,"Wireless Illuminated Keyboard K800, German Layout"," € 99,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/35601/2/wireless-keyboard-k270-amr-glamour-images.png,920-003052,5099206033139,50992060331314,Wireless Keyboard K270," € 24,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/46854/wireless-keyboard-k360-emea-glossy-black-glamour-image-sm.png,920-003056,5099206027442,50992060274413,Wireless Keyboard K360 German layout," € 29,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/45621/glamour-sm.png,920-004271,5099206037861,50992060378616,Bluetooth Easy Switch Keyboard German layout," € 99,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/45637/emea-glamour-sm.png,920-004295,5099206038158,50992060381517,Bluetooth Illuminated Keyboard K810 German layout," € 99,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/48575/illuminated-keyboard-k740.png,920-005687,NA,NA,Illuminated KB K740 German layout," € 79,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/51024/3/illuminated-living-room-keyboard-k830.jpg,920-006087,5099206049840,50992060498413,Illuminated Living-room Keyboard K830," € 99,99 "
Keyboard and Combos,Logitech,http://www.logitech.com/assets/52404/5/bluetooth-multi-device-keyboard-k480.jpg,920-006350,5099206052703,50992060527014,Bluetooth Multi-Device Keyboard K480 – Black," € 49,99 "
MICE,Logitech,http://www.logitech.com/assets/35243/performance-mouse-mx21793.png,910-001120,5099206016101,50992060161010,Performance Mouse MX," € 79,99 "
MICE,Logitech,http://www.logitech.com/assets/49234/wireless-mouse-m560.jpg,910-003883,5099206047327,50992060473212,Wireless Mouse M560 (Black)," € 39,99 "
MICE,Logitech,http://www.logitech.com/assets/49778/lgwireless-mouse-m560.jpg,910-003914,5099206047341,50992060473410,Wireless Mouse M560 (White)," € 39,99 "
MICE,Logitech,http://www.logitech.com/assets/49185/ultrathin-touch-mouse-t631.jpg,910-003864,5099206047112,50992060471119,Ultra-Thin Touch Mouse T631 for Mac," € 69,99 "
MICE,Logitech,http://www.logitech.com/assets/49157/ultrathin-touch-mouse-t630.jpg,910-003836,5099206047068,50992060470617,Ultra-Thin Touch Mouse T630," € 69,99 "
MICE,Logitech,http://www.logitech.com/assets/43569/anywhere-mouse-mx-glamour-sm-image.png,910-002899,5099206033443,50992060334414,Anywhere Mouse MX (Refresh)," € 69,99 "
MICE,Logitech,http://www.logitech.com/assets/30208/2/marathon-mouse-m705-glamour-images.png,910-001950,5099206023901,50992060239016,Wireless Mouse M705," € 49,99 "
