identifier,sku,name,price,url
,,Facilitair / Medewerker Facilitaire Schoonmaak,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Medewerker-Facilitaire-Schoonmaak.html
,,Pedagogiek en Onderwijs / Bedrijfshulpverlener (BHV),335.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Bedrijfshulpverlener-BHV.html
,,Orde en Veiligheid / Vakopleiding Privédetective,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Vakopleiding-Privedetective.html
,,Fotografie / Vakopleiding Fotografie,1440.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Vakopleiding-Fotografie.html
,,Uiterlijke Verzorging en Voeding / Voedingsconsulent,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Voedingsconsulente.html
,,Medisch en Paramedisch / Eerste Hulp Verlener (EHBO),590.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-Eerste-Hulp-Verlener-EHBO.html
,,"Zorg, Welzijn en Hulpverlening / Vakopleiding Woonbegeleiding",1200.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Vakopleiding-Woonbegeleiding.html
,,Kinderopvang en Jeugdzorg / HBO Leergang Manager Kinderopvang,2080.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Leergang-Manager-Kinderopvang.html
,,Coaching en Psychologie / Mediation en Conflictbemiddeling,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Mediation-en-Conflictbemiddeling.html
,,"Makelaardij, Bouwkunde en Architectuur / Vakopleiding Tuinarchitectuur",1440.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Vakopleiding-Tuinarchitectuur.html
,,Talen / Spaans in de Praktijk,460.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Spaans-in-de-Praktijk.html
,,Persoonlijke Effectiviteit en Assertiviteit / Timemanagement,590.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Timemanagement.html
,,Sportmanagement en -coaching / Vakopleiding Fitnessinstructeur,1200.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Vakopleiding-Fitnessinstructeur.html
,,Communicatie en Eventmanagement / NIMA Marketingcommunicatie-B,1980.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-NIMA-Marketingcommunicatie-B.html
,,Sales en Accountmanagement / Verkoopvaardigheden,790.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Verkoopvaardigheden-1.html
,,Marketing / Search Engine Optimization (SEO),790.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Search-Engine-Optimalization-SEO.html
,,ICT en Internet / Word 2007-2010 Basis I,265.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Basistraining-Microsoft-Word-2007-2010-1.html
,,ICT en Internet / Word 2000-2003 Basis I,265.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Basistraining-Microsoft-Word-2000-2003-1.html
,,ICT en Internet / Outlook 2010 Basis,132.5,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Basistraining-Microsoft-Outlook-2010.html
,,ICT en Internet / Outlook 2007 Basis,132.5,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Basistraining-Microsoft-Outlook-2007.html
,,ICT en Internet / Outlook 2003 Basis,132.5,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Basistraining-Microsoft-Outlook-2003.html
,,ICT en Internet / Excel 2007-2010 Basis,530.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Basistraining-Microsoft-Excel-2007-2010.html
,,ICT en Internet / Excel 2000-2003 Basis,530.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Basistraining-Microsoft-Excel-2000-2003-1.html
,,ICT en Internet / Basistraining PowerPoint 2007-2010,530.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Basistraining-PowerPoint-2007-2010.html
