sku,asin,price,quantity
6895,B000J66W9I,3.85,4
16255,B000WGVI30,2.47,28
16263,B000WH2XBA,1.67,40
18116,B0026MB9YG,2.47,20
18132,B000JTMVY0,1.67,54
25701,B0007OEBIQ,4.07,42
25728,B000J61USQ,8.08,33
25736,B000I5U0Q6,11.4,14
39147,B008N9G9UK,1.8,16
102723,B0001GRVE6,9.48,7
102731,B0001IWDCE,2.81,8
11012961,B000BYQLT4,13.25,4
11012962,B001QWUHF4,16.75,12
11012964,B0007ZJ8RO,10.99,3
11012965,B000BYQLTE,10.99,5
11012968,B003IGK0GC,16.75,9
1119058,B002Y2ME9W,4.49,9
1119100,B002Y2MDVQ,4.49,4
1119111,B004QNRQFE,4.49,7
1119122,B007QXJM5S,4.49,8
1119222,B002Y2ME3I,4.49,7
1119355,B002Y2KWIW,4.49,15
1119553,B002RTZV42,4.49,7
1119888,B002Y2MEKG,4.49,13
116101,B000TKHALS,11.25,11
1180010,B000H6QQE6,12.49,3
1180102,B002LSLTG8,12.49,2
1180103,B001B8BH8Y,12.49,5
1180104,B001B8BJXC,12.49,4
118080,B000J6D1RE,52.07,4
1184030,B000LWGH54,4.99,8
1184040,B000T7FXU6,4.99,3
1184050,B000HIUZUU,4.99,5
1184070,B000HIUZV4,4.99,6
1184080,B000HIUZW8,4.99,5
1184120,B000LWCOVA,4.99,7
1184800,B0025L06FQ,4.99,3
1184815,B001DB3IUY,4.99,7
1184880,B000Y16AHC,4.99,4
1192505,B002OE2V1G,2.99,11
1198040,B000VOCK3U,1.69,6
1200400102,B00C0SOKZ6,3.55,1
1200400103,B00H6600ZQ,3.55,2
1200400106,B00114M10G,3.55,1
1200400108,B001FL55OO,3.55,18
1200400109,B00AXA4PJ4,3.55,4
1200400110,B001FL3NE8,3.55,4
1200400111,B00H660KOM,3.55,5
1200400112,B001FL1O1C,3.55,3
1200400117,B001FL7MRW,3.55,5
1200400121,B002Q0I3DI,3.55,2
1200400126,B00H660VOG,3.55,3
1200400129,B001FL15UW,3.55,4
1200400130,B001FL745M,3.55,5
1200400134,B001FKZYAU,3.55,5
1200400135,B00BOLZNLA,3.55,4
1200400136,B00AXA52W8,3.55,1
1200400141,B001FL7VG4,3.55,5
1200400151,B001FL7XJ4,3.55,7
1200400155,B001FKZAQI,3.55,4
1200400159,B001FL25MO,3.55,5
1200400164,B001FL268M,3.55,5
1200400180,B001FL063Y,3.55,6
1210628370,B00511CU9C,10.1,5
12493X,B000J63J5I,3.66,29
137607-11,B00CHJ71MC,4.99,6
137607-12,B00DYTFGC6,4.99,2
137607-13,B00DYTBEIQ,4.99,4
137607-15,B00CHJAYQM,4.99,2
137607-16,B00DYT5OB4,4.99,2
137607-17,B00DYT920S,4.99,1
177165,B0007XDHH8,31.2,7
177185,B0007XDHG4,31.2,1
200177163,B004O78CA0,25.44,3
200177164,B0007XDHGE,25.44,2
200177183,B0007XKHN0,25.44,2
23334X,B000SHSK9S,4.79,13
282564,B000I5PZDY,4,7
293528,B0079154NG,2.91,17
296638,B004XW859O,3.49,52
314630,B0013DH6EQ,35.5,31
314649,B0013DFG3Y,30,6
314657,B0013DKOBS,29.21,17
314762,B000USLJUC,35.5,8
314770,B0007OEB0Y,35.5,7
314789,B0007OEB18,30.73,16
314797,B0007OEB1I,30.73,8
31486X,B0007OEB4K,18,6
31823133,B0014ZR1AC,40,3
31823145,B000WD3SOA,55.98,1
333255,B000SHSER6,14,4
33818X,B004OHT7LS,3.18,11
3M009,B000LRWY2E,4.35,168
42013,B00AYW700M,44,20
464378,B000I5U5J8,22.32,5
500097,B001IVTHZ4,16.48,1
500232,B000I5VW9K,6.98,2
50376X,B0009V7QEI,3.14,16
5044,B00AT8J9MS,9.16,37
505183,B000J63QH4,9.59,10
531571,B000I5SAPY,2.96,6
536277,B000J6DBVU,18.48,3
537086,B004QMADZK,2.7,2
560605,B0040KEXX6,3.71,11
569795,B0001P0DM4,3.54,18
573527,B001P5SCWM,5.87,13
59068X,B000092R14,38.17,4
600588,B0012334WK,4.99,4
623945,B0001OZIFW,5.99,27
639251,B005SBEW78,1.94,28
7000370102,B000TAU2BI,6.9,3
7000370103,B000TAVTYW,6.9,2
7000370105,B000TAVTZG,6.9,3
7000370106,B000TAQNES,6.9,7
7000370107,B0045HZFMC,6.9,3
7000370108,B0045I0TJU,6.9,1
7000370110,B000TAORGE,6.9,5
7000370111,B004RBB8JU,6.9,2
7000370112,B00782CC7W,6.9,10
7000370117,B00782CCCW,6.9,2
7000370121,B00175L2TA,6.9,4
7000370126,B000TAN8CS,6.9,2
7000370129,B00423OJ6W,6.9,2
7000370130,B000TAORL4,6.9,7
7000370134,B000TASJZ4,6.9,1
7000370135,B0056NT46W,6.9,2
7000370136,B004RBD0QO,6.9,1
7000370151,B0056NO9V2,6.9,6
7000370155,B0056NOBK6,6.9,4
7000370159,B000TAQN48,6.9,3
7000370164,B001C43ST8,6.9,3
7000370180,B000TVGM3O,6.9,2
710986,B0012388TO,6.12,13
710994,B0012388U8,8.04,6
AC0700049,B0052SSU0M,1.5,7
AC0700050,B005Z45GFU,1.5,5
AC0700051,B0052SSU84,1.5,9
AC0700052,B0052SSUIY,1.5,15
AC0700053,B0052SSUR0,1.5,6
AC0700054,B0052SSUYI,1.5,4
AC0700257,B0052SSWH8,1.5,10
AC0700258,B0052SSWPK,1.5,10
AC2300449,B004QQ5I0G,2.91,15
AC2300545,B007K811EY,3.74,11
AC2300575,B007DKM9U4,7.41,14
AC2302009,B00BI0KKKG,16.99,16
AC2302010,B00BGCGUUU,16.99,10
AC2302011,B00BI0M7XY,2.97,6
AC2302013,B00BI0LPL4,2.97,5
AC2302014,B00BI0LHOO,2.97,4
AC2302017,B00BHI18IW,2.97,8
AC2302018,B00BHI0W70,2.97,5
AC2302019,B00BHI0I74,2.97,5
AC2302020,B00BHI02UC,2.97,6
AC2302021,B00BHHZPKU,2.97,10
