id,Luminox Rerence,Used as:,Series name,Brand,Image,SRP in CHF,SRP in USD,SRP in POUNDS
1,XS.3051.BO, 3051.BO; A.3051.BO; XS.3051.BO.1,NAVY SEAL COLORMARK 3050 SERIES,Luminox,www.luminox.com/index.php?rex_img_type=lum_serie_thumb&rex_img_file=../content/watches/XS.3051.BO.png,370.00,389.24,259.36
2,XS.3051,3051; A.3051,NAVY SEAL COLORMARK 3050 SERIES,Luminox,www.luminox.com/index.php?rex_img_type=lum_serie_thumb&rex_img_file=../content/watches/XS.3051.png,370.00,389.24,259.36
3,XS.3081,3081: A.3081,NAVY SEAL COLORMARK CHRONO 3080 SERIES,Luminox,www.luminox.com/index.php?rex_img_type=lum_serie_thumb&rex_img_file=../content/watches/XS.3081.png,470.00,494.44,329.46
4,XS.3152,A.3152; XS.3152.NV ; 3152,NAVY SEAL STEEL COLORMARK 3150 SERIES,Luminox,www.luminox.com/index.php?rex_img_type=lum_serie_thumb&rex_img_file=../content/watches/XS.3152.png,535.00,562.82,375.02
5,XS.4221,A.4221 ; XS.4221.NV; 4221,ANU 4200 SERIES,Luminox,www.luminox.com/index.php?rex_img_type=lum_serie_thumb&rex_img_file=../content/watches/XS.4221.png,650.00,683.8,455.63
6,XS.3081.BO,A.3081.BO ; XS.3081.BO.1; 3081.BO,NAVY SEAL COLORMARK CHRONO 3080 SERIES,Luminox,www.luminox.com/index.php?rex_img_type=lum_serie_thumb&rex_img_file=../content/watches/XS.3081.BO.png,470.00,494.44,329.46
7,XL.8841.KM,8841.KM SET; XL.8841.KM.SET,RECON TEAM LEADER CHRONO 8840 SERIES,Luminox,www.luminox.com/index.php?rex_img_type=lum_serie_thumb&rex_img_file=../content/watches/XL.8841.KM.png,780.00,820.56,546.76
8,XS.3059,3059; A.3059,NAVY SEAL COLORMARK 3050 SERIES,Luminox,www.luminox.com/index.php?rex_img_type=lum_serie_thumb&rex_img_file=../content/watches/XS.3059.png,435.00,457.62,304.92
9,XS.3955.SET,3955.SET,SCOTT CASSELL SPECIALS,Luminox,www.luminox.com/index.php?rex_img_type=lum_serie_thumb&rex_img_file=../content/watches/XS.3955.SET.png,420.00,441.84,294.41
10,XL.8831.KM,A.8831.KM; 8831.KM,RECON NAV SPC 8830 SERIES,Luminox,www.luminox.com/index.php?rex_img_type=lum_serie_thumb&rex_img_file=../content/watches/XL.8831.KM.png,470.00,494.44,329.46
