Maplin part code,Description,Manufacturer name,Manufacturer part code,Category
A70NB,SG 1TB BU+ Port Blk,Seagate,STDR1000200,Data storage
A85NL,SG 2TB Exp Port HDD,Seagate,STEA2000400,Data storage
A34TC,SG 8TB BU+ Desktop,Seagate,STDT8000200,Data storage
A74NB,SG 2TB BU+ Port Blk,Seagate,STDR2000200,Data storage
A39LU,SG 4TB Expansion,Seagate,STEB4000200,Data storage
A75UA,SG 4TB Portable Blk,Seagate,STDR4000200,Data storage
A71TX,SG 1TB BUP Rescue,Seagate,STDR1000411,Data storage
A63NJ,SG 2TB SSHD 3.5inch,Seagate,STCL2000400,Data storage
A49JL,2TB Seagate Ex HDD,Seagate,STEB2000200,Data storage
A68JK,500GB Seagate Port,Seagate,STEA500400,Data storage
A80RL,SG 2Bay 4TB NAS New,Seagate,STCT4000200,Data storage
A72TX,SG 2TB BUP Rescue,Seagate,STDR2000408,Data storage
A38TC,SG 1B 4TB Pcloud,Seagate,STCR4000200 ,Data storage
A53UR,Seag Int 2TB 2.5,Seagate,STBD2000102,Data storage
A76UA,SG 2TB Xbox,Seagate,STEA2000403,Data storage
A33TC,SG 6TB BU+ Desktop,Seagate,STDT6000200,Data storage
A98RQ,SG 5TB BU+ Desktop,Seagate,STDT5000200,Data storage
A80LL,SeagateSlim500GBBlk,Seagate,STCD500202,Data storage
A76NB,SG 2TB BU+ Port Blue,Seagate,STDR2000202,Data storage
A39TC,SG 1B 5TB Pcloud,Seagate,STCR5000200 ,Data storage
A73NB,SG 1TB BU+ Port Grey,Seagate,STDR1000201,Data storage
A77NB,SG 2TB BU+ Port Red,Seagate,STDR2000203,Data storage
A99RQ,SG 2TB Wireless Plus,Seagate,STCV2000200,Data storage
A63LL,1TB Seagate hybrid ,Seagate,STBD1000400,Data storage
A97RQ,SG 5TB Exp Desktop,Seagate,STEB5000200,Data storage
A41TC,SG 2B 6TB Pcloud,Seagate,STCS6000201,Data storage
A23UT,SG EXPANSION 4TB,Seagate,STEA4000400,Data storage
A52UR,Seagate PS4 1TB,Seagate,STBD1000101,Data storage
A61NJ,SG 4TB Fast Portable,Seagate,STDA4000200,Data storage
A32RK,Elgato Game Cap HD60,Elgato,1GC109901001,Gaming (peripherals)
A34NF,Elgato Game Cap HD,Elgato,ELGATO GAME CAPTURE HD,Gaming (peripherals)
A70TF,Blackwidow Chroma KB,Razer,RZ03-01220300-R3W1 - 110951,Gaming (peripherals)
A01ZF,CG Strafe RGB Silent,Corsair,CH-9000121-UK,Gaming (peripherals)
A05UT,Gseries G502 RGB Mse,Logitech,910-004618,Gaming (peripherals)
A92LY,Blackwidow Mech KB,Corsair,RZ03-00393000-R3W1,Gaming (peripherals)
A17WA,HyperX Cloud II Red,Hyper X,KHX-HSCP-RD,Gaming (peripherals)
A72TF,Kraken 7.1 Chroma H,Razer,RZ04-01250100-R3M1 / 110953,Gaming (peripherals)
