id,title,description,google_product_category,product_type,link,image_link,availability,price ex VAT,brand,mpn
WS-6506-EXL-FWM-K9,"Cisco WS-6506-EXL-FWM-K9 - C6506 FW Sys,C6509, FWSM, SUP720-3BXL, FAN","C6506 FW Sys,C6509, FWSM, SUP720-3BXL, FAN",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41326&sl=EN,http://shop.mcidiventi.co.uk/images/P/cisco-01.png,available for order,30931,Cisco,WS-6506-EXL-FWM-K9
WS-6509EXL-2FWM-K9,Cisco WS-6509EXL-2FWM-K9 - Cisco Catalyst 6509E 3BXL Security System,Cisco Catalyst 6509E 3BXL Security System with two FWSMs,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41327&sl=EN,http://shop.mcidiventi.co.uk/images/P/cisco-01.png,available for order,43204,Cisco,WS-6509EXL-2FWM-K9
WS-6509-EXL-FWM-K9,"Cisco WS-6509-EXL-FWM-K9 - C6509 FW Sys,C6509, FWSM, SUP720-3BXL, FAN","C6509 FW Sys,C6509, FWSM, SUP720-3BXL, FAN",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41328&sl=EN,http://shop.mcidiventi.co.uk/images/P/cisco-01.png,available for order,32495,Cisco,WS-6509-EXL-FWM-K9
WS-6513-RACK-MNT=,Cisco WS-6513-RACK-MNT= - 23in Rack Mount Kit for 6513,23in Rack Mount Kit for 6513,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41329&sl=EN,http://shop.mcidiventi.co.uk/images/P/cisco-01.png,available for order,60,Cisco,WS-6513-RACK-MNT=
WS-6513XL-2FWM-K9,Cisco WS-6513XL-2FWM-K9 - Cisco Catalyst 6513 3BXL Security System,Cisco Catalyst 6513 3BXL Security System with two FWSMs,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41330&sl=EN,http://shop.mcidiventi.co.uk/images/P/cisco-01.png,available for order,45116,Cisco,WS-6513XL-2FWM-K9
WSA-4GE-CU,"Cisco WSA-4GE-CU - WSA 4-Port 10/100/1000 Interface Card, RJ-45","WSA 4-Port 10/100/1000 Interface Card, RJ-45",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=355060&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=355060,available for order,2188,Cisco,WSA-4GE-CU
WSA-AMM-1Y-S1,"Cisco WSA-AMM-1Y-S1 - WSA Anti-Malware (McAfee) 1YR License Key,","WSA Anti-Malware (McAfee) 1YR License Key, 100-199 Users",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=355061&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=355061,available for order,8,Cisco,WSA-AMM-1Y-S1
WSA-AMM-1Y-S10,"Cisco WSA-AMM-1Y-S10 - WSA Anti-Malware (McAfee) 1YR License Key,","WSA Anti-Malware (McAfee) 1YR License Key, 20K-49999 Users",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=355062&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=355062,available for order,2,Cisco,WSA-AMM-1Y-S10
WSA-AMM-1Y-S11,"Cisco WSA-AMM-1Y-S11 - WSA Anti-Malware (McAfee) 1YR License Key,","WSA Anti-Malware (McAfee) 1YR License Key, 50K-99999 Users",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=355063&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=355063,available for order,1,Cisco,WSA-AMM-1Y-S11
WSA-AMM-1Y-S12,"Cisco WSA-AMM-1Y-S12 - WSA Anti-Malware (McAfee) 1YR License Key,","WSA Anti-Malware (McAfee) 1YR License Key, 100K+ Users",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=389367&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=389367,available for order,1,Cisco,WSA-AMM-1Y-S12
WSA-AMM-1Y-S2,"Cisco WSA-AMM-1Y-S2 - WSA Anti-Malware (McAfee) 1YR License Key,","WSA Anti-Malware (McAfee) 1YR License Key, 200-499 Users",Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=355065&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=355065,available for order,5,Cisco,WSA-AMM-1Y-S2
