"MTS Stockcode","Website","Pattern","Brand","Segment","Full Tyre Size","Width","Aspect Ratio","Rim","Load rating","Speed rating","Alternative speed rating","XL","Run Flat","Manufacturer mark","Fitted or Delivered","Price"
"n/a","BlackCircles","Avon Ice Touring ST (Winter Tyre) ","avon","housebrand/midrange","225/40/18/92/V",225,40,18,92,"V",,"Yes","No",,"Fitted","151.02"
"n/a","BlackCircles","Avon Ice Touring ST (Winter Tyre) ","avon","housebrand/midrange","225/40/18/92/V",225,40,18,92,"V",,"Yes","No",,"Delivered","135.42"
"2255017ZPIPZROSX","BlackCircles","Pirelli P Zero Rosso ","pirelli","premium","225/50/17/98/Y",225,50,17,98,"Y",,"Yes","No",,"Fitted","158.04"
"2255017ZPIPZROSX","BlackCircles","Pirelli P Zero Rosso ","pirelli","premium","225/50/17/98/Y",225,50,17,98,"Y",,"Yes","No",,"Delivered","143.64"
"2254018ZTOPX4","BlackCircles","Toyo Proxes 4 ","toyo","housebrand/midrange","225/40/18/92/W",225,40,18,92,"W",,"Yes","No",,"Delivered","103.57"
"2254018ZTOT1SPRT","BlackCircles","Toyo Proxes T1-Sport ","toyo","housebrand/midrange","225/40/18/92/Y",225,40,18,92,"Y",,"Yes","No",,"Delivered","104.64"
"2254018VTOS953XL","BlackCircles","Toyo Snowprox S953 (Winter Tyre) ","toyo","housebrand/midrange","225/40/18/92/V",225,40,18,92,"V",,"Yes","No",,"Delivered","131.03"
"2254517ZTOCF1","BlackCircles","Toyo Proxes CF1 ","toyo","housebrand/midrange","225/45/17/94/W",225,45,17,94,"W",,"Yes","No",,"Fitted","95.08"
"2254517ZTOC1SXL","BlackCircles","Toyo Proxes C1S ","toyo","housebrand/midrange","225/45/17/94/Y",225,45,17,94,"Y",,"Yes","No",,"Fitted","104.81"
"n/a","BlackCircles","Toyo Snowprox S953 (Winter Tyre) ","toyo","housebrand/midrange","225/45/17/91/H",225,45,17,91,"H",,"No","No",,"Fitted","145.43"
"2254517ZTOCF1","BlackCircles","Toyo Proxes CF1 ","toyo","housebrand/midrange","225/45/17/94/W",225,45,17,94,"W",,"Yes","No",,"Delivered","80.68"
"2254517ZTOC1SXL","BlackCircles","Toyo Proxes C1S ","toyo","housebrand/midrange","225/45/17/94/Y",225,45,17,94,"Y",,"Yes","No",,"Delivered","90.41"
"n/a","BlackCircles","Avon Ice Touring ST (Winter Tyre) ","avon","housebrand/midrange","195/65/15/91/H",195,65,15,91,"H",,"No","No",,"Fitted","84.19"
"n/a","BlackCircles","Avon Ice Touring ST (Winter Tyre) ","avon","housebrand/midrange","195/65/15/91/H",195,65,15,91,"H",,"No","No",,"Delivered","70.99"
"1956515VAVZV5","BlackCircles","Avon ZV5 ","avon","housebrand/midrange","195/65/15/91/V",195,65,15,91,"V",,"No","No",,"Fitted","61.64"
"1956515VAVZV5","BlackCircles","Avon ZV5 ","avon","housebrand/midrange","195/65/15/91/V",195,65,15,91,"V",,"No","No",,"Delivered","48.44"
"2055516VAVZV5","BlackCircles","Avon ZV5 ","avon","housebrand/midrange","205/55/16/91/V",205,55,16,91,"V",,"No","No",,"Fitted","72.76"
"2055516VAVZV5","BlackCircles","Avon ZV5 ","avon","housebrand/midrange","205/55/16/91/V",205,55,16,91,"V",,"No","No",,"Delivered","59.56"
"1956515HBREP150E","BlackCircles","Bridgestone Ecopia EP150 ","bridgestone","premium","195/65/15/91/H",195,65,15,91,"H",,"No","No",,"Fitted","63.4"
"1956515HBRT001","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","195/65/15/91/H",195,65,15,91,"H",,"No","No",,"Fitted","63.96"
"1956515HBRA001","BlackCircles","Bridgestone A001 Weather Control ","bridgestone","premium","195/65/15/91/H",195,65,15,91,"H",,"No","No",,"Fitted","66.6"
"n/a","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","195/65/15/95/H",195,65,15,95,"H",,"Yes","No",,"Fitted","77.88"
"n/a","BlackCircles","Bridgestone Blizzak LM-32 (Winter Tyre) ","bridgestone","premium","195/65/15/91/H",195,65,15,91,"H",,"No","No",,"Fitted","84.2"
"1956515HBREP150E","BlackCircles","Bridgestone Ecopia EP150 ","bridgestone","premium","195/65/15/91/H",195,65,15,91,"H",,"No","No",,"Delivered","50.2"
"1956515HBRT001","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","195/65/15/91/H",195,65,15,91,"H",,"No","No",,"Delivered","50.76"
"1956515HBRA001","BlackCircles","Bridgestone A001 Weather Control ","bridgestone","premium","195/65/15/91/H",195,65,15,91,"H",,"No","No",,"Delivered","53.4"
"n/a","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","195/65/15/95/H",195,65,15,95,"H",,"Yes","No",,"Delivered","64.68"
"n/a","BlackCircles","Bridgestone Blizzak LM-32 (Winter Tyre) ","bridgestone","premium","195/65/15/91/H",195,65,15,91,"H",,"No","No",,"Delivered",71
"1956515VBRT001","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","195/65/15/91/V",195,65,15,91,"V",,"No","No",,"Fitted","63.2"
"1956515VBREP150E","BlackCircles","Bridgestone Ecopia EP150 ","bridgestone","premium","195/65/15/91/V",195,65,15,91,"V",,"No","No",,"Fitted","67.75"
"1956515VBRT001","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","195/65/15/91/V",195,65,15,91,"V",,"No","No",,"Delivered",50
"1956515VBREP150E","BlackCircles","Bridgestone Ecopia EP150 ","bridgestone","premium","195/65/15/91/V",195,65,15,91,"V",,"No","No",,"Delivered","54.55"
"2055516VBRT001","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","No",,"Fitted","71.88"
"2055516VBRRE040","BlackCircles","Bridgestone Potenza RE040 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","No","RO1","Fitted","78.91"
"2055516VBRER30EM","BlackCircles","Bridgestone Turanza ER300 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","No","MO","Fitted","79.8"
"2055516VBREP150V","BlackCircles","Bridgestone Ecopia EP150 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","No",,"Fitted","79.8"
"2055516VBRER300R","BlackCircles","Bridgestone Turanza ER300 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","Yes","*","Fitted","89.04"
"n/a","BlackCircles","Bridgestone Turanza ER33 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","No",,"Fitted","89.11"
"2055516VBRT001XL","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","205/55/16/94/V",205,55,16,94,"V",,"Yes","No",,"Fitted","92.45"
"2055516VBRER300R","BlackCircles","Bridgestone Turanza ER300-1 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","Yes","*","Fitted","93.2"
"2055516VBREP001S","BlackCircles","Bridgestone Ecopia EP001S ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","No",,"Fitted","102.52"
"2055516VBRT001","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","No",,"Delivered","58.68"
"2055516VBRRE040","BlackCircles","Bridgestone Potenza RE040 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","No","RO1","Delivered","65.71"
"2055516VBRER30EM","BlackCircles","Bridgestone Turanza ER300 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","No","MO","Delivered","66.6"
"2055516VBREP150V","BlackCircles","Bridgestone Ecopia EP150 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","No",,"Delivered","66.6"
"2055516VBRER300R","BlackCircles","Bridgestone Turanza ER300 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","Yes","*","Delivered","75.84"
"n/a","BlackCircles","Bridgestone Turanza ER33 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","No",,"Delivered","75.91"
"2055516VBRT001XL","BlackCircles","Bridgestone Turanza T001 ","bridgestone","premium","205/55/16/94/V",205,55,16,94,"V",,"Yes","No",,"Delivered","79.25"
"2055516VBRER300R","BlackCircles","Bridgestone Turanza ER300-1 ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","Yes","*","Delivered",80
"2055516VBREP001S","BlackCircles","Bridgestone Ecopia EP001S ","bridgestone","premium","205/55/16/91/V",205,55,16,91,"V",,"No","No",,"Delivered","89.32"
"n/a","BlackCircles","Bridgestone Potenza S02A ","bridgestone","premium","225/40/18/0/Z",225,40,18,0,"Z",,"No","No",,"Fitted","133.68"
"n/a","BlackCircles","Bridgestone Expedia S01 ","bridgestone","premium","225/40/18/0/Z",225,40,18,0,"Z",,"No","No","K1","Fitted","134.74"
"2254018ZBRS02","BlackCircles","Bridgestone Potenza S02 ","bridgestone","premium","225/40/18/0/Z",225,40,18,0,"Z",,"No","No",,"Fitted","149.84"
"n/a","BlackCircles","Bridgestone Potenza S02A ","bridgestone","premium","225/40/18/0/Z",225,40,18,0,"Z",,"No","No",,"Delivered","118.08"
"n/a","BlackCircles","Bridgestone Expedia S01 ","bridgestone","premium","225/40/18/0/Z",225,40,18,0,"Z",,"No","No","K1","Delivered","119.14"
"2254018ZBRS02","BlackCircles","Bridgestone Potenza S02 ","bridgestone","premium","225/40/18/0/Z",225,40,18,0,"Z",,"No","No",,"Delivered","134.24"
"2254517ZBRS02N3","BlackCircles","Bridgestone Potenza S02 ","bridgestone","premium","225/45/17/0/Z",225,45,17,0,"Z",,"No","No",,"Fitted","107.4"
"2254517ZBRE040BZ","BlackCircles","Bridgestone Potenza RE040 ","bridgestone","premium","225/45/17/0/Z",225,45,17,0,"Z",,"No","No",,"Fitted","120.66"
"2254517ZBRS02N3","BlackCircles","Bridgestone Potenza S02 ","bridgestone","premium","225/45/17/0/Z",225,45,17,0,"Z",,"No","No",,"Delivered",93
"2254517ZBRE040BZ","BlackCircles","Bridgestone Potenza RE040 ","bridgestone","premium","225/45/17/0/Z",225,45,17,0,"Z",,"No","No",,"Delivered","106.26"
