"Code","15/06/2016"
"1157014MBRTR3",60.06
"1157014MTOE60",43.02
"1157015MCOCST17",66.66
"1157016MCOCST17",72.67
"1158518MPISPARE",57.69
"1159517MCOCST17",75.96
"12515SMIXVINT",113.34
"1256018MCOCST17",77.89
"1257015MCOCST17",68.55
"1257016MBRTR3",63.43
"1257016MCOCST17",75.13
"1257016MDUMZMK3",69.19
"1257017MBRTR2",63.6
"1257017MCOCST17",76.57
"1257018MCOCST17",74.13
"1257019MCOCST17",78.15
"1258015MCOCST17",71.62
"1258016MCOCST17",74.73
"1258017MCOCST17",74.25
"1258516MCOCST17",67.07
"1259015MCOCST17",70.01
"1259016MCOCST17",73.37
"13513SBUEN806",35.07
"13513TBUEN726",45.89
"1357013TBUKU758",36
"1357013TMIMXT",26.38
"1357015TCOECO",74.27
"1357016MCOCST17",71.75
"1357019MPISPARE",94.05
"1358016MBRTR2",64.68
"1358017MCONCST17",75.03
"1358018MCOCST17",75.3
"1359015MBRTR2",66.91
"1359016MCOCST17",80.37
"1359017MCOCST17",82.13
"14510SBUFASN807",52.72
"14512R8BUGTMAX",50.15
"14513R8BUGTKARG",45.66
"14513SBUFASN807",41.32
"14513TBUEN726",36.52
"14513TBUFA832",38.64
"14513TBUGTECO",38.92
"14513TBUGTFE1C",
"14513TBUKUKH17",39.81
"14514TBRB381",70.17
"1456013TMICOMP",72.72
"1456515TBRB340T",67.79
"1456515TBUFA832",52.48
"1456515TBUKUKH27",50.1
"1456515TCOECO",71.19
"1456515TDUENSAVE",72.71
"1457012SBUFA828",45.42
"1457013R8BUGTKAR",60.66
"1457013TBUEN726",37.92
"1457013TBUFA828",42.46
"1457013TBUGTECO",40.06
"1457013TBUGTVP1",40.17
"1457013TDUSTREE2",58.51
"1457013TGEALTCOM",48.91
"1457013TGOEFFCOM",57.27
"1457013TMIE3B",63.9
"1458018MCOCST17",72.43
"1458018TGOTEMP",34.87
"1459016MCOCST17",82.72
"15512R6BUENLT",48.69
"15512R8BUGTMAX",55.5
"15512R8BUGTMPR",54.01
"15513QGEALTIWINT",52.77
"15513R6BUENLT",53.31
"15513R8BUGTKAR",57.83
"15513R8BUGTMAX",54.49
"15513R8BUGTMAXQ",55.68
"15513R8BUKU857",61.26
"15513TBUEN726",39.24
"15513TBUFA832",49.65
"15513TBUFASN807",45.71
"15513TBUGTECO",41.64
"15513TBUGTFE1C",
"15513TBUKUKH17",40.32
"15513TCOECO3",59.89
"15513TDUSTREET2",57.12
"15513TGEALTCOM",56.85
"15513TMIE3BGREEN",61.35
"15513TTONE03",45.48
"15515STO310",63.6
"1556015TBRB250",62.71
"1556015TBUFA832",54.06
"1556015TBUGTFE1C",
"1556015TBUKUKH11",53.34
"1556015TBUKUKW23",62.03
"1556015TBUKUWP51",53.86
"1556015TCOECO3",71.45
"1556018MCOCST17",94.85
"1556020QBREP500",130.31
"1556513HBUEN816",40.77
"1556513HBUKUKH17",43.96
"1556513TBUFA828",45.65
"1556513TBUGTVP1",43.17
"1556513TDUSTRES2",58.18
"1556513TDUSTRRES",56.41
"1556513TGEALTCOM",57.23
"1556513TGOEFCOMP",57.09
"1556514TBRB250T",58.18
"1556514TBUEN816",43.41
"1556514TBUFA832",49.68
"1556514TBUFAAS20",54.43
"1556514TBUGTFE1C",
"1556514TBUGTVP1",45.81
"1556514TBUGTWIN",49.42
"1556514TBUGTWTP",31.65
"1556514TBUKUHA31",46.27
"1556514TBUKUKH17",45.91
"1556514TBUKUKH27",45.91
"1556514TCOECO3",48.78
"1556514TCOTS850",72.59
"1556514TDUSTREE2",62.53
"1556514TGEALTAS",48.48
"1556514TGEALTCOM",58
"1556514TGEALTRT",60.4
"1556514TGOEFFGRI",62.2
"1556514TGOULTGR9",64.15
"1556514TGOVE4SEA",72.39
"1556514TMIE3B",51.59
"1556514TPIP1CINT",60.16
"1556514TPIP1CIVE",63.94
"1556514TPIW190C3",64.63
"1556514TTONE03",39.04
"1557012R8BUGTMAX",64.14
"1557012SBUFA828",50.43
"1557012SBUKUHMO8",
"1557012SBUKUMHO",36.09
"1557013TBUEN726",41.95
"1557013TBUFA832",45.41
"1557013TBUFAAS20",47.82
"1557013TBUGTVP1",45.55
"1557013TBUGTWIN",51.37
"1557013TBUGTWTP",
"1557013TBUKUHA31",42.73
"1557013TBUKUKH17",39.12
"1557013TBUKUKH21",48
"1557013TCOECO3",59.87
"1557013TDUSTRES2",56.62
"1557013TGEALTCOM",54.69
"1557013TGEALTRT",54.69
"1557013TGEALTWIN",51.58
"1557013TGODURA",
"1557013TGOEFCOMP",57.87
"1557013TGOUGRIP8",55.44
"1557013TMIALPA3",70.9
"1557013TMIE3B1",60.34
"1557013TPIP4CINT",52.93
"1557013TTONE03",44.29
"1557014TCOPREM2E",67.41
"1557017MCOCST17",84.24
"1557019QBREP500",115.53
"1557019QBRLM500W",127.5
"1558019MCOCST17",97.97
"1558518MCOCST17",76.09
"1559016MBUKUT121",76.01
"1559018MDUSPCMK3",88.73
"16513HBUGTVP1",52.48
"16513R8BUFAR51",58.24
"16513R8BUGTMAX",53.8
"16513RFMIE3B",76.26
"16513TBUEN726",48.21
"16513TBUFA832",48.11
"16513TBUFASN807",45.94
"16513TBUGTFE1C",
"16513TBUGTVP1",
"16513TBUKUKH17",50.58
"16513TMIE3BGRENX",72.76
"16514R8BUFAR51",60.22
"16514TBUFA832",63.12
"16514TBUFASN807",55.65
"16515TCOCON22",69.54
"16515TTOYO330",59.88
"1655015VBRE040",54.52
"1655015VBRRE040",58.48
"1655513HPIP700Z",79.78
"1656012HBUFA912",58.83
"1656012HBUFA914",58.83
"1656014HBR371",69.89
"1656014HBUFA914",52.8
"1656014HBUKUKH17",51.81
"1656014HBUKUKH27",51.04
"1656014HCOECO3",76.92
"1656014HGEALTAS",48.48
"1656014HGEALTCOM",60.05
"1656014HGODURA",72.94
"1656014HGOVEC4SN",73.65
"1656014HPIP1CINT",73.33
"1656014TBRB371",66.57
"1656014TBUKUKH17",49.01
"1656014TCOECO3",76.45
"1656014TGODURAGR",68.51
"1656014TMIE3BGN",75.03
"1656014TTONE03",50.34
"1656015HCOCNECO5",80.89
"1656015HCOECOSDM",63.75
"1656015HPICINTAS",79.48
"1656015TBUFA832",61.26
"1656015TGODURAGR",70.53
"1656015TGODURGRP",70.92
"1656513TBUEN816",46.45
"1656513TBUFA828",51.82
"1656513TBUGTVP1",49.75
"1656513TBUKUKH17",45.9
"1656513TBUKUKH21",54.81
"1656513TCOECO3",66.41
"1656513TDUSTRES2",65.22
"1656513TGEALTCOM",53.89
"1656513TGO4SEASN",72.51
"1656513TGOEFCOMP",64.03
"1656513TMIE3AGN",69.12
"1656513TPIP4CINT",61.31
"1656513TTO350",
"1656513TTONE03",40.6
"1656514HMISAVER",
"1656514SBREP150",51.07
"1656514TBRB250",51.03
"1656514TBREP150",41.15
"1656514TBUEN816",40.8
"1656514TBUFA832",45.6
"1656514TBUGTFE1C",
"1656514TBUGTVP1",43.2
"1656514TBUGTWTP",
"1656514TBUKUHA31",45.64
"1656514TBUKUKH17",48.21
"1656514TBUKUKH27",48.21
"1656514TCOECO3",64.53
"1656514TDUSTRESP",59.27
"1656514TGEALTAS",49.62
"1656514TGEALTCOM",51.94
"1656514TGEALTRT",54.15
"1656514TGODURA",64.36
"1656514TGOEFCOMP",58.81
"1656514TGOVC4SEA",68.98
"1656514TMISAVE",63.79
"1656514TPIP1CINV",63.11
"1656514TPIP4CINT",58.81
"1656514TTONE03",50.39
"1656515HBUKUKH27",53.59
"1656515HDUSPTBLU",71.75
"1656515TBRB250",56.39
"1656515TBUFA832",53.64
"1656515TBUFAAS20",59.58
"1656515TBUGTFE1C",
"1656515TCOECO3",73.01
"1656515TDUSTREET",72.45
"1656515TDUSTRES2",69.9
"1656515TGEALTCOM",60.51
"1656515TMIE3A",74.98
"1656515TMISAVER",81.96
"1656515TPIP1CIVE",74.34
"1656515TTONE03",50.22
"1657010HBUFAFK07",53.22
"1657013R6DUSP9C",85.47
"1657013RFBUKH17",48.23
"1657013TBUEN726",42
"1657013TBUFA832",46.69
"1657013TBUGTVP1",43.55
"1657013TBUGTWIN",52.6
"1657013TBUGTWTP",
"1657013TBUKUKH17",48.21
"1657013TBUKUKH21",54.16
"1657013TCOECO3",61.96
"1657013TDUSP30",
"1657013TDUSTREE2",59.13
"1657013TDUSTRESP",
"1657013TGEALTCOM",43.18
"1657013TGEALTWIN",54.31
"1657013TGODURA",
"1657013TGOEFCOMP",58.24
"1657013TGOEFFCOM",62.69
"1657013TMIE3BGN",63.28
"1657013TPIP4CINT",56.34
"1657013TTO350",
"1657013TTONE03",48.41
"1657014QBUKU7400",64.17
"1657014R6BUEN616",53.11
"1657014R6BUGTEX",61.23
"1657014R6BUGTMAX",62.95
"1657014R6BUGTWIN",55.72
"1657014R6BUGTWT2",
"1657014R6BUKU857",61.36
"1657014R6COV100",85.3
"1657014R6COVANC2",83.67
"1657014R6GEEURO2",67.24
"1657014R6GOEFFCO",88.05
"1657014RFBUEN726",42.22
"1657014RFBUFA828",48.48
"1657014RFBUFA832",50.52
"1657014RFBUGTECO",45.58
"1657014RFMIAGILI",69.05
"1657014RTOH08",
"1657014TBR250",63.17
"1657014TBRB250",51.9
"1657014TBUFA831",50.7
"1657014TBUFA832",47.39
"1657014TBUFA832A",49.84
"1657014TBUFAAS20",54.52
"1657014TBUGTFE1C",
"1657014TBUGTVP1",45.82
"1657014TBUGTWIN",52.38
"1657014TBUGTWTP",
"1657014TBUKUHA31",47.04
"1657014TBUKUKH17",36.12
"1657014TBUKUKH27",45.34
"1657014TBUKUWP51",47.04
"1657014TCOECO3",48.55
"1657014TCOECO5XL",57.03
"1657014TCOPREM2",50.85
"1657014TDUSTRER2",48.37
"1657014TGEALTAS",51.51
"1657014TGEALTCOM",55.8
"1657014TGENALTWI",58.86
"1657014TGOEFCOM",48.36
"1657014TGOEFFCOM",54.55
"1657014TGOUGRP9",68.02
"1657014TMIALPA4",72.33
"1657014TMISAVE",55.67
"1657014TMISAVER",58.62
"1657014TMIXCLIMA",68.86
"1657014TMIXM2",57.18
"1657014TPIP1CIVE",62.22
"1657014TPIP4CINT",58.14
"1657014TTONE03XL",45.31
"1657014TTORFXL",40.84
"1657014XBRD693",66.91
"1657014XBRD693II",68.92
"1659017MBUKU121",86.39
"17513R8BUGT",65.2
"17513R8BUGTMPR",60.41
"17514HCOECO3",80.27
"17514R8BUGTMAX",61.26
"17514R8BUGTMAXM",61.3
"17514R8BUKU857",69.96
"17514R8TOHO8",
"17514TBUEN726",53.82
"17514TBUFA832",58.8
"17514TBUFASN807",50.4
"17514TBUKUKH17",53.01
"17514TBUKUKH27",50.08
"17514TCOECO3",74.83
"17514TGEALTCOM",57.76
"17514TMIMXT",
"17516R6DUTAXI",95.61
"17516R6MIXC4S",101.27
"1755013VDUSP2000",
"1755014VPIP6000",92.33
"1755015HBUKUKH17",53.75
"1755015HBUKUKH27",54.25
"1755015HBUKUWP51",57.73
"1755515TBRB250",58.15
"1755515TBRB340",58.15
"1755515TBUFA832",55.26
"1755515TBUGTFE1C",
"1755515TBUKUKH27",53.92
"1755515TBUKUKW23",65.01
"1755515TBUKUWP51",54.25
"1755515TCOECO3",76.43
"1755516ZBRRE040B",
"1755517ZBRRE040",134.83
"1755520QBREP500",144.1
"1756013HBUFA912",49.25
"1756013HBUFA914",54.06
"1756013HBUKUKH17",49.99
"1756013HBUKUKR26",48.48
"1756014HBRRE88",66.51
"1756014HBUFA912",51.6
"1756014HBUFA914",51.6
"1756014HBUKUKH17",50.81
"1756014HBUKUKH27",52.33
"1756014TBUKUKH27",51.9
"1756015HBRB250FZ",81.55
"1756015HBUFA914",56.45
"1756015HBUGTECO",55.38
"1756015HBUGTWIN",
"1756015HBUKUKH17",
"1756015HBUKUKH27",57
"1756015HCOECO3",86.46
"1756015HDUSP300",65.47
"1756015HGEALTCOM",63.31
"1756015TDUSTREE2",76.8
"1756015VDUSP200",87.17
"1756016HBRB250H",98.91
"1756016HDUSP2030",
"1756019QBREP500",125.51
"1756019QBREP500B",124.85
"1756513TBRB250",68.93
"1756513TBUFA828",45.29
"1756513TBUGTECO",42.75
"1756513TBUKUKH17",50.26
"1756513TCOECO3",74.67
"1756513TGEALTCOM",52.17
"1756513TGOGT3",
"1756513TMIE3BGN",75.96
"1756514HBREP150",74.27
"1756514HBUFA912",51.36
"1756514HBUFA914",51.53
"1756514HBUKUKH17",38.73
"1756514HBUKUKH27",52.33
"1756514HCOECO3",81.59
"1756514HGEALTHP",69.79
"1756514HGODURA",74.47
"1756514HMISAVE",82.5
"1756514HMIXCLIMA",68.07
"1756514HTOCF1",40.68
"1756514R6BUEN616",59.61
"1756514R6BUFAR51",63.97
