Unique Code,Product Name,Product Brand/Category,Product URL,Product Image URL,Price,Shipping (optional),Ebay Store,Ebay URL,,
10661, Electric Meat Grinder ,Kukoo,https://www.monstershop.co.uk/kukoo-electric-meat-grinder,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10661_001v2.jpg,64.99,Free,andrewjamesdirect,http://www.ebay.co.uk/itm/Andrew-James-Premium-Electric-Meat-Mincer-Grinder-Sausage-Maker-1800-Watt-/281318545387?hash=item417fe457eb,,
10590,7.5m Scaffold Tower,Monster Racking,https://www.monstershop.co.uk/scaffold-tower-steel-scaffolding-10590,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10590_001.jpg,549.99,Free,astloyal,http://www.ebay.co.uk/itm/SUPER-SDIY-7M-4-Outriggers-5-in-ONE-Aluminium-Scaffold-Tower-Towers-ORIGINAL-/272004179782, http://www.ebay.co.uk/itm/SUPER-eDIY-4-7-Aluminium-Scaffold-Tower-Towers-/271911239745, http://www.ebay.co.uk/itm/Trade-King-730-7-65M-Aluminium-Scaffold-Tower-Towers-Next-Day-Delivery-by-Loyal-/291225163098
7008(3),"Set of 3 Racking T-Rax Heavy Duty Garage Storage Shelves, 90cm W, 45cm D",Monster Racking,https://www.monstershop.co.uk/t-rax-90cm-wide-heavy-duty-garage-racking,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10683_006_3.jpg,119.99,Free,clearance_centre_123,http://www.ebay.co.uk/itm/Shelving-Unit-Heavy-Duty-5-Tier-Shelf-Steel-Racking-/200696384534?hash=item2eba6fcc16, http://www.ebay.co.uk/itm/Garage-Shelving-Unit-Heavy-Duty-Racking-Tool-Unit-Red-5-Tier-/200714674436?hash=item2ebb86e104, http://www.ebay.co.uk/itm/Warehouse-Racking-5-Tier-Garage-Shelving-Unit-Steel-/170843415463?hash=item27c70fa3a7
9060,Pop Up Power & USB Plug Sockets ,Pop Ups,https://www.monstershop.co.uk/pop-up-power-usb-plug-sockets,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/9/0/9060_001.jpg,30.99,Free,comms2go,http://www.ebay.co.uk/itm/Pop-Pull-Up-Power-Pod-Unit-Kitchen-Desk-Worktop-Socket-Extension-Lead-Plug-/161525410994?var=&hash=item6b3ac3f3f9,,
10295,Heavy Duty Postal Scales ,T-Mech,https://www.monstershop.co.uk/t-mech-heavy-duty-postal-scales,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10295_001.jpg,44.99,Free,gadgetgaga,http://www.ebay.co.uk/itm/PROSHIP-LARGE-Digital-181Kg-400lb-Heavy-Duty-Postal-Parcel-Platform-Scales-Weigh-/141053488422,,
10678,80L Industrial Vacuum Cleaner ,Max-Blast,https://www.monstershop.co.uk/80l-industrial-vacuum-cleaner,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10678_001_v2.jpg,199.99,Free,hifi-tower,http://www.ebay.co.uk/itm/NEW-WET-AND-DRY-VACUUM-HOME-SHOP-VAC-3000W-80L-LITRE-INDUSTRIAL-STAINLESS-STEEL-/231681161411?hash=item35f145f8c3,,
10119,50cm Wide Electric Griddle,Kukoo,https://www.monstershop.co.uk/kukoo-50cm-wide-electric-griddle,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10119_001_1.jpg,149.99,Free,hiralisha,http://www.ebay.co.uk/itm/OVEVO-55cm-wide-Commercial-Stainless-Steel-Electric-Griddle-Flat-Hotplate-Grill-/291712054286,,
10685,Outdoor Pizza Oven ,Kukoo,https://www.monstershop.co.uk/kukoo-outdoor-pizza-oven,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10685_001_1.jpg,154.99,Free,jakanatrading,http://www.ebay.co.uk/itm/Forno-Buono-Napoli-Pizza-Oven-Wood-Fired-Garden-Outdoor-FREE-cover-included-/272170078860?hash=item3f5e99d28c:g:mV4AAOSwO~hXH5M7,,
10643,Commercial Food Blender,Kukoo,https://www.monstershop.co.uk/commercial-food-blender,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10643_000.jpg,99.99,Free,pricebuster_uk1,http://www.ebay.co.uk/itm/German-Commercial-Blender-2-8L-2200W-Food-Processor-Mixer-Smoothie-Juicer-Black-/231733522986?hash=item35f464f22a,,
10172,Automatic Commercial Hand Dryer,Max-Blast,https://www.monstershop.co.uk/maxblast-automatic-commercial-hand-dryer,https://www.monstershop.co.uk/media/catalog/product/cache/1/thumbnail/6d9e62d477a5fc8642e8f6feb1ac77d8/1/0/10172_001_1_1.jpg,99.99,Free,savechannel,http://www.ebay.co.uk/itm/Heavy-Duty-Commercial-High-Speed-Electric-Hand-Dryer-Stainless-Steel-/281576851446, http://www.ebay.co.uk/itm/HEAVY-DUTY-HAND-DRYER-FAST-ELECTRIC-AUTOMATIC-HOT-WARM-AIR-DRIER-BEST-COMMERCIAL-/271788021061,
