identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock,dealer
15113699,000-11214-001,LOWRANCE Mark-4 HDI 83/200kHz Fishfinder/Chartplotter Combo,179.88,http://www.westmarine.com/buy/lowrance--mark-4-hdi-83-200khz-fishfinder-chartplotter-combo--15113699,Lowrance > Fishfinder & GPS Combos,Lowrance,http://newcontent.westmarine.com/content/images/catalog/full/15113699.jpg,,,
16222762,000-11795-001,"LOWRANCE HDS-12 Gen3 Touchscreen Fishfinder / Chartplotter, with 83/200kHz Transducer",3199.00,http://www.westmarine.com/buy/lowrance--hds-12-gen3-touchscreen-fishfinder-chartplotter-with-83-200khz-transducer--16222762,Lowrance > Multifunction Displays & Combos,Lowrance,http://newcontent.westmarine.com/content/images/catalog/full/16222762_FUL.jpeg,,,
12971057,000-10519-001,LOWRANCE HDS-5 Gen2 Fishfinder/GPS Chartplotter with 50/200kHz Transducer,449.88,http://www.westmarine.com/buy/lowrance--hds-5-gen2-fishfinder-gps-chartplotter-with-50-200khz-transducer--12971057,Lowrance > Multifunction Displays & Combos,Lowrance,http://newcontent.westmarine.com/content/images/catalog/full/12971016.jpg,,,
16222747,000-11798-001,"LOWRANCE HDS-12 Gen3 Combo, LSS-2 SonarHub Module Value Pack",3399.99,http://www.westmarine.com/buy/lowrance--hds-12-gen3-combo-lss-2-sonarhub-module-value-pack--16222747,Lowrance > Multifunction Displays & Combos,Lowrance,http://newcontent.westmarine.com/content/images/catalog/full/16222747_FUL.jpeg,,,
16222846,000-11785-001,"LOWRANCE HDS-7 Gen3 Touchscreen Fishfinder/Chartplotter, with 83/200 kHz Transducer",1299.99,http://www.westmarine.com/buy/lowrance--hds-7-gen3-touchscreen-fishfinder-chartplotter-with-83-200-khz-transducer--16222846,Lowrance > Multifunction Displays & Combos,Lowrance,http://newcontent.westmarine.com/content/images/catalog/full/16222846_FUL.jpeg,,,
16222820,000-11788-001,LOWRANCE HDS-7 Gen3 Touchscreen Fishfinder/Chartplotter 83/200 kHz Structure Scan Bundle & Skimmer Transducer,1499.99,http://www.westmarine.com/buy/lowrance--hds-7-gen3-touchscreen-fishfinder-chartplotter-83-200-khz-structure-scan-bundle-skimmer-transducer--16222820,Lowrance > Multifunction Displays & Combos,Lowrance,http://newcontent.westmarine.com/content/images/catalog/full/16222820_FUL.jpeg,,,
15355068,000-11485-001,"SIMRAD NSO evo2 Dual 16"" Multi-Touch Monitor Bundle",12499.99,http://www.westmarine.com/buy/simrad--nso-evo2-dual-16-multi-touch-monitor-bundle--15355068,Lowrance > MFD,Simrad,http://newcontent.westmarine.com/content/images/catalog/full/15355068.jpg,,,
16222788,000-11793-001,LOWRANCE HDS-9 Gen3 Touchscreen Fishfinder/Chartplotter 83/200 kHz Structure Scan Bundle & Skimmer Transducer,2299.99,http://www.westmarine.com/buy/lowrance--hds-9-gen3-touchscreen-fishfinder-chartplotter-83-200-khz-structure-scan-bundle-skimmer-transducer--16222788,Lowrance > Multifunction Displays & Combos,Lowrance,http://newcontent.westmarine.com/content/images/catalog/full/16222788_FUL.jpeg,,,
16222796,000-11791-001,"LOWRANCE HDS-9 Gen3 Touchscreen Fishfinder / Chartplotter, with 50/200kHz Transducer",2149.99,http://www.westmarine.com/buy/lowrance--hds-9-gen3-touchscreen-fishfinder-chartplotter-with-50-200khz-transducer--16222796,Lowrance > Multifunction Displays & Combos,Lowrance,http://newcontent.westmarine.com/content/images/catalog/full/16222796_FUL.jpeg,,,
16222770,000-11794-001,"LOWRANCE HDS-12 Gen3 Touchscreen Fishfinder / Chartplotter, without Transducer",3149.99,http://www.westmarine.com/buy/lowrance--hds-12-gen3-touchscreen-fishfinder-chartplotter-without-transducer--16222770,Lowrance > Multifunction Displays & Combos,Lowrance,http://newcontent.westmarine.com/content/images/catalog/full/16222770_FUL.jpeg,,,
