category,brand,code,description,screen size
,Lowrance,000-10483-001,MARK-4 COMBO BASE W/XDCR 83/200kHz,"4"""
,Lowrance,000-10515-001,HDS-5 GEN2 LAKE INSGHT 83/200KHZ,"5"""
,Lowrance,000-10516-001,HDS-5 GEN2 LAKE INSIGHT W/O XD,"5"""
,Lowrance,000-10519-001,HDS-5 GEN2 NAUTIC INSIGHT 50/200KHZ,"5"""
,Lowrance,000-10520-001,HDS-5M GEN2 NAUTIC INSIGHT,"5"""
,Lowrance,000-10521-001,HDS-5 GEN2 WWB 83/200KHZ CE,"5"""
,Lowrance,000-10521-002,HDS-5 GEN2 WWB 83/200 & BLANK MAP CARDS,"5"""
,Lowrance,000-10521-003,HDS-5 GEN2 WWB 83/200 CE CMAP AMER BNDL,"5"""
,Lowrance,000-10521-004,HDS-5 GEN2 WWB 83/200 CE CMAP ROW BNDL,"5"""
,Lowrance,000-10521-005,HDS-5 GEN2 WWB 83/200 5+1 PROMO,"5"""
,Lowrance,000-10522-001,HDS-5 GEN2 WWB W/O XD CE,"5"""
,Lowrance,000-10522-002,HDS-5 GEN2 WWB W/O XD & BLANK MAP CARDS,"5"""
,Lowrance,000-10522-003,HDS-5 GEN2 WWB W/O XD CE CMAP AMER BNDL,"5"""
,Lowrance,000-10523-001,HDS-5 GEN2 WWB 50/200KHZ CE,"5"""
,Lowrance,000-10523-002,HDS-5 GEN2 WWB 50/200 & BLANK MAP CARDS,"5"""
,Lowrance,000-10523-003,HDS-5 GEN2 WWB 50/200 CE CMAP AMER BNDL,"5"""
,Lowrance,000-10523-004,HDS-5 GEN2 WWB 50/200 CE CMAP ROW BNDL,"5"""
,Lowrance,000-10524-001,HDS-5M GEN2 WWB CE,"5"""
,Lowrance,000-10524-002,HDS-5M GEN2 WWB & BLANK MAP CARDS,"5"""
,Lowrance,000-10524-003,HDS-5M GEN2 WWB CE CMAP AMER BNDL,"5"""
,Lowrance,000-10524-004,HDS-5M GEN2 WWB CE CMAP ROW BNDL,"5"""
,Lowrance,000-10524-005,HDS-5M GEN2 WWB 5+1 PROMO,"5"""
,Lowrance,000-10529-001,HDS-7 GEN2 INSIGHT USA 50/200KHZ,"7"""
,Lowrance,000-10530-001,HDS-7 GEN2 INSIGHT USA 83/200KHZ,"7"""
,Lowrance,000-10531-001,HDS-7 GEN2 INSIGHT USA W/O XD,"7"""
,Lowrance,000-10534-001,HDS-7 GEN2 WWB W/O XD CE,"7"""
,Lowrance,000-10534-002,HDS-7 GEN2 WWB W/O XD & BLANK MAP CARDS,"7"""
,Lowrance,000-10534-003,HDS-7 GEN2 WWB W/O XD CE CMAP AMER BNDL,"7"""
,Lowrance,000-10534-004,HDS-7 GEN2 WWB W/O XD CE CMAP ROW BNDL,"7"""
,Lowrance,000-10534-005,HDS-7 GEN2 WWB W/O XD 5+1 PROMO,"7"""
,Lowrance,000-10535-001,HDS-7M GEN2 WWB CE,"7"""
,Lowrance,000-10535-002,HDS-7M GEN2 WWB & BLANK MAP CARDS,"7"""
,Lowrance,000-10535-003,HDS-7M GEN2 WWB CE CMAP AMER BNDL,"7"""
,Lowrance,000-10535-004,HDS-7M GEN2 WWB CE CMAP ROW BNDL,"7"""
,Lowrance,000-10535-005,HDS-7M GEN2 WWB 5+1 PROMO,"7"""
,Lowrance,000-10536-001,HDS-8 GEN2 INSIGHT USA 50/200KHZ,"8"""
,Lowrance,000-10537-001,HDS-8 GEN2 INSIGHT USA 83/200KHZ,"8"""
,Lowrance,000-10538-001,HDS-8 GEN2 INSIGHT USA W/O XD,"8"""
,Lowrance,000-10539-001,HDS-8 GEN2 WWB W/O XD CE,"8"""
,Lowrance,000-10539-002,HDS-8 GEN2 WWB W/O XD & BLANK MAP CARDS,"8"""
,Lowrance,000-10539-003,HDS-8 GEN2 WWB W/O XD CE CMAP AMER BNDL,"8"""
,Lowrance,000-10539-004,HDS-8 GEN2 WWB W/O XD CE CMAP ROW BNDL,"8"""
,Lowrance,000-10539-005,HDS-8 GEN2 WWB W/O XD 5+1 PROMO,"8"""
,Lowrance,000-10540-001,HDS-8M GEN2 WWB CE,"8"""
,Lowrance,000-10540-002,HDS-8M GEN2 WWB CE & BLANK MAP CARDS,"8"""
,Lowrance,000-10540-003,HDS-8M GEN2 WWB CE CMAP AMER BNDL,"8"""
,Lowrance,000-10540-004,HDS-8M GEN2 WWB CE CMAP ROW BNDL,"8"""
,Lowrance,000-10540-005,HDS-8M GEN2 WWB5+1 PROMO,"8"""
,Lowrance,000-10541-001,HDS-10 GEN2 INSIGHT USA 50/200KHZ,"10"""
,Lowrance,000-10542-001,HDS-10 GEN2 INSIGHT USA 83/200KHZ,"10"""
,Lowrance,000-10543-001,HDS-10 GEN2 INSIGHT USA W/O XD,"10"""
,Lowrance,000-10544-001,HDS-10 GEN2 WWB W/O XD CE,"10"""
,Lowrance,000-10544-002,HDS-10 GEN2 WWB W/O XD & BLANK MAP CARDS,"10"""
,Lowrance,000-10544-003,HDS-10 GEN2 WWB W/O XD CE CMAP AMER BNDL,"10"""
,Lowrance,000-10544-004,HDS-10 GEN2 WWB W/O XD CE CMAP ROW BNDL,"10"""
,Lowrance,000-10544-005,HDS-10 GEN2 WWB W/O XD 5+1 PROMO,"10"""
,Lowrance,000-10545-001,HDS-10M GEN2 WWB CE,"10"""
,Lowrance,000-10545-002,HDS-10M GEN2 WWB CE & BLANK MAP CARDS,"10"""
,Lowrance,000-10545-003,HDS-10M GEN2 WWB CE CMAP AMER BNDL,"10"""
,Lowrance,000-10545-004,HDS-10M GEN2 WWB CE CMAP ROW BNDL,"10"""
,Lowrance,000-10545-005,HDS-10M GEN2 WWB CE 5+1 PROMO,"10"""
,Lowrance,000-10694-001,"HDS-5 GEN2 6-PK ASY DASH MOUNT, BB ONLY","5"""
,Lowrance,000-10695-001,"HDS-7 GEN2 6-PK ASY DASH MOUNT, BB ONLY","5"""
,Lowrance,000-10751-001,ELITE-4X SONAR NO XDCR 6 PACK,"4"""
,Lowrance,000-10752-001,ELITE-4 BASE COMBO NO XDCR 6 PACK,"4"""
,Lowrance,000-10761-001,HDS-7M GEN2 TOUCH INSIGHT,"7"""
,Lowrance,000-10762-001,HDS-7M GEN2 TOUCH ROW,"7"""
,Lowrance,000-10762-002,HDS-7M GEN2 TOUCH ROW & BLANK MAP CARDS,"7"""
,Lowrance,000-10762-003,HDS-7M GEN2 TOUCH ROW CMAP AMER BNDL,"7"""
,Lowrance,000-10762-004,HDS-7M GEN2 TOUCH ROW CMAP ROW BNDL,"7"""
,Lowrance,000-10762-005,HDS-7M G2T SONARHUB NOXD BUNDLE(EMEA/ROW,"7"""
,Lowrance,000-10762-006,HDS-7M GEN2 TOUCH ROW 5+1 PROMO,"7"""
,Lowrance,000-10763-001,HDS-7 GEN2 TOUCH ROW NO XDCR,"7"""
,Lowrance,000-10763-002,HDS-7 GEN2 TOUCH ROW & BLANK MAP CARDS,"7"""
,Lowrance,000-10763-003,HDS-7 GEN2 TOUCH ROW CMAP AMER BNDL,"7"""
,Lowrance,000-10763-004,HDS-7 GEN2 TOUCH ROW CMAP ROW BNDL,"7"""
,Lowrance,000-10763-005,HDS-7 GEN2 TOUCH ROW 5+1 PROMO,"7"""
,Lowrance,000-10764-001,HDS-7 GEN2 TOUCH INSIGHT NO XDCR,"7"""
,Lowrance,000-10765-001,HDS-7 GEN2 TOUCH INSIGHT 83/200,"7"""
,Lowrance,000-10766-001,HDS-7 GEN2 TOUCH INSIGHT 50/200,"7"""
,Lowrance,000-10767-001,HDS-9M GEN2 TOUCH INSIGHT,"9"""
,Lowrance,000-10768-001,HDS-9M GEN2 TOUCH ROW,"9"""
,Lowrance,000-10768-002,HDS-9M GEN2 TOUCH ROW & BLANK MAP CARDS,"9"""
,Lowrance,000-10768-003,HDS-9M GEN2 TOUCH ROW CMAP AMER BNDL,"9"""
,Lowrance,000-10768-004,HDS-9M GEN2 TOUCH ROW CMAP ROW BNDL,"9"""
,Lowrance,000-10768-005,HDS-9M G2T SONARHUB NOXD BUNDLE(EMEA/ROW,"9"""
,Lowrance,000-10768-006,HDS-9M GEN2 TOUCH ROW 5+1 PROMO,"9"""
,Lowrance,000-10769-001,HDS-9 GEN2 TOUCH ROW NO XDCR,"9"""
,Lowrance,000-10769-002,HDS-9 GEN2 TOUCH ROW & BLANK MAP CARDS,"9"""
,Lowrance,000-10769-003,HDS-9 GEN2 TOUCH ROW CMAP AMER BNDL,"9"""
,Lowrance,000-10769-004,HDS-9 GEN2 TOUCH ROW CMAP ROW BNDL,"9"""
,Lowrance,000-10769-005,HDS-9 GEN2 TOUCH ROW 5+1 PROMO,"9"""
,Lowrance,000-10770-001,HDS-9 GEN2 TOUCH INSIGHT NO XDCR,"9"""
,Lowrance,000-10771-001,HDS-9 GEN2 TOUCH INSIGHT 83/200,"9"""
,Lowrance,000-10772-001,HDS-9 GEN2 TOUCH INSIGHT 50/200,"9"""
,Lowrance,000-10773-001,HDS-12M GEN2 TOUCH ROW,"12"""
,Lowrance,000-10773-002,HDS-12M GEN2 TOUCH ROW & BLANK MAP CARDS,"12"""
,Lowrance,000-10773-003,HDS-12M GEN2 TOUCH ROW CMAP AMER BNDL,"12"""
,Lowrance,000-10773-004,HDS-12M GEN2 TOUCH ROW CMAP ROW BNDL,"12"""
,Lowrance,000-10773-005,HDS-12M G2T SONARHUB NOXD BUNDLE(EMEA/RO,"12"""
,Lowrance,000-10773-006,HDS-12M GEN2 TOUCH ROW 5+1 PROMO,"12"""
,Lowrance,000-10774-001,HDS-12 GEN2 TOUCH ROW NO XDCR,"12"""
,Lowrance,000-10774-002,HDS-12 GEN2 TOUCH ROW & BLANK MAP CARDS,"12"""
,Lowrance,000-10774-003,HDS-12 GEN2 TOUCH ROW CMAP AMER BNDL,"12"""
,Lowrance,000-10774-004,HDS-12 GEN2 TOUCH ROW CMAP ROW BNDL,"12"""
,Lowrance,000-10774-005,HDS-12 GEN2 TOUCH ROW 5+1 PROMO,"12"""
,Lowrance,000-10775-001,HDS-12 GEN2 TOUCH INSIGHT NO XDCR,"12"""
,Lowrance,000-10776-001,HDS-12 GEN2 TOUCH INSIGHT 83/200,"12"""
,Lowrance,000-10777-001,HDS-12 GEN2 TOUCH INSIGHT 50/200,"12"""
,Lowrance,000-10778-001,HDS-7 TOUCH GEN2 INSIGHT 83/200&SS XDCR,"7"""
,Lowrance,000-10796-001,HDS-5 GEN2 UK 83/200KHZ,"5"""
,Lowrance,000-10797-001,HDS-5M GEN2 UK,"5"""
,Lowrance,000-10798-001,HDS-7 GEN2 UK W/O XD,"7"""
,Lowrance,000-10799-001,HDS-7M GEN2 UK,"7"""
,Lowrance,000-10868-001,HDS-5 GEN2 LAKE INSIGHT 83/200KHZ&LSS-2,"5"""
,Lowrance,000-10869-001,HDS-7 GEN2 INSIGHT 83/200KHZ & LSS-2 HD,"7"""
,Lowrance,000-10870-001,HDS-8 GEN2 INSIGHT LSS-2 HD BUNDLE,"8"""
,Lowrance,000-10871-001,HDS-10 GEN2 INSIGHT LSS-2 HD BUNDLE,"10"""
,Lowrance,000-10873-001,"HDS-10 GEN2 ASY DASH MOUNT, BB ONLY","10"""
,Lowrance,000-10966-001,ELITE-7 COMBO BASE W/XDCR 83/200 455/800,"7"""
,Lowrance,000-10966-002,ELITE-7 CMBO BLNKSD W/XDR 83/200 455/800,"7"""
,Lowrance,000-10966-003,ELITE-7 COMBO AUS W/XDCR 83/200 455/800,"7"""
,Lowrance,000-10966-006,ELITE-7 W/HDI XDCR 83/200 CMAP AMER BNDL,"7"""
,Lowrance,000-10966-007,ELITE-7 W/HDI XDCR 83/200 CMAP ROW BNDL,"7"""
,Lowrance,000-10966-008,ELITE-7 83/200HDI LAKE INSIGHT W/ COVER,"7"""
,Lowrance,000-10967-001,ELITE-7 COMBO BASE W/XDCR 50/200 455/800,"7"""
,Lowrance,000-10967-002,ELITE-7 CMBO BLNKSD W/XDCR50/200 455/800,"7"""
,Lowrance,000-10967-006,ELITE-7 W/HDI XDCR 50/200 CMAP AMER BNDL,"7"""
,Lowrance,000-10967-007,ELITE-7 W/HDI XDCR 50/200 CMAP ROW BNDL,"7"""
,Lowrance,000-10968-001,ELITE-7 BASE COMBO W/XDCR 83/200KHZ,"7"""
,Lowrance,000-10970-001,ELITE-7 BASE COMBO NO XDCR,"7"""
,Lowrance,000-10970-002,ELITE-7 COMBO BLANK SD NO XDCR,"7"""
,Lowrance,000-10970-004,ELITE-7 NO XDCR CMAP AMER BNDL,"7"""
,Lowrance,000-10972-001,ELITE-7 COMBO GOLD 50/200 455/800,"7"""
,Lowrance,000-10973-001,"ELITE-7 COMBO,BOAT BUILDER 6 PK,NO XDCR","7"""
,Lowrance,000-10974-001,ELITE-7M BASE CHARTPLOTTER,"7"""
,Lowrance,000-10974-002,ELITE-7M BLANK SD CHARTPLOTTER,"7"""
,Lowrance,000-10974-004,ELITE-7M CHARTPLOTTER CMAP AMER BNDL,"7"""
,Lowrance,000-10974-007,ELITE-7M AUS NZ NAV+,"7"""
,Lowrance,000-10975-001,ELITE-7M CHARTPLOTTER GOLD,"7"""
,Lowrance,000-11051-001,ELITE-7 CMB GLD W/XDCR 83/200 455/800,"7"""
,Lowrance,000-11086-001,ELITE-7 COMBO GOLD NO XDCR,"7"""
,Lowrance,000-11145-001,ELITE-5 HDI W/XD 83/200/455/800,"5"""
,Lowrance,000-11145-002,ELITE-5 HDI BLNKSD W/XDCR 83/200 455/800,"5"""
,Lowrance,000-11145-004,ELITE-5 W/HDI XDCR 83/200 CMAP AMER BNDL,"5"""
,Lowrance,000-11145-005,ELITE-5 W/HDI XDCR 83/200 CMAP ROW BNDL,"5"""
,Lowrance,000-11146-001,ELITE-5 HDI W/XD 50/200/455/800,"5"""
,Lowrance,000-11146-002,ELITE-5 HDI BLNKSD W/XDCR 50/200 455/800,"5"""
,Lowrance,000-11146-004,ELITE-5 W/HDI XDCR 50/200 CMAP AMER BNDL,"5"""
,Lowrance,000-11146-005,ELITE-5 W/HDI XDCR 50/200 CMAP ROW BNDL,"5"""
,Lowrance,000-11147-001,ELITE-5M HD BASE CHARTPLOTTER,"5"""
,Lowrance,000-11147-002,ELITE-5M HD BLANK SD CHARTPLOTTER,"5"""
,Lowrance,000-11147-004,ELITE-5M HD CHARTPLOTTER CMAP AMER BNDL,"5"""
,Lowrance,000-11147-005,ELITE-5M HD CHARTPLOTTER CMAP ROW BNDL,"5"""
,Lowrance,000-11147-007,ELITE-5M HD AUS NZ NAV+,"5"""
,Lowrance,000-11159-001,ELITE-7 BAJA,"7"""
,Lowrance,000-11170-001,ELITE-5X HDI FISHFINDER NO XDCR,"5"""
,Lowrance,000-11171-001,ELITE-5 HDI GOLD W/XDCR 83/200 455/800,"5"""
,Lowrance,000-11172-001,ELITE-5 HDI GOLD W/XDCR 50/200 455/800,"5"""
,Lowrance,000-11173-001,ELITE-5 HDI BASE NO XDCR,"5"""
,Lowrance,000-11173-002,ELITE-5 HDI BLANK SD NO XDCR,"5"""
,Lowrance,000-11173-004,ELITE-5 HDI NO XDCR CMAP AMER BNDL,"5"""
,Lowrance,000-11173-006,ELITE-5 HDI 50/200 ASIA ONLY,"5"""
,Lowrance,000-11174-001,ELITE-5 HDI 83/200 ASIA,"5"""
,Lowrance,000-11175-001,ELITE-5 HDI GOLD NO XDCR,"5"""
,Lowrance,000-11175-002,ELITE-5 HDI GOLD NO XDCR W/ COVER,"5"""
,Lowrance,000-11176-001,ELITE-5M HD CHARTPLOTTER GOLD,"5"""
,Lowrance,000-11177-001,ELITE-5 HDI BOAT BLDR 6 PACK NO XDCR,"5"""
,Lowrance,000-11208-001,HDS-7 GEN2 TOUCH ROW NO XDCR BB 1PK,"7"""
,Lowrance,000-11209-001,HDS-9 GEN2 TOUCH ROW NO XDCR BB 1PK,"9"""
,Lowrance,000-11214-001,MARK-4 HDI 83/200,"4"""
,Lowrance,000-11215-001,MARK-4 HDI 83/200 455/800,"4"""
,Lowrance,000-11215-002,MARK-4 HDI BLANK SD 83/200 455/800,"4"""
,Lowrance,000-11215-003,MARK-4 HDI CMAP ROW BNDL 83/200 455/800,"4"""
,Lowrance,000-11215-004,"MARK-4 HDI CMAP AMER, 83/200+455/800","4"""
,Lowrance,000-11216-001,ELITE-4 HDI 83/200 455/800,"4"""
,Lowrance,000-11216-002,ELITE-4 HDI CMAP ROW BNDL83/200 455/800,"4"""
,Lowrance,000-11216-003,ELITE-4 HDI BLANK SD 83/200 455/800,"4"""
,Lowrance,000-11216-004,"ELITE-4 HDI CMAP AMER, 83/200+455/800","4"""
,Lowrance,000-11238-001,ELITE-5M HD BAJA,"5"""
,Lowrance,000-11239-001,"ELITE-5 HDI ICE MACHINE W/PPP-18I,83/200","5"""
,Lowrance,000-11280-001,HDS-9 GEN2 TOUCH INSIGHT 83/200/LSS,"9"""
,Lowrance,000-11281-001,HDS-12 GEN2 TOUCH INSIGHT 83/200/LSS,"12"""
,Lowrance,000-11287-001,ELITE-4 HDI NO XDCR,"4"""
,Lowrance,000-11287-002,ELITE-4 HDI BLANK SD NO XDCR,"4"""
,Lowrance,000-11287-003,ELITE-4 HDI CMAP ROW BNDL NO XDCR,"4"""
,Lowrance,000-11288-001,ELITE-4 HDI 50/200 455/800,"4"""
,Lowrance,000-11288-002,ELITE-4 HDI BLANK SD 50/200 455/800,"4"""
,Lowrance,000-11288-003,ELITE-4 HDI CMAP ROW BNDL 50/200 455/800,"4"""
,Lowrance,000-11288-004,"ELITE-4 HDI CMAP AMER, 50/200+455/800","4"""
,Lowrance,000-11289-001,ELITE-4 HDI BOAT BLDR 6 PACK NO XDCR,"4"""
,Lowrance,000-11290-001,ELITE-4 HDI GOLD NO XDCR,"4"""
,Lowrance,000-11291-001,ELITE-4 HDI GOLD 50/200 455/800,"4"""
,Lowrance,000-11292-001,ELITE-4 HDI GOLD 83/200 455/800,"4"""
,Lowrance,000-11293-001,ELITE-4M HD CHARTPLOTTER,"4"""
,Lowrance,000-11293-003,ELITE-4M HD CHARTPLOTTER CMAP ROW BNDL,"4"""
,Lowrance,000-11293-006,ELITE-4M HD AUS NZ NAV+,"4"""
,Lowrance,000-11294-001,ELITE-4M HD CHARTPLOTTER GOLD,"4"""
,Lowrance,000-11298-001,MARK-4 HDI NO XDCR,"4"""
,Lowrance,000-11299-001,MARK-4 HDI 50/200 455/800,"4"""
,Lowrance,000-11299-002,MARK-4 HDI BLANK SD 50/200 455/800,"4"""
,Lowrance,000-11299-003,MARK-4 HDI CMAP ROW BNDL 50/200 455/800,"4"""
,Lowrance,000-11299-004,"MARK-4 HDI CMAP AMER, 50/200+455/800","4"""
,Lowrance,000-11305-001,ELITE-4 HDI ICE MACH 83/200,"4"""
,Lowrance,000-11525-001,HDS-12 GEN2 ROW TOUCH 83/200/LSS,"12"""
,Lowrance,000-11526-001,HDS-9 GEN2 ROW TOUCH 83/200/LSS,"9"""
,Lowrance,000-11527-001,HDS-7 GEN2 ROW TOUCH 83/200/LSS,"7"""
,Lowrance,000-11528-001,"HDS GEN2 10"" W/83/200KHZ, LSS2 TDX","10"""
,Lowrance,000-11529-001,"HDS GEN2 8"" W/83/200KHZ, LSS2 TDX","8"""
,Lowrance,000-11530-001,"HDS GEN2 7"" W/83/200KHZ, LSS2 TDX","7"""
,Lowrance,000-11531-001,HDS-12 GEN2 ROW TOUCH 50/200/LSS,"12"""
,Lowrance,000-11532-001,HDS-9 GEN2 ROW TOUCH 50/200/LSS,"9"""
,Lowrance,000-11533-001,HDS-7 GEN2 ROW TOUCH 50/200/LSS,"7"""
,Lowrance,000-11582-001,MARK-4 HDI BOAT BLDR 6 PACK NO XDCR,"4"""
,Lowrance,000-11646-001,"ELITE-5 CHIRP ICE MACH W/PPP-18I,83/200","5"""
,Lowrance,000-11647-001,ELITE-5 CHIRP BOAT BLDR 6 PACK NO XDCR,"5"""
,Lowrance,000-11648-001,ELITE-5 CHIRP GOLD NO XDCR,"5"""
,Lowrance,000-11649-001,ELITE-5 CHIRP 83/200 ASIA,"5"""
,Lowrance,000-11650-001,ELITE-5 CHIRP BASE NO XDCR,"5"""
,Lowrance,000-11650-002,ELITE-5 CHIRP 50/200 ASIA ONLY,"5"""
