Code,Site,Category,Brand,Name,URL,Price,Screen Size
000-11193-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS12 evo2 Kartenplotter / Multifunktionsdisplay mit Servicepaket,http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS12-evo2-Kartenplotter-Multifunktionsdisplay--11960.html,3563.13,"12"""
000-11193-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS12 evo2 Kartenplotter / Multifunktionsdisplay mit Airmar TM150m CHIRP und StructureScan HD Heckgeber (Unser Tipp),http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS12-evo2-Kartenplotter-Multifunktionsdisplay--11960.html,4148.23,"12"""
000-11193-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS12 evo2 Kartenplotter / Multifunktionsdisplay mit Top Servicepaket,http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS12-evo2-Kartenplotter-Multifunktionsdisplay--11960.html,3563.13,"12"""
000-11191-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS9 evo2 Kartenplotter / Multifunktionsdisplay mit Top Servicepaket,http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS9-evo2-Kartenplotter-Multifunktionsdisplay--11961.html,2706.33,"9"""
000-11185-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS7 evo2 Combo Multifunktionsdisplay mit Airmar TM150m CHIRP und StructureScan HD Heckgeber (Unser Tipp),http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS7-evo2-Combo-Multifunktionsdisplay--11962.html,1899.13,"7"""
000-11185-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS7 evo2 Combo Multifunktionsdisplay mit Top Servicepaket,http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS7-evo2-Combo-Multifunktionsdisplay--11962.html,1314.03,"7"""
000-10421-001,A. Schlageter,Radaranlagen,Simrad,"Simrad Broadband 4G�""� Radar",http://www.angel-schlageter.de/Echolote-Navigation/Radaranlagen/Antennen/Simrad-Broadband-4G%99-Radar--12069.html,2140.93,Radar - Different Category
000-10420-001,A. Schlageter,Radaranlagen,Simrad,"Simrad Broadband 3G�""� Radar",http://www.angel-schlageter.de/Echolote-Navigation/Radaranlagen/Antennen/Simrad-Broadband-3G%99-Radar--12070.html,1605.43,Radar - Different Category
000-11193-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS12 evo2 Kartenplotter / Multifunktionsdisplay,http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS12-evo2-Kartenplotter-Multifunktionsdisplay--11960.html,3533.23,"12"""
000-11191-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS9 evo2 Kartenplotter / Multifunktionsdisplay mit HST-WSBL und StructureScan HD Heckgeber (nicht empfohlen),http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS9-evo2-Kartenplotter-Multifunktionsdisplay--11961.html,3055.43,"9"""
000-11185-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS7 evo2 Combo Multifunktionsdisplay mit HST-WSBL und StructureScan HD Heckgeber (nicht empfohlen),http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS7-evo2-Combo-Multifunktionsdisplay--11962.html,1663.13,"7"""
000-11193-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS12 evo2 Kartenplotter / Multifunktionsdisplay mit HST-WSBL und StructureScan HD Heckgeber (nicht empfohlen),http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS12-evo2-Kartenplotter-Multifunktionsdisplay--11960.html,3912.23,"12"""
000-11185-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS7 evo2 Combo Multifunktionsdisplay mit Servicepaket,http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS7-evo2-Combo-Multifunktionsdisplay--11962.html,1314.03,"7"""
000-11191-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS9 evo2 Kartenplotter / Multifunktionsdisplay mit Airmar TM150m CHIRP und StructureScan HD Heckgeber (Unser Tipp),http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS9-evo2-Kartenplotter-Multifunktionsdisplay--11961.html,3291.43,"9"""
000-11185-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS7 evo2 Combo Multifunktionsdisplay,http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS7-evo2-Combo-Multifunktionsdisplay--11962.html,1284.13,"7"""
000-11191-002,A. Schlageter,GPS &  Kartenplotter,Simrad,Simrad NSS9 evo2 Kartenplotter / Multifunktionsdisplay,http://www.angel-schlageter.de/Echolote-Navigation/GPS-Kartenplotter/Simrad/Simrad-NSS9-evo2-Kartenplotter-Multifunktionsdisplay--11961.html,2676.43,"9"""
102899,A. Schlageter,Fischfinder & Combi Echolote,Raymarine,Raymarine Dragonfly 6 CHIRP Mod.2015,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Raymarine/Dragonfly-CHIRP/Raymarine-Dragonfly-6-CHIRP-Mod2015--12378.html,639,"5"""
101659,A. Schlageter,AIS - Sender Empfänger,Raymarine,Raymarine AIS 100 Splitter / sogar UKW Radio anschliesbar,http://www.angel-schlageter.de/Echolote-Navigation/AIS-Sender-Empfaenger/Raymarine-AIS-100-Splitter-sogar-UKW-Radio-anschliesbar--10694.html,259,NA
102172,A. Schlageter,Fischfinder & Combi Echolote,Raymarine,Raymarine Multifunktionsdisplay e165,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Raymarine/E-Serie/Raymarine-Multifunktionsdisplay-e165--11358.html,5899,"16"""
102175,A. Schlageter,Fischfinder & Combi Echolote,Raymarine,Raymarine Multifunktionsdisplay gS165,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Raymarine/gS-Serie/Raymarine-Multifunktionsdisplay-gS165--11371.html,8299,"16"""
102732,A. Schlageter,Radaranlagen,Raymarine,Raymarine RD418HD Radom Radarantenne HD Color,http://www.angel-schlageter.de/Echolote-Navigation/Radaranlagen/Antennen/Raymarine-RD418HD-Radom-Radarantenne-HD-Color--12073.html,1709,Radar
102163,A. Schlageter,Fischfinder & Combi Echolote,Raymarine,Raymarine Multifunktionsdisplay c97 mit Echolot,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Raymarine/C-Serie/Raymarine-Multifunktionsdisplay-c97-mit-Echolot--11367.html,2297,"9"""
102731,A. Schlageter,Radaranlagen,Raymarine,Raymarine RD424D Radom Radarantenne Digital,http://www.angel-schlageter.de/Echolote-Navigation/Radaranlagen/Antennen/Raymarine-RD424D-Radom-Radarantenne-Digital--12072.html,1868,Radar
102173,A. Schlageter,Fischfinder & Combi Echolote,Raymarine,Raymarine Multifunktionsdisplay gS95,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Raymarine/gS-Serie/Raymarine-Multifunktionsdisplay-gS95--11359.html,4749,"9"""
102730,A. Schlageter,Radaranlagen,Raymarine,Raymarine RD418D Radom Radarantenne Digital,http://www.angel-schlageter.de/Echolote-Navigation/Radaranlagen/Antennen/Raymarine-RD418D-Radom-Radarantenne-Digital--12071.html,1280,Radar
102171,A. Schlageter,Fischfinder & Combi Echolote,Raymarine,Raymarine Multifunktionsdisplay e127 mit Echolot,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Raymarine/E-Serie/Raymarine-Multifunktionsdisplay-e127-mit-Echolot--11357.html,3850,"12"""
102240,A. Schlageter,Multifunktionsdisplays,Raymarine,Raymarine i40 Bidata,http://www.angel-schlageter.de/Echolote-Navigation/Multifunktionsdisplays/i40-Instrumenten-Serie/Raymarine-i40-Bidata--11461.html,198,Instruments
102733,A. Schlageter,Radaranlagen,Raymarine,Raymarine RD424HD Radom Radarantenne HD Color,http://www.angel-schlageter.de/Echolote-Navigation/Radaranlagen/Antennen/Raymarine-RD424HD-Radom-Radarantenne-HD-Color--12074.html,1709,Radar
102241,A. Schlageter,Multifunktionsdisplays,Raymarine,Raymarine i40 Wind,http://www.angel-schlageter.de/Echolote-Navigation/Multifunktionsdisplays/i40-Instrumenten-Serie/Raymarine-i40-Wind--11462.html,198,Instruments
102239,A. Schlageter,Multifunktionsdisplays,Raymarine,Raymarine i40 Log,http://www.angel-schlageter.de/Echolote-Navigation/Multifunktionsdisplays/i40-Instrumenten-Serie/Raymarine-i40-Log--11460.html,198,Instruments
102238,A. Schlageter,Multifunktionsdisplays,Raymarine,Raymarine i40 Echolot,http://www.angel-schlageter.de/Echolote-Navigation/Multifunktionsdisplays/i40-Instrumenten-Serie/Raymarine-i40-Echolot--11459.html,198,Instruments
102167,A. Schlageter,Fischfinder & Combi Echolote,Raymarine,Raymarine Multifunktionsdisplay e7D,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Raymarine/E-Serie/Raymarine-Multifunktionsdisplay-e7D--11353.html,1547,"7"""
102244,A. Schlageter,Multifunktionsdisplays,Raymarine,Raymarine i50 Tridata,http://www.angel-schlageter.de/Echolote-Navigation/Multifunktionsdisplays/i50-Instrumenten-Serie/Raymarine-i50-Tridata--11465.html,530,Instruments
102242,A. Schlageter,Multifunktionsdisplays,Raymarine,Raymarine i50 Log,http://www.angel-schlageter.de/Echolote-Navigation/Multifunktionsdisplays/i50-Instrumenten-Serie/Raymarine-i50-Log--11463.html,455,Instruments
102245,A. Schlageter,Multifunktionsdisplays,Raymarine,Raymarine i60 Wind,http://www.angel-schlageter.de/Echolote-Navigation/Multifunktionsdisplays/i60-Instrumenten-Serie/Raymarine-i60-Wind--11466.html,508,Instruments
102212,A. Schlageter,Raymarine FLIR Wärmebildkameras,Raymarine,Raymarine T453 Wärmebildkamera,http://www.angel-schlageter.de/Echolote-Navigation/Raymarine-FLIR-Waermebildkameras/T-Serie/T400-Serie/Raymarine-T453-Waermebildkamera--11398.html,14669,Camera
101661,A. Schlageter,Multifunktionsdisplays,Raymarine,Raymarine p70 Multifunktionsdisplay für Autopiloten / Tasten,http://www.angel-schlageter.de/Echolote-Navigation/Multifunktionsdisplays/i70-Instrumenten-Serie/Raymarine-p70-Multifunktionsdisplay-fuer-Autopiloten-Tasten--10696.html,589,AutoPilot
101660,A. Schlageter,Multifunktionsdisplays,Raymarine,Raymarine i70 Multifunktionsdisplay/ Ultra hell,http://www.angel-schlageter.de/Echolote-Navigation/Multifunktionsdisplays/i70-Instrumenten-Serie/Raymarine-i70-Multifunktionsdisplay-Ultra-hell--10695.html,559,Instruments
102243,A. Schlageter,Multifunktionsdisplays,Raymarine,Raymarine i50 Echolot,http://www.angel-schlageter.de/Echolote-Navigation/Multifunktionsdisplays/i50-Instrumenten-Serie/Raymarine-i50-Echolot--11464.html,455,Instruments
102246,A. Schlageter,Multifunktionsdisplays,Raymarine,Raymarine i60 Windlupe (Close Haul Wind),http://www.angel-schlageter.de/Echolote-Navigation/Multifunktionsdisplays/i60-Instrumenten-Serie/Raymarine-i60-Windlupe-Close-Haul-Wind--11467.html,509,Instruments
102712,A. Schlageter,Fischfinder & Combi Echolote,Raymarine,Raymarine A128 netzwerkfähiges Multifunktionsdisplay mit WiFi mit Top Servicepaket,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Raymarine/A-Serie-CHIRP/Raymarine-A128-netzwerkfaehiges-Multifunktionsdisplay-mit-WiFi--11943.html,2908.9,"12"""
102189,A. Schlageter,Raymarine FLIR Wärmebildkameras,Raymarine,Raymarine T223 Wärmebildkamera,http://www.angel-schlageter.de/Echolote-Navigation/Raymarine-FLIR-Waermebildkameras/T-Serie/T200-Serie/Raymarine-T223-Waermebildkamera--11387.html,3379,Camera
102712,A. Schlageter,Fischfinder & Combi Echolote,Raymarine,Raymarine A128 netzwerkfähiges Multifunktionsdisplay mit WiFi mit CPT-100 Heckgeber,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Raymarine/A-Serie-CHIRP/Raymarine-A128-netzwerkfaehiges-Multifunktionsdisplay-mit-WiFi--11943.html,2986.9,"12"""
102712,A. Schlageter,Fischfinder & Combi Echolote,Raymarine,Raymarine A128 netzwerkfähiges Multifunktionsdisplay mit WiFi,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Raymarine/A-Serie-CHIRP/Raymarine-A128-netzwerkfaehiges-Multifunktionsdisplay-mit-WiFi--11943.html,2879,"12"""
102677,A. Schlageter,Fischfinder & Combi Echolote,Raymarine,Raymarine Dragonfly 7 Portabel mit Top Servicepaket,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Echolot-Empfehlungen/Raymarine-Dragonfly-7-Portabel--11905.html,1008.9,"7"""
102186,A. Schlageter,Raymarine FLIR Wärmebildkameras,Raymarine,Raymarine T200 Wärmebildkamera,http://www.angel-schlageter.de/Echolote-Navigation/Raymarine-FLIR-Waermebildkameras/T-Serie/T200-Serie/Raymarine-T200-Waermebildkamera--11384.html,3379,Camera
102220,A. Schlageter,Raymarine FLIR Wärmebildkameras,Raymarine,Raymarine T923P Wärmebildkamera,http://www.angel-schlageter.de/Echolote-Navigation/Raymarine-FLIR-Waermebildkameras/T-Serie/T900-Serie/Raymarine-T923P-Waermebildkamera--11406.html,211549,Camera
101662,A. Schlageter,Multifunktionsdisplays,Raymarine,Raymarine p70R Multifunktionsdisplay für Autopiloten / Drehknopf,http://www.angel-schlageter.de/Echolote-Navigation/Multifunktionsdisplays/i70-Instrumenten-Serie/Raymarine-p70R-Multifunktionsdisplay-fuer-Autopiloten-Drehknopf--10697.html,639,Instruments
102214,A. Schlageter,Raymarine FLIR Wärmebildkameras,Raymarine,Raymarine T463 Wärmebildkamera,http://www.angel-schlageter.de/Echolote-Navigation/Raymarine-FLIR-Waermebildkameras/T-Serie/T400-Serie/Raymarine-T463-Waermebildkamera--11400.html,22399,Camera
102677,A. Schlageter,Fischfinder & Combi Echolote,Raymarine,Raymarine Dragonfly 7 Portabel,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Echolot-Empfehlungen/Raymarine-Dragonfly-7-Portabel--11905.html,979,"7"""
