Code,Site,Category,Brand,Name,URL,Price,Screen Size
220277,Force4,Simrad,Simrad,NSS7 evo2,http://www.force4.co.uk/department/brands/simrad/nss7-evo2.html,939.95,"7"""
220065,Force4,Simrad,Simrad,Autopilot Tiller Brackets,http://www.force4.co.uk/department/brands/simrad/simrad-autopilot-tiller-brackets.html,32.4,Other
220256,Force4,Simrad,Simrad,NSS 12 Sport Chartplotter,http://www.force4.co.uk/department/brands/simrad/simrad-nss-12-sport-chartplotter.html,2199.95,"12"""
220344,Force4,Simrad,Simrad,NSS12 evo2,http://www.force4.co.uk/department/brands/simrad/nss12-evo2.html,2549.95,"12"""
220255,Force4,Simrad,Simrad,NSS 8 Sport Chartplotter,http://www.force4.co.uk/department/brands/simrad/simrad-nss-8-sport-chartplotter.html,999.95,"8"""
220278,Force4,Simrad,Simrad,3G Broadband Radar,http://www.force4.co.uk/department/brands/simrad/simrad-3g-broadband-radar.html,1149.95,Radar
220279,Force4,Simrad,Simrad,4G Broadband Radar,http://www.force4.co.uk/department/brands/simrad/simrad-4g-broadband-radar.html,1549.95,Radar
220014,Force4,Simrad,Simrad,Cockpit Tiller Pilot TP10,http://www.force4.co.uk/department/brands/simrad/simrad-cockpit-tiller-pilot-tp10.html,329.95,Other
220003,Force4,Simrad,Simrad,Cockpit Tiller Pilot TP22,http://www.force4.co.uk/department/brands/simrad/simrad-cockpit-tiller-pilot-tp22.html,414.95,Other
200293,Force4,Simrad,Simrad,RS35 VHF Radio With Internal AIS Receiver,http://www.force4.co.uk/department/brands/simrad/simrad-rs35-vhf-radio-with-internal-ais-receiver.html,319.95,VHF Radio
220303,Force4,Simrad,Simrad,NSS9 evo2,http://www.force4.co.uk/department/brands/simrad/nss9-evo2.html,1949.95,"9"""
220184,Force4,Simrad,Simrad,TPPK7 Tillerpilot spares pack,http://www.force4.co.uk/department/brands/simrad/simrad-tppk7-tillerpilot-spares-pack.html,14.95,Other
m220069,Force4,Simrad,Simrad,Autopilot Pedestal Brackets,http://www.force4.co.uk/department/brands/simrad/simrad-autopilot-pedestal-brackets-m.html,50.4,Other
m220060,Force4,Simrad,Simrad,Autopilot Push Rod Extensions,http://www.force4.co.uk/department/brands/simrad/simrad-autopilot-push-rod-extensions-m.html,20.4,Other
m220065,Force4,Simrad,Simrad,Autopilot Tiller Brackets,http://www.force4.co.uk/department/brands/simrad/simrad-autopilot-tiller-brackets-m.html,32.4,Other
220072,Force4,Simrad,Simrad,Cantilever Bracket 195-240mm,http://www.force4.co.uk/department/brands/simrad/simrad-cantilever-bracket-195-240mm.html,67.2,Other
220015,Force4,Simrad,Simrad,Cockpit Tiller Pilot TP32,http://www.force4.co.uk/department/brands/simrad/simrad-cockpit-tiller-pilot-tp32.html,499.95,Other
200126,Force4,Simrad,Simrad,Flush Mount Kit for RD68,http://www.force4.co.uk/department/brands/simrad/simrad-flush-mount-kit-for-rd68.html,38.75,Other
200294,Force4,Simrad,Simrad,HS35 Wireless Handset,http://www.force4.co.uk/department/brands/simrad/simrad-hs35-wireless-handset.html,139.95,VHF Radio
220069,Force4,Simrad,Simrad,Autopilot Pedestal Brackets,http://www.force4.co.uk/department/brands/simrad/simrad-autopilot-pedestal-brackets.html,50.4,Other
220060,Force4,Simrad,Simrad,Autopilot Push Rod Extensions,http://www.force4.co.uk/department/brands/simrad/simrad-autopilot-push-rod-extensions.html,20.4,Other
210338,Force4,Simrad,Simrad,Go7 Touchscreen Multifunction Display with 83/200 455/800 KHz HDI Transducer and Navionics Plus UK chart,http://www.force4.co.uk/department/brands/simrad/simrad-go7-touchscreen-multifunction-display-with-83200-455800-khz-hdi-transducer-and-navionic-plus-uk-chart.html,749.95,"7"""
220253,Force4,B&G,B&G,Zeus 8 Touch Chartplotter & Sounder,http://www.force4.co.uk/department/brands/b-g/bg-zeus-8-touch-chartplotter-sounder.html,849.95,"8"""
220304,Force4,B&G,B&G,Zeus2 9inch Multifunction Display,http://www.force4.co.uk/department/brands/b-g/zeus2-9inch-multifunction-display.html,1849.95,"9"""
210198,Force4,B&G,B&G,Navico DST800 Plastic 235KHz NMEA 2000 triducer,http://www.force4.co.uk/department/brands/b-g/navico-navico-dst800-plastic-235khz-nmea-2000-triducer.html,239.95,Other
220283,Force4,B&G,B&G,Triton Speed and Depth Pack,http://www.force4.co.uk/department/brands/b-g/bg-triton-speed-and-depth-pack.html,629.95,Other
200337,Force4,B&G,B&G,B&G H50 Wireless Handset,http://www.force4.co.uk/department/brands/b-g/simrad-bg-h50-wireless-handset.html,139.95,Other
200336,Force4,B&G,B&G,V50 VHF Radio With Internal AIS Receiver,http://www.force4.co.uk/department/brands/b-g/bg-v50-vhf-radio-with-internal-ais-receiver.html,319.95,VHF radio
220206,Force4,B&G,B&G,"Triton Speed, Depth and Wind pack",http://www.force4.co.uk/department/brands/b-g/b-g-triton-speed-depth-and-wind-pack.html,949.95,Other
220281,Force4,B&G,B&G,4G Broadband Radar,http://www.force4.co.uk/department/brands/b-g/b-g-4g-broadband-radar.html,1549.95,radar
